Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Leading percentages	Reference
"1s"	"2S"	"1/2"	" 0.000000000000000"	"0.000000000000009"	" 100                    "	""
	term		"0.000000000000000"			
"2p"	"2P*"	"1/2"	" 0.749598426045"	"0.000000000003"	" 100                    "	"L15291"
"2p"	"2P*"	"3/2"	" 0.749601760262"	"0.000000000004"	" 100                    "	"L15291"
	term		"0.749600648856"			
"2s"	"2S"	"1/2"	" 0.7495987475942"	"0.0000000000015"	" 100                    "	"L15291"
	term		"0.7495987475942"			
"2"	""	""	" 0.74960060"	"0.00000009"	"                        "	"L15291"
	term		"0.74960060"			
"3p"	"2P*"	"1/2"	" 0.88841439755"	"0.00000000006"	" 100                    "	"L15291"
"3p"	"2P*"	"3/2"	" 0.88841538546"	"0.00000000006"	" 100                    "	"L15291"
	term		"0.88841505616"			
"3s"	"2S"	"1/2"	" 0.88841449324"	"0.00000000006"	" 100                    "	"L15291"
	term		"0.88841449324"			
"3"	""	""	" 0.88841524"	"0.00000005"	"                        "	"L15291"
	term		"0.88841524"			
"3d"	"2D"	"3/2"	" 0.88841538384"	"0.00000000018"	" 100                    "	"L15291"
"3d"	"2D"	"5/2"	" 0.88841571311"	"0.00000000006"	" 100                    "	"L15291"
	term		"0.88841558140"			
"4p"	"2P*"	"1/2"	" 0.936999852273"	"0.000000000005"	" 100                    "	"L15291"
"4p"	"2P*"	"3/2"	" 0.937000269041"	"0.000000000003"	" 100                    "	"L15291"
	term		"0.937000130118"			
"4s"	"2S"	"1/2"	" 0.936999892721"	"0.000000000003"	" 100                    "	"L15291"
	term		"0.936999892721"			
"4d"	"2D"	"3/2"	" 0.93700026843"	"0.00000000007"	" 100                    "	"L15291"
"4d"	"2D"	"5/2"	" 0.937000407277"	"0.000000000008"	" 100                    "	"L15291"
	term		"0.93700035174"			
"4"	""	""	" 0.93700036"	"0.00000003"	"                        "	"L15291"
	term		"0.93700036"			
"4f"	"2F*"	"5/2"	" 0.9370004073"	"0.0000000005"	" 100                    "	"L15291"
"4f"	"2F*"	"7/2"	" 0.93700047657"	"0.00000000012"	" 100                    "	"L15291"
	term		"0.9370004469"			
"5p"	"2P*"	"1/2"	" 0.9594879191"	"0.0000000004"	" 100                    "	"L15291"
"5p"	"2P*"	"3/2"	" 0.9594881325"	"0.0000000004"	" 100                    "	"L15291"
	term		"0.9594880614"			
"5s"	"2S"	"1/2"	"[0.9594879398]"	"0.0000000004"	" 100                    "	"L15291"
	term		"0.9594879398"			
