ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"234.34716061"	"0.00000011"	""	"3.1581e+08"	"5.2004e-03"	AA	"0.0000000000"	"(3.888534634683)"	"1s"	"2S"	"1/2"	"6p"	"2P*"	"3/2"		"T8637"	""	
"234.34727975"	"0.00000011"	""	"3.1581e+08"	"2.6002e-03"	AA	"0.0000000000"	"(3.888532657871)"	"1s"	"2S"	"1/2"	"6p"	"2P*"	"1/2"		"T8637"	""	
"237.33066411"	"0.00000011"	""	"5.5028e+08"	"9.2936e-03"	AA	"0.0000000000"	"(3.839651542680)"	"1s"	"2S"	"1/2"	"5p"	"2P*"	"3/2"		"T8637"	""	
"237.33087525"	"0.00000011"	""	"5.5028e+08"	"4.6467e-03"	AA	"0.0000000000"	"(3.839648126742)"	"1s"	"2S"	"1/2"	"5p"	"2P*"	"1/2"		"T8637"	""	
"243.02644454"	"0.00000012"	""	"1.0915e+09"	"1.9330e-02"	AA	"0.0000000000"	"(3.749662109030)"	"1s"	"2S"	"1/2"	"4p"	"2P*"	"3/2"		"T8637"	""	
"243.02687696"	"0.00000012"	""	"1.0915e+09"	"9.6650e-03"	AA	"0.0000000000"	"(3.749655437244)"	"1s"	"2S"	"1/2"	"4p"	"2P*"	"1/2"		"T8637"	""	
"256.31656279"	"0.00000013"	""	"2.6774e+09"	"5.2742e-02"	AA	"0.0000000000"	"(3.555240600390)"	"1s"	"2S"	"1/2"	"3p"	"2P*"	"3/2"		"T8637"	""	
"256.31770296"	"0.00000013"	""	"2.6774e+09"	"2.6371e-02"	AA	"0.0000000000"	"(3.555224785705)"	"1s"	"2S"	"1/2"	"3p"	"2P*"	"1/2"		"T8637"	""	
"303.78040982"	"0.00000018"	""	"1.0029e+10"	"2.7750e-01"	AA	"0.0000000000"	"(2.99975581417)"	"1s"	"2S"	"1/2"	"2p"	"2P*"	"3/2"		"T8637"	""	
"303.78581505"	"0.00000018"	""	"1.0029e+10"	"1.3875e-01"	AA	"0.0000000000"	"(2.99970243982)"	"1s"	"2S"	"1/2"	"2p"	"2P*"	"1/2"		"T8637"	""	
"1025.24082643"	"0.00000006"	""	"6.8642e+07"	"2.1634e-02"	AA	"(2.99970243982)"	"(3.88853463133)"	"2p"	"2P*"	"1/2"	"6d"	"2D"	"3/2"		"T8637"	""	
"1025.24291871"	"0.00000005"	""	"3.9223e+06"	"6.1809e-04"	AA	"(2.99970243982)"	"(3.888532817434)"	"2p"	"2P*"	"1/2"	"6s"	"2S"	"1/2"		"T8637"	""	
"1025.24574582"	"0.00000021"	""	"4.5759e+07"	"1.4422e-02"	AA	"(2.99970670802)"	"(3.888534634683)"	"2s"	"2S"	"1/2"	"6p"	"2P*"	"3/2"		"T8637"	""	
"1025.24802604"	"0.00000021"	""	"4.5760e+07"	"7.2110e-03"	AA	"(2.99970670802)"	"(3.888532657871)"	"2s"	"2S"	"1/2"	"6p"	"2P*"	"1/2"		"T8637"	""	
"1025.30163571"	"0.00000005"	""	"8.2356e+07"	"1.9469e-02"	AA	"(2.99975581417)"	"(3.88853529022)"	"2p"	"2P*"	"3/2"	"6d"	"2D"	"5/2"		"T8637"	""	
"1025.30239581"	"0.00000005"	""	"1.3726e+07"	"2.1632e-03"	AA	"(2.99975581417)"	"(3.88853463133)"	"2p"	"2P*"	"3/2"	"6d"	"2D"	"3/2"		"T8637"	""	
"1025.30448834"	"0.00000004"	""	"7.8444e+06"	"6.1815e-04"	AA	"(2.99975581417)"	"(3.888532817434)"	"2p"	"2P*"	"3/2"	"6s"	"2S"	"1/2"		"T8637"	""	
