ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"507.058021"	"0.000003"	"10"	"1.5929e+07"	"1.8420e-03"	AAA	"0.000000000"	"[1.797165242627]"	"1s2"	"1S"	"0"	"1s.10p"	"1P*"	"1"		"T8636c73"	"L14922"	
"507.718095"	"0.000003"	"15"	"2.1826e+07"	"2.5304e-03"	AAA	"0.000000000"	"[1.794828783560]"	"1s2"	"1S"	"0"	"1s.9p"	"1P*"	"1"		"T8636c73"	"L14922"	
"508.643376"	"0.000003"	"20"	"3.1031e+07"	"3.6108e-03"	AAA	"0.000000000"	"[1.791563781435]"	"1s2"	"1S"	"0"	"1s.8p"	"1P*"	"1"		"T8636c73"	"L14922"	
"509.998293"	"0.000003"	"25"	"4.6224e+07"	"5.4073e-03"	AAA	"0.000000000"	"[1.786804118106]"	"1s2"	"1S"	"0"	"1s.7p"	"1P*"	"1"		"T8636c73"	"L14922"	
"510.132988"	"0.000003"	""	"1.07e-02"	""	C	"0.000000000"	"[1.786332331980]"	"1s2"	"1S"	"0"	"1s.7p"	"3P*"	"2"	M2	"T5612"	""	
"512.098563"	"0.000003"	"35"	"7.3174e+07"	"8.6306e-03"	AAA	"0.000000000"	"[1.779475898906]"	"1s2"	"1S"	"0"	"1s.6p"	"1P*"	"1"		"T8636c73"	"L14922"	
"512.135642"	"0.000003"	""	"2.6480e+02"	""	AAA	"0.000000000"	"[1.779347064353]"	"1s2"	"1S"	"0"	"1s.6d"	"1D"	"2"	E2	"T7378"	""	
"512.314128"	"0.000003"	""	"1.53e-02"	""	C	"0.000000000"	"[1.778727151852]"	"1s2"	"1S"	"0"	"1s.6p"	"3P*"	"2"	M2	"T5612"	""	
"515.616842"	"0.000003"	"50"	"1.2582e+08"	"1.5045e-02"	AAA	"0.000000000"	"[1.76733375597]"	"1s2"	"1S"	"0"	"1s.5p"	"1P*"	"1"		"T8636c73"	"L14922"	
"515.681115"	"0.000003"	""	"4.3136e+02"	""	AAA	"0.000000000"	"[1.767113480922]"	"1s2"	"1S"	"0"	"1s.5d"	"1D"	"2"	E2	"T7378"	""	
