configuration	term	J	energy
3s2	1S	0	0.0
3s.3p	3P*	0	1.1673
3s.3p	3P*	1	1.1774
3s.3p	3P*	2	1.1991
3s.3p	1P*	1	1.7545
3p2	1D	2	2.7367
3p2	3P	0	2.7777
3p2	3P	1	2.7901
3p2	3P	2	2.8136
3p2	1S	0	3.2586
3s.3d	3D	1	3.3546
3s.3d	3D	2	3.3553
3s.3d	3D	3	3.3565
3s.3d	1D	2	3.8185
3p.3d	3F*	2	4.5906
3p.3d	3F*	3	4.6036
3p.3d	3F*	4	4.6196
3p.3d	1D*	2	4.6565
3p.3d	3P*	2	4.8783
3p.3d	3P*	1	4.8863
3p.3d	3P*	0	4.8964
3p.3d	3D*	1	4.9075
3p.3d	3D*	2	4.9119
3p.3d	3D*	3	4.9133
3p.3d	1F*	3	5.2527
3p.3d	1P*	1	5.3347
3s.4s	3S	1	5.7579
3s.4s	1S	0	5.8727
3s.4p	1P*	1	6.3368
3d2	3F	2	6.7676
3d2	3F	3	6.7689
3d2	3F	4	6.7703
3d2	1G	4	6.8971
3d2	1D	2	6.9021
3d2	3P	0	6.9475
3d2	3P	1	6.9481
3d2	3P	2	6.9487
3s.4d	3D	1	7.0199
3s.4d	3D	2	7.0207
3s.4d	3D	3	7.022
3s.4d	1D	2	7.0517
3p.4s	3P*	0	7.243
3p.4s	3P*	1	7.2514
3p.4s	3P*	2	7.2761
3s.4f	3F*	2	7.3054
3s.4f	3F*	3	7.3055
3s.4f	3F*	4	7.3057
3d2	1S	0	7.3259
3s.4f	1F*	3	7.375
3p.4p	3D	1	7.7408
3p.4p	3D	2	7.7502
3p.4p	3D	3	7.7724
3p.4p	3P	0	7.8
3p.4p	3P	1	7.8069
3p.4p	3P	2	7.8234
3p.4p	3S	1	7.8301
3s.5s	3S	1	8.0654
3s.5s	1S	0	8.1381
3s.5p	1P*	1	8.3194
3s.5d	1D	2	8.631
3s.5d	3D	3	8.6433
3s.5d	3D	2	8.6435
3s.5d	3D	1	8.6438
3s.5f	3F*	2,3,4	8.7829
3s.5f	1F*	3	8.8078
3s.6s	3S	1	9.1808
3s.6p	1P*	1	9.3183
3s.6d	3D	1	9.5044
3s.6d	3D	2	9.5045
3s.6d	3D	3	9.5051
3s.6f	3F*	2,3,4	9.5818
3s.7p	1P*	1	9.914
3s.7d	3D	1,2,3	10.0173
3s.7f	3F*	2,3,4	10.0613
