configuration	term	J	energy
3p6	1S	0	0.0
3p5.4s	3P*	2	1.4808336000000002
3p5.4s	3P*	1	1.4874813
3p5.3d	3P*	0	1.4893028999999998
3p5.3d	3P*	1	1.4989614
3p5.3d	3P*	2	1.5029336000000002
3p5.4s	3P*	0	1.5049156000000001
3p5.4s	1P*	1	1.5168705
3p5.3d	3F*	4	1.5496023
3p5.3d	3F*	3	1.5567275
3p5.3d	3F*	2	1.5630289
3p5.3d	1D*	2	1.6343502
3p5.3d	3D*	3	1.6347748
3p5.3d	3D*	2	1.6438592
3p5.3d	3D*	1	1.6443714
3p5.3d	1F*	3	1.6459186999999997
3p5.4p	3S	1	1.6694786
3p5.4p	3D	3	1.6984542
3p5.4p	3D	2	1.7011661
3p5.4p	3D	1	1.7088718
3p5.4p	1D	2	1.7145517
3p5.4p	1P	1	1.7244772000000002
3p5.4p	3P	2	1.7282853999999999
3p5.4p	3P	0	1.7292933000000001
3p5.4p	3P	1	1.7325984
3p5.4p	1S	0	1.7748949
3p5.3d	1P*	1	1.8403730999999999
