configuration	term	J	energy
3p6.4s	2S	1/2	0.0
3p6.4p	2P*	1/2	0.11832971896
3p6.4p	2P*	3/2	0.11885561394
3p6.5s	2S	1/2	0.19160803
3p6.3d	2D	5/2	0.19623844
3p6.3d	2D	3/2	0.19625948
3p6.5p	2P*	1/2	0.22509556
3p6.5p	2P*	3/2	0.22526648
3p6.4d	2D	5/2	0.24966054
3p6.4d	2D	3/2	0.24967029
3p6.6s	2S	1/2	0.250149279
3p6.4f	2F*	5/2	0.2563198
3p6.4f	2F*	7/2	0.2563198
3p6.6p	2P*	1/2	0.2642608
3p6.6p	2P*	3/2	0.2643377
3p6.5d	2D	5/2	0.275068182
3p6.5d	2D	3/2	0.275072772
3p6.7s	2S	1/2	0.275879253
3p6.5f	2F*	5/2	0.278909
3p6.5f	2F*	7/2	0.278909
3p6.5g	2G	7/2	0.27900546
3p6.5g	2G	9/2	0.27900546
3p6.7p	2P*	1/2	0.2831298
3p6.7p	2P*	3/2	0.2831708
3p6.6d	2D	5/2	0.288834298
3p6.6d	2D	3/2	0.288836718
3p6.8s	2S	1/2	0.289467411
3p6.6f	2F*	5/2	0.2911787
3p6.6f	2F*	7/2	0.2911787
3p6.8p	2P*	1/2	0.293678
3p6.8p	2P*	3/2	0.2937024
3p6.7d	2D	5/2	0.297057459
3p6.7d	2D	3/2	0.297058876
3p6.9s	2S	1/2	0.297513666
3p6.7f	2F*	5/2	0.2985748
3p6.7f	2F*	7/2	0.2985748
3p6.9p	2P*	1/2	0.300173216
3p6.9p	2P*	3/2	0.300188919
3p6.8d	2D	5/2	0.302341402
3p6.8d	2D	3/2	0.3023423
3p6.10s	2S	1/2	0.302670304
3p6.8f	2F*	5/2	0.3033736
3p6.8f	2F*	7/2	0.3033736
3p6.10p	2P*	1/2	0.304456423
3p6.10p	2P*	3/2	0.304467067
3p6.9d	2D	5/2	0.305931114
3p6.9d	2D	3/2	0.305931712
3p6.11s	2S	1/2	0.306172604
3p6.9f	2F*	5/2	0.3066625
3p6.9f	2F*	7/2	0.3066625
3p6.11p	2P*	1/2	0.307429589
3p6.11p	2P*	3/2	0.307437157
3p6.10d	2D	5/2	0.308478437
3p6.10d	2D	3/2	0.308478858
3p6.12s	2S	1/2	0.308659626
3p6.10f	2F*	5/2	0.3090145
3p6.10f	2F*	7/2	0.3090145
3p6.12p	2P*	1/2	0.309577523
3p6.12p	2P*	3/2	0.309583067
3p6.11d	2D	5/2	0.310350266
3p6.11d	2D	3/2	0.31035057
3p6.13s	2S	1/2	0.31048909
3p6.11f	2F*	5/2	0.3107545
3p6.11f	2F*	7/2	0.3107545
3p6.13p	2P*	1/2	0.311179731
3p6.13p	2P*	3/2	0.311183902
3p6.12d	2D	5/2	0.311765544
3p6.12d	2D	3/2	0.311765775
3p6.14s	2S	1/2	0.311873961
3p6.12f	2F*	5/2	0.3120759
3p6.12f	2F*	7/2	0.3120759
3p6.14p	2P*	1/2	0.31240656
3p6.14p	2P*	3/2	0.312409848
3p6.13d	2D	5/2	0.312861332
3p6.13d	2D	3/2	0.31286151
3p6.15s	2S	1/2	0.312947467
3p6.13f	2F*	5/2	0.3131055
3p6.13f	2F*	7/2	0.3131055
3p6.15p	2P*	1/2	0.3133668
3p6.15p	2P*	3/2	0.313369382
3p6.14d	2D	5/2	0.313726931
3p6.14d	2D	3/2	0.313727072
3p6.16s	2S	1/2	0.313796415
3p6.14f	2F*	5/2	0.3139222
3p6.14f	2F*	7/2	0.3139222
3p6.16p	2P*	1/2	0.314132438
3p6.16p	2P*	3/2	0.314134527
3p6.15d	2D	5/2	0.31442253
3p6.15d	2D	3/2	0.314422642
3p6.17s	2S	1/2	0.314479344
3p6.17p	2P*	1/2	0.314752778
3p6.17p	2P*	3/2	0.314754453
3p6.16d	2D	5/2	0.314989863
3p6.16d	2D	3/2	0.314989956
3p6.18s	2S	1/2	0.315036881
3p6.18p	2P*	1/2	0.315262357
3p6.18p	2P*	3/2	0.315263768
3p6.17d	2D	5/2	0.315458614
3p6.17d	2D	3/2	0.31545869
3p6.19s	2S	1/2	0.315497945
3p6.19p	2P*	3/2	0.315687235
3p6.18d	2D	5/2	0.315850356
3p6.18d	2D	3/2	0.31585042
3p6.20s	2S	1/2	0.31588358
3p6.20p	2P*	3/2	0.316043105
