ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"2928.3875"	"0.0003"	""	"8.15e+02"	"2.10e-06"	C+	"0.000000000"	"0.311183902"	"3p6.4s"	"2S"	"1/2"	"3p6.13p"	"2P*"	"3/2"		"T5436n,extrap"	""	
"2928.4268"	"0.0003"	""	"4.69e+02"	"6.04e-07"	C+	"0.000000000"	"0.311179731"	"3p6.4s"	"2S"	"1/2"	"3p6.13p"	"2P*"	"1/2"		"T5436n,extrap"	""	
"2943.5300"	"0.0003"	""	"1.13e+03"	"2.93e-06"	C+	"0.000000000"	"0.309583067"	"3p6.4s"	"2S"	"1/2"	"3p6.12p"	"2P*"	"3/2"		"T5436n,extrap"	""	
"2943.5827"	"0.0003"	""	"6.82e+02"	"8.9e-07"	C+	"0.000000000"	"0.309577523"	"3p6.4s"	"2S"	"1/2"	"3p6.12p"	"2P*"	"1/2"		"T5436n,extrap"	""	
"2964.0758"	"0.0003"	""	"1.73e+03"	"4.55e-06"	C+	"0.000000000"	"0.307437157"	"3p6.4s"	"2S"	"1/2"	"3p6.11p"	"2P*"	"3/2"		"T5436n,extrap"	""	
"2964.1488"	"0.0003"	""	"1.10e+03"	"1.45e-06"	C+	"0.000000000"	"0.307429589"	"3p6.4s"	"2S"	"1/2"	"3p6.11p"	"2P*"	"1/2"		"T5436n,extrap"	""	
"2992.9905"	"0.0003"	"a"	"3.16e+03"	"8.50e-06"	C+	"0.000000000"	"0.304467067"	"3p6.4s"	"2S"	"1/2"	"3p6.10p"	"2P*"	"3/2"		"T5436n,extrap"	"L3287"	
"2993.0952"	"0.0003"	"a"	"2.12e+03"	"2.85e-06"	C+	"0.000000000"	"0.304456423"	"3p6.4s"	"2S"	"1/2"	"3p6.10p"	"2P*"	"1/2"		"T5436n,extrap"	"L3287"	
"3035.6452"	"0.0003"	"a"	"6.74e+03"	"1.86e-05"	B	"0.000000000"	"0.300188919"	"3p6.4s"	"2S"	"1/2"	"3p6.9p"	"2P*"	"3/2"		"T5436n"	"L3287"	
"3035.8040"	"0.0003"	"a"	"4.78e+03"	"6.60e-06"	C+	"0.000000000"	"0.300173216"	"3p6.4s"	"2S"	"1/2"	"3p6.9p"	"2P*"	"1/2"		"T5436n"	"L3287"	
"3102.689"	"0.006"	"a"	"1.62e+04"	"4.66e-05"	B+	"0.000000000"	"0.2937024"	"3p6.4s"	"2S"	"1/2"	"3p6.8p"	"2P*"	"3/2"		"T5436n"	"L3287"	
"3102.946"	"0.006"	"a"	"1.22e+04"	"1.76e-05"	C+	"0.000000000"	"0.2936780"	"3p6.4s"	"2S"	"1/2"	"3p6.8p"	"2P*"	"1/2"		"T5436n"	"L3287"	
"3218.083"	"0.006"	"a"	"5.01e+04"	"1.55e-04"	B+	"0.000000000"	"0.2831708"	"3p6.4s"	"2S"	"1/2"	"3p6.7p"	"2P*"	"3/2"		"T5436n"	"L3287"	
"3218.549"	"0.006"	"a"	"4.00e+04"	"6.22e-05"	C+	"0.000000000"	"0.2831298"	"3p6.4s"	"2S"	"1/2"	"3p6.7p"	"2P*"	"1/2"		"T5436n"	"L3287"	
"3447.359"	"0.006"	"a"	"1.65e+05"	"5.89e-04"	B+	"0.000000000"	"0.2643377"	"3p6.4s"	"2S"	"1/2"	"3p6.6p"	"2P*"	"3/2"		"T5436n"	"L3287"	
"3448.363"	"0.006"	"a"	"1.45e+05"	"2.58e-04"	C+	"0.000000000"	"0.2642608"	"3p6.4s"	"2S"	"1/2"	"3p6.6p"	"2P*"	"1/2"		"T5436n"	"L3287"	
"4045.2847"	"0.0008"	"18"	"1.15e+06"	"5.67e-03"	A	"0.000000000"	"0.22526648"	"3p6.4s"	"2S"	"1/2"	"3p6.5p"	"2P*"	"3/2"		"T5436n"	"L3287"	
"4048.3565"	"0.0008"	"17"	"1.07e+06"	"2.63e-03"	B+	"0.000000000"	"0.22509556"	"3p6.4s"	"2S"	"1/2"	"3p6.5p"	"2P*"	"1/2"		"T5436n"	"L3287"	
"4643.1748"	"0.0011"	"10"	"1.54e+02"	""	AAA	"0.000000000"	"0.19625948"	"3p6.4s"	"2S"	"1/2"	"3p6.3d"	"2D"	"3/2"	E2	"T5364"	"L6096"	
"4643.6724"	"0.0011"	"11"	"1.54e+02"	""	AAA	"0.000000000"	"0.19623844"	"3p6.4s"	"2S"	"1/2"	"3p6.3d"	"2D"	"5/2"	E2	"T5364"	"L6096"	
"4742.24621"	"0.00016"	"4"	"8.0e+04"	"2.7e-04"	E	"0.118329718960"	"0.310489090"	"3p6.4p"	"2P*"	"1/2"	"3p6.13s"	"2S"	"1/2"		"T1619extrap,LS"	"L6096"	
"4745.66717"	"0.00016"	"6"	"9.8e+04"	"6.6e-04"	C	"0.118329718960"	"0.310350570"	"3p6.4p"	"2P*"	"1/2"	"3p6.11d"	"2D"	"3/2"		"T817LS"	"L6096"	
"4755.26024"	"0.00016"	"5"	"1.6e+05"	"2.7e-04"	D+	"0.11885561394"	"0.310489090"	"3p6.4p"	"2P*"	"3/2"	"3p6.13s"	"2S"	"1/2"		"T1619extrap,LS"	"L6096"	
"4758.70001"	"0.00016"	""	"1.9e+04"	"6.5e-05"	E	"0.11885561394"	"0.310350570"	"3p6.4p"	"2P*"	"3/2"	"3p6.11d"	"2D"	"3/2"		"T817LS"	""	
