Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Leading percentages	Reference
"1s"	"2S"	"1/2"	" 0.000000000"	"0.000000018"	" 100                    "	""
	term		"0.00000000"			
"2p"	"2P*"	"1/2"	"(6.7500679926)"	"0.0000000005"	" 100                    "	"L3620c107"
"2p"	"2P*"	"3/2"	"(6.7503382600)"	"0.0000000003"	" 100                    "	"L3620c107"
	term		"6.750248171"			
"2s"	"2S"	"1/2"	"(6.750087057)"	"0.000000003"	" 100                    "	"L3620c107"
	term		"6.750087057"			
"3p"	"2P*"	"1/2"	"(8.00018767834)"	"0.00000000018"	" 100                    "	"L3620c107"
"3p"	"2P*"	"3/2"	"(8.00026775821)"	"0.00000000009"	" 100                    "	"L3620c107"
	term		"8.000241065"			
"3s"	"2S"	"1/2"	"(8.0001933623)"	"0.0000000007"	" 100                    "	"L3620c107"
	term		"8.000193362"			
"3d"	"2D"	"3/2"	"(8.000267626142)"	"0.000000000017"	" 100                    "	"L3620c107"
"3d"	"2D"	"5/2"	"(8.000294313678)"	"0.000000000017"	" 100                    "	"L3620c107"
	term		"8.000283639"			
"4p"	"2P*"	"1/2"	"(8.43771858283)"	"0.00000000008"	" 100                    "	"L3620c107"
"4p"	"2P*"	"3/2"	"(8.43775236616)"	"0.00000000005"	" 100                    "	"L3620c107"
	term		"8.437741105"			
"4s"	"2S"	"1/2"	"(8.4377209865)"	"0.0000000003"	" 100                    "	"L3620c107"
	term		"8.437720987"			
"4d"	"2D"	"3/2"	"(8.4377523098)"	"0.0000000005"	" 100                    "	"L3620c107"
"4d"	"2D"	"5/2"	"(8.4377635687)"	"0.0000000005"	" 100                    "	"L3620c107"
	term		"8.437759065"			
"4f"	"2F*"	"5/2"	"(8.43776354842)"	"0.00000000018"	" 100                    "	"L3620c107"
"4f"	"2F*"	"7/2"	"(8.43776917759)"	"0.00000000018"	" 100                    "	"L3620c107"
	term		"8.437766765"			
"5p"	"2P*"	"1/2"	"(8.64022819645)"	"0.00000000005"	" 100                    "	"L3620c107"
"5p"	"2P*"	"3/2"	"(8.64024549333)"	"0.00000000003"	" 100                    "	"L3620c107"
	term		"8.640239728"			
"5s"	"2S"	"1/2"	"(8.64022942871)"	"0.00000000018"	" 100                    "	"L3620c107"
	term		"8.640229429"			
"5d"	"2D"	"3/2"	"(8.6402454643)"	"0.0000000003"	" 100                    "	"L3620c107"
"5d"	"2D"	"5/2"	"(8.6402512288)"	"0.0000000003"	" 100                    "	"L3620c107"
	term		"8.640248923"			
"5f"	"2F*"	"5/2"	"(8.64025121838)"	"0.00000000018"	" 100                    "	"L3620c107"
"5f"	"2F*"	"7/2"	"(8.64025410045)"	"0.00000000018"	" 100                    "	"L3620c107"
	term		"8.640252865"			
"5g"	"2G"	"7/2"	"(8.64025409503)"	"0.00000000004"	" 100                    "	"L3620c107"
"5g"	"2G"	"9/2"	"(8.64025582427)"	"0.00000000004"	" 100                    "	"L3620c107"
	term		"8.640255056"			
"6p"	"2P*"	"1/2"	"(8.75023146097)"	"0.00000000008"	" 100                    "	"L3620c107"
"6p"	"2P*"	"3/2"	"(8.75024147064)"	"0.00000000007"	" 100                    "	"L3620c107"
	term		"8.750238134"			
"6s"	"2S"	"1/2"	"(8.75023217450)"	"0.00000000009"	" 100                    "	"L3620c107"
	term		"8.750232175"			
"6d"	"2D"	"3/2"	"(8.75024145366)"	"0.00000000018"	" 100                    "	"L3620c107"
"6d"	"2D"	"5/2"	"(8.75024478962)"	"0.00000000018"	" 100                    "	"L3620c107"
	term		"8.750243455"			
"6f"	"2F*"	"5/2"	"(8.75024478352)"	"0.00000000009"	" 100                    "	"L3620c107"
"6f"	"2F*"	"7/2"	"(8.75024645150)"	"0.00000000009"	" 100                    "	"L3620c107"
	term		"8.750245737"			
"6g"	"2G"	"7/2"	"(8.75024644827)"	"0.00000000004"	" 100                    "	"L3620c107"
"6g"	"2G"	"9/2"	"(8.75024744899)"	"0.00000000004"	" 100                    "	"L3620c107"
	term		"8.750247004"			
"6h"	"2H*"	"9/2"	"(8.750247447031)"	"0.000000000020"	" 100                    "	"L3620c107"
"6h"	"2H*"	"11/2"	"(8.750248114179)"	"0.000000000020"	" 100                    "	"L3620c107"
	term		"8.750247811"			
"7p"	"2P*"	"1/2"	"(8.81655905419)"	"0.00000000008"	" 100                    "	"L3620c107"
"7p"	"2P*"	"3/2"	"(8.81656535761)"	"0.00000000008"	" 100                    "	"L3620c107"
	term		"8.816563256"			
"7s"	"2S"	"1/2"	"(8.81655950372)"	"0.00000000008"	" 100                    "	"L3620c107"
	term		"8.816559504"			
"7d"	"2D"	"3/2"	"(8.81656534681)"	"0.00000000009"	" 100                    "	"L3620c107"
"7d"	"2D"	"5/2"	"(8.81656744755)"	"0.00000000009"	" 100                    "	"L3620c107"
	term		"8.816566607"			
"7f"	"2F*"	"5/2"	"(8.81656744372)"	"0.00000000009"	" 100                    "	"L3620c107"
"7f"	"2F*"	"7/2"	"(8.81656849405)"	"0.00000000009"	" 100                    "	"L3620c107"
	term		"8.816568044"			
"7g"	"2G"	"7/2"	"(8.81656849213)"	"0.00000000004"	" 100                    "	"L3620c107"
"7g"	"2G"	"9/2"	"(8.81656912232)"	"0.00000000004"	" 100                    "	"L3620c107"
	term		"8.816568842"			
"7h"	"2H*"	"9/2"	"(8.816569121084)"	"0.000000000020"	" 100                    "	"L3620c107"
"7h"	"2H*"	"11/2"	"(8.816569541205)"	"0.000000000020"	" 100                    "	"L3620c107"
	term		"8.816569350"			
"7i"	"2I"	"11/2"	"(8.816569540361)"	"0.000000000018"	" 100                    "	"L3620c107"
"7i"	"2I"	"13/2"	"(8.816569840450)"	"0.000000000018"	" 100                    "	"L3620c107"
	term		"8.816569702"			
"8p"	"2P*"	"1/2"	"(8.85960775280)"	"0.00000000007"	" 100                    "	"L3620c107"
"8p"	"2P*"	"3/2"	"(8.85961197557)"	"0.00000000007"	" 100                    "	"L3620c107"
	term		"8.859610568"			
"8s"	"2S"	"1/2"	"(8.85960805404)"	"0.00000000006"	" 100                    "	"L3620c107"
	term		"8.859608054"			
"8d"	"2D"	"3/2"	"(8.85961196833)"	"0.00000000008"	" 100                    "	"L3620c107"
"8d"	"2D"	"5/2"	"(8.85961337569)"	"0.00000000008"	" 100                    "	"L3620c107"
	term		"8.859612813"			
