Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Reference
"1s2.2s"	"2S"	"1/2"	" 0.0000000"	"0.0000009"	"L3462"
"1s2.2p"	"2P*"	"1/2"	" 0.1358121"	"0.0000009"	""
"1s2.2p"	"2P*"	"3/2"	" 0.1358152"	"0.0000009"	""
"1s2.3s"	"2S"	"1/2"	" 0.2479204"	"0.0000009"	""
"1s2.3p"	"2P*"	"1/2"	" 0.2818128"	"0.0000009"	""
"1s2.3p"	"2P*"	"3/2"	" 0.2818128"	"0.0000009"	""
"1s2.3d"	"2D"	"3/2"	" 0.2850724"	"0.0000009"	""
"1s2.3d"	"2D"	"5/2"	" 0.2850728"	"0.0000009"	""
"1s2.4s"	"2S"	"1/2"	" 0.3190534"	"0.0000009"	""
"1s2.4p"	"2P*"	"1/2"	" 0.3323350"	"0.0000009"	""
"1s2.4p"	"2P*"	"3/2"	" 0.3323350"	"0.0000009"	""
"1s2.4d"	"2D"	"3/2"	" 0.3337368"	"0.0000009"	""
"1s2.4d"	"2D"	"5/2"	" 0.3337370"	"0.0000009"	""
"1s2.4f"	"2F*"	"5/2"	" 0.333799"	"0.000009"	""
"1s2.4f"	"2F*"	"7/2"	" 0.333799"	"0.000009"	""
"1s2.5s"	"2S"	"1/2"	" 0.3490107"	"0.0000009"	""
"1s2.5p"	"2P*"	"1/2"	" 0.3555359"	"0.0000009"	""
"1s2.5p"	"2P*"	"3/2"	" 0.3555359"	"0.0000009"	""
"1s2.5d"	"2D"	"3/2"	" 0.3562592"	"0.0000009"	""
"1s2.5d"	"2D"	"5/2"	" 0.3562593"	"0.0000009"	""
"1s2.5f"	"2F*"	"5/2"	" 0.356346"	"0.000009"	""
"1s2.5f"	"2F*"	"7/2"	" 0.356346"	"0.000009"	""
"1s2.6s"	"2S"	"1/2"	" 0.3643942"	"0.0000009"	""
"1s2.6p"	"2P*"	"1/2"	" 0.3680684"	"0.0000009"	""
"1s2.6p"	"2P*"	"3/2"	" 0.3680684"	"0.0000009"	""
"1s2.6d"	"2D"	"3/2"	" 0.3684919"	"0.0000009"	""
"1s2.6d"	"2D"	"5/2"	" 0.3684920"	"0.0000009"	""
"1s2.7s"	"2S"	"1/2"	" 0.373327"	"0.000009"	""
"1s2.7p"	"2P*"	"1/2"	" 0.3756001"	"0.0000009"	""
"1s2.7p"	"2P*"	"3/2"	" 0.3756001"	"0.0000009"	""
"1s2.7d"	"2D"	"3/2"	" 0.375866"	"0.000009"	""
"1s2.7d"	"2D"	"5/2"	" 0.375866"	"0.000009"	""
"1s2.8s"	"2S"	"1/2"	" 0.378970"	"0.000009"	""
"1s2.8p"	"2P*"	"1/2"	" 0.3804688"	"0.0000009"	""
"1s2.8p"	"2P*"	"3/2"	" 0.3804688"	"0.0000009"	""
"1s2.8d"	"2D"	"3/2"	" 0.380648"	"0.000009"	""
"1s2.8d"	"2D"	"5/2"	" 0.380648"	"0.000009"	""
"1s2.9s"	"2S"	"1/2"	" 0.382762"	"0.000009"	""
"1s2.9p"	"2P*"	"1/2"	" 0.3838099"	"0.0000009"	""
"1s2.9p"	"2P*"	"3/2"	" 0.3838099"	"0.0000009"	""
"1s2.9d"	"2D"	"3/2"	" 0.383929"	"0.000009"	""
"1s2.9d"	"2D"	"5/2"	" 0.383929"	"0.000009"	""
"1s2.10s"	"2S"	"1/2"	" 0.38545"	"0.00009"	""
"1s2.10p"	"2P*"	"1/2"	" 0.3861873"	"0.0000009"	""
"1s2.10p"	"2P*"	"3/2"	" 0.3861873"	"0.0000009"	""
"1s2.10d"	"2D"	"3/2"	" 0.38628"	"0.00009"	""
"1s2.10d"	"2D"	"5/2"	" 0.38628"	"0.00009"	""
"1s2.11s"	"2S"	"1/2"	" 0.38738"	"0.00009"	""
"1s2.11p"	"2P*"	"1/2"	" 0.387918"	"0.000009"	""
"1s2.11p"	"2P*"	"3/2"	" 0.387918"	"0.000009"	""
"1s2.11d"	"2D"	"3/2"	" 0.38800"	"0.00009"	""
"1s2.11d"	"2D"	"5/2"	" 0.38800"	"0.00009"	""
"1s2.12p"	"2P*"	"1/2"	" 0.3892854"	"0.0000009"	""
"1s2.12p"	"2P*"	"3/2"	" 0.3892854"	"0.0000009"	""
"1s2.12d"	"2D"	"3/2"	" 0.38934"	"0.00009"	""
"1s2.12d"	"2D"	"5/2"	" 0.38934"	"0.00009"	""
"1s2.13p"	"2P*"	"1/2"	" 0.3903223"	"0.0000009"	""
"1s2.13p"	"2P*"	"3/2"	" 0.3903223"	"0.0000009"	""
"1s2.14p"	"2P*"	"1/2"	" 0.3911467"	"0.0000009"	""
"1s2.14p"	"2P*"	"3/2"	" 0.3911467"	"0.0000009"	""
"1s2.15p"	"2P*"	"1/2"	" 0.3918039"	"0.0000009"	""
"1s2.15p"	"2P*"	"3/2"	" 0.3918039"	"0.0000009"	""
