configuration	term	J	energy
1s2.2s	2S	1/2	0.0
1s2.2p	2P*	1/2	0.13581210000000002
1s2.2p	2P*	3/2	0.1358152
1s2.3s	2S	1/2	0.24792039999999999
1s2.3p	2P*	1/2	0.2818128
1s2.3p	2P*	3/2	0.2818128
1s2.3d	2D	3/2	0.2850724
1s2.3d	2D	5/2	0.2850728
1s2.4s	2S	1/2	0.3190534
1s2.4p	2P*	1/2	0.332335
1s2.4p	2P*	3/2	0.332335
1s2.4d	2D	3/2	0.3337368
1s2.4d	2D	5/2	0.333737
1s2.4f	2F*	5/2	0.33379899999999996
1s2.4f	2F*	7/2	0.33379899999999996
1s2.5s	2S	1/2	0.3490107
1s2.5p	2P*	1/2	0.3555359
1s2.5p	2P*	3/2	0.3555359
1s2.5d	2D	3/2	0.3562592
1s2.5d	2D	5/2	0.3562593
1s2.5f	2F*	5/2	0.356346
1s2.5f	2F*	7/2	0.356346
1s2.6s	2S	1/2	0.3643942
1s2.6p	2P*	1/2	0.3680684
1s2.6p	2P*	3/2	0.3680684
1s2.6d	2D	3/2	0.36849190000000004
1s2.6d	2D	5/2	0.368492
1s2.7s	2S	1/2	0.373327
1s2.7p	2P*	1/2	0.3756001
1s2.7p	2P*	3/2	0.3756001
1s2.7d	2D	3/2	0.375866
1s2.7d	2D	5/2	0.375866
1s2.8s	2S	1/2	0.37897
1s2.8p	2P*	1/2	0.3804688
1s2.8p	2P*	3/2	0.3804688
1s2.8d	2D	3/2	0.380648
1s2.8d	2D	5/2	0.380648
1s2.9s	2S	1/2	0.382762
1s2.9p	2P*	1/2	0.38380990000000004
1s2.9p	2P*	3/2	0.38380990000000004
1s2.9d	2D	3/2	0.383929
1s2.9d	2D	5/2	0.383929
1s2.10s	2S	1/2	0.38545
1s2.10p	2P*	1/2	0.3861873
1s2.10p	2P*	3/2	0.3861873
1s2.10d	2D	3/2	0.38628
1s2.10d	2D	5/2	0.38628
1s2.11s	2S	1/2	0.38738
1s2.11p	2P*	1/2	0.387918
1s2.11p	2P*	3/2	0.387918
1s2.11d	2D	3/2	0.388
1s2.11d	2D	5/2	0.388
1s2.12p	2P*	1/2	0.3892854
1s2.12p	2P*	3/2	0.3892854
1s2.12d	2D	3/2	0.38934
1s2.12d	2D	5/2	0.38934
1s2.13p	2P*	1/2	0.3903223
1s2.13p	2P*	3/2	0.3903223
1s2.14p	2P*	1/2	0.3911467
1s2.14p	2P*	3/2	0.3911467
1s2.15p	2P*	1/2	0.39180390000000004
1s2.15p	2P*	3/2	0.39180390000000004
