ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"7.1037"	"10g"	"1.40e+11"	"3.18e-03"	A+	"0.00000"	"[128.28081]"	"1s2"	"1S"	"0"	"1s.10p"	"1P*"	"1"		"T5231c4,T5072"	""	
"7.1194"	"15g"	"1.92e+11"	"4.39e-03"	A	"0.00000"	"[127.9972]"	"1s2"	"1S"	"0"	"1s.9p"	"1P*"	"1"		"T5231c4,T5072"	"L2304"	
"7.1415"	"20g"	"2.74e+11"	"6.29e-03"	A	"0.00000"	"[127.60077]"	"1s2"	"1S"	"0"	"1s.8p"	"1P*"	"1"		"T5231c4,T5072"	"L2304"	
"7.1741"	"25g"	"4.10e+11"	"9.50e-03"	A	"0.00000"	"[127.02263]"	"1s2"	"1S"	"0"	"1s.7p"	"1P*"	"1"		"T5231c4,T5072"	"L2304"	
"7.2247"	"35g"	"6.52e+11"	"1.53e-02"	A+	"0.00000"	"[126.13204]"	"1s2"	"1S"	"0"	"1s.6p"	"1P*"	"1"		"T5231c4,T5072"	"L2560c7"	
"7.3103"	"50g"	"1.13e+12"	"2.72e-02"	A+	"0.00000"	"[124.65553]"	"1s2"	"1S"	"0"	"1s.5p"	"1P*"	"1"		"T5231c4,T5072"	"L7418c8"	
"7.4731"	"100g"	"2.24e+12"	"5.62e-02"	A+	"0.00000"	"[121.93906]"	"1s2"	"1S"	"0"	"1s.4p"	"1P*"	"1"		"T5231c4,T5072"	"L7418c8"	
"7.8505"	"400g"	"5.43e+12"	"1.50e-01"	A+	"0.00000"	"[116.07725]"	"1s2"	"1S"	"0"	"1s.3p"	"1P*"	"1"		"T5231c4,T5072"	"L7418c8"	
"9.1688"	"1000g"	"1.96e+13"	"7.41e-01"	A+	"0.00000"	"[99.38836]"	"1s2"	"1S"	"0"	"1s.2p"	"1P*"	"1"		"T5231c4,T5072"	"L7418c8"	
"30.879"	""	"9.02e+09"	"3.87e-03"	A	"[98.77021]"	"[128.28081]"	"1s.2s"	"1S"	"0"	"1s.10p"	"1P*"	"1"		"T5231c4"	""	
"31.179"	""	"1.24e+10"	"5.40e-03"	A	"[98.77021]"	"[127.9972]"	"1s.2s"	"1S"	"0"	"1s.9p"	"1P*"	"1"		"T5231c4"	""	
"31.608"	""	"1.76e+10"	"7.91e-03"	A	"[98.77021]"	"[127.60077]"	"1s.2s"	"1S"	"0"	"1s.8p"	"1P*"	"1"		"T5231c4"	""	
"32.254"	""	"2.63e+10"	"1.23e-02"	A	"[98.77021]"	"[127.02263]"	"1s.2s"	"1S"	"0"	"1s.7p"	"1P*"	"1"		"T5231c4"	""	
"33.304"	""	"4.17e+10"	"2.08e-02"	A	"[98.77021]"	"[126.13204]"	"1s.2s"	"1S"	"0"	"1s.6p"	"1P*"	"1"		"T5231c4"	""	
"34.022"	""	"7.50e+10"	"2.17e-02"	A	"[97.83487]"	"[124.61920]"	"1s.2s"	"3S"	"1"	"1s.5p"	"3P*"	"2"		"T5231c4,LS"	""	
"34.025"	""	"7.49e+10"	"1.30e-02"	A	"[97.83487]"	"[124.61713]"	"1s.2s"	"3S"	"1"	"1s.5p"	"3P*"	"1"		"T5231c4,LS"	""	
"34.026"	""	"7.50e+10"	"4.34e-03"	A	"[97.83487]"	"[124.61660]"	"1s.2s"	"3S"	"1"	"1s.5p"	"3P*"	"0"		"T5231c4,LS"	""	
"35.132"	""	"8.16e+10"	"4.53e-02"	A	"[98.70835]"	"[124.64695]"	"1s.2p"	"3P*"	"0"	"1s.5d"	"3D"	"1"		"T5231c4,LS"	""	
"35.142"	""	"6.10e+10"	"1.13e-02"	A	"[98.71590]"	"[124.64695]"	"1s.2p"	"3P*"	"1"	"1s.5d"	"3D"	"1"		"T5231c4,LS"	""	
"35.142"	""	"1.10e+11"	"3.40e-02"	A	"[98.71590]"	"[124.6470]"	"1s.2p"	"3P*"	"1"	"1s.5d"	"3D"	"2"		"T5231c4,LS"	""	
"35.185"	""	"1.46e+11"	"3.80e-02"	A	"[98.74843]"	"[124.64778]"	"1s.2p"	"3P*"	"2"	"1s.5d"	"3D"	"3"		"T5231c4,LS"	""	
"35.186"	""	"4.06e+09"	"4.52e-04"	A	"[98.74843]"	"[124.64695]"	"1s.2p"	"3P*"	"2"	"1s.5d"	"3D"	"1"		"T5231c4,LS"	""	
