configuration	term	J	energy
1s	2S		0.0
2s	2S		108.1700859
2p	2P*		108.2136067
3s	2S		128.2235355
3p	2P*		128.2364287
3d	2D		128.247363
4s	2S		135.2396233
4p	2P*		135.2450602
4d	2D		135.2496727
4f	2F*		135.2516461
5s	2S		138.4859133
5p	2P*		138.488696
5d	2D		138.4910574
5f	2F*		138.4920678
5g	2G		138.4926288
6s	2S		140.2488437
6p	2P*		140.2504539
6d	2D		140.2518202
6f	2F*		140.2524049
6g	2G		140.2527296
6h	2H*		140.2529362
7s	2S		141.3116096
7p	2P*		141.3126233
7d	2D		141.3134837
7f	2F*		141.3138519
7g	2G		141.3140563
7h	2H*		141.3141864
7i	2I		141.3142765
8s	2S		142.0012705
8p	2P*		142.0019496
8d	2D		142.0025259
8f	2F*		142.0027725
8g	2G		142.0029095
8h	2H*		142.0029967
8i	2I		142.003057
8k	2K*		142.0031013
9s	2S		142.4740366
9p	2P*		142.4745135
9d	2D		142.4749182
9f	2F*		142.4750914
9g	2G		142.4751876
9h	2H*		142.4752489
9i	2I		142.4752912
9k	2K*		142.4753223
9l	2L		142.4753461
10s	2S		142.8121665
10p	2P*		142.8125141
10d	2D		142.8128091
10f	2F*		142.8129354
10g	2G		142.8130055
10h	2H*		142.8130501
10i	2I		142.813081
10k	2K*		142.8131037
10l	2L		142.813121
10m	2M*		142.8131347
11s	2S		143.0623216
11p	2P*		143.0625827
11d	2D		143.0628044
11f	2F*		143.0628992
11g	2G		143.0629519
11h	2H*		143.0629855
11i	2I		143.0630087
11k	2K*		143.0630257
11l	2L		143.0630387
11m	2M*		143.063049
11n	2N		143.0630573
