Configuration	Term	J	Prefix	Level (Ry)	Suffix	Uncertainty (Ry)	Leading percentages	Reference
"2s2.2p5"	"2P*"	"3/2"	""	"0.00000"	""	""	"                                                   "	"L4995"
"2s2.2p5"	"2P*"	"1/2"	""	"0.02030"	""	""	"                                                   "	""
"2s.2p6"	"2S"	"1/2"	""	"2.83889"	""	""	"  99             :     1  2p4.(1D).3d        2S    "	""
"2s2.2p4.(3P).3s"	"4P"	"5/2"	""	"4.954745"	""	""	" 100                                               "	""
"2s2.2p4.(3P).3s"	"4P"	"3/2"	""	"4.967659"	""	""	"  99             :     1  2s2.2p4.(3P).3s    2P    "	""
"2s2.2p4.(3P).3s"	"4P"	"1/2"	""	"4.975112"	""	""	" 100                                               "	""
"2s2.2p4.(3P).3s"	"2P"	"3/2"	""	"5.045377"	""	""	"  99             :     1  2s2.2p4.(3P).3s    4P    "	""
"2s2.2p4.(3P).3s"	"2P"	"1/2"	""	"5.060648"	""	""	" 100                                               "	""
"2s2.2p4.(1D).3s"	"2D"	"5/2"	""	"5.308699"	""	""	" 100                                               "	""
"2s2.2p4.(1D).3s"	"2D"	"3/2"	""	"5.308845"	""	""	" 100                                               "	""
"2s2.2p4.(3P).3p"	"4P*"	"5/2"	""	"5.435907"	""	""	"  99             :     1  2s2.2p4.(3P).3p    4D*   "	""
"2s2.2p4.(3P).3p"	"4P*"	"3/2"	""	"5.440863"	""	""	"  99             :     1  2s2.2p4.(3P).3p    4D*   "	""
"2s2.2p4.(3P).3p"	"4P*"	"1/2"	""	"5.445582"	""	""	" 100                                               "	""
"2s2.2p4.(3P).3p"	"4D*"	"7/2"	""	"5.496199"	""	""	" 100                                               "	""
"2s2.2p4.(3P).3p"	"4D*"	"5/2"	""	"5.504081"	""	""	"  96             :     3  2s2.2p4.(3P).3p    2D*   "	""
"2s2.2p4.(3P).3p"	"4D*"	"3/2"	""	"5.510094"	""	""	"  98             :     1  2s2.2p4.(3P).3p    2D*   "	""
"2s2.2p4.(3P).3p"	"4D*"	"1/2"	""	"5.513471"	""	""	" 100                                               "	""
"2s2.2p4.(3P).3p"	"2D*"	"5/2"	""	"5.539517"	""	""	"  97             :     3  2s2.2p4.(3P).3p    4D*   "	""
"2s2.2p4.(3P).3p"	"2D*"	"3/2"	""	"5.552403"	""	""	"  96             :     3  2s2.2p4.(3P).3p    2P*   "	""
"2s2.2p4.(3P).3p"	"*"	"1/2"	""	"5.567689"	"o"	""	"  43  2P*        :    41  2s2.2p4.(3P).3p    2S*   "	""
"2s2.2p4.(3P).3p"	"4S*"	"3/2"	""	"5.579072"	""	""	"  93             :     4  2s2.2p4.(3P).3p    2P*   "	""
"2s2.2p4.(3P).3p"	"2P*"	"3/2"	""	"5.581525"	""	""	"  69             :    20  2s2.2p4.(1D).3p    2P*   "	""
"2s2.2p4.(3P).3p"	"*"	"1/2"	""	"5.585552"	"o"	""	"  58  2S*        :    31  2s2.2p4.(3P).3p    2P*   "	""
"2s2.2p4.(1S).3s"	"2S"	"1/2"	""	"5.687305"	""	""	"  99             :     1  2s2.2p4.(1D).3d    2S    "	""
"2s2.2p4.(1D).3p"	"2F*"	"5/2"	""	"5.812788"	""	""	" 100                                               "	""
"2s2.2p4.(1D).3p"	"2F*"	"7/2"	""	"5.814913"	""	""	" 100                                               "	""
"2s2.2p4.(1D).3p"	"2D*"	"3/2"	""	"5.874423"	""	""	"  99             :     1  2s2.2p4.(1D).3p    2P*   "	""
"2s2.2p4.(1D).3p"	"2D*"	"5/2"	""	"5.875726"	""	""	" 100                                               "	""
"2s2.2p4.(1D).3p"	"2P*"	"3/2"	""	"5.923797"	""	""	"  76             :    24  2s2.2p4.(3P).3p    2P*   "	""
"2s2.2p4.(1D).3p"	"2P*"	"1/2"	""	"5.933204"	""	""	"  75             :    25  2s2.2p4.(3P).3p    2P*   "	""
"2s2.2p4.(3P).3d"	"4D"	"7/2"	""	"6.112653"	""	""	"  98             :     2  2s2.2p4.(3P).3d    4F    "	""
"2s2.2p4.(3P).3d"	"4D"	"5/2"	""	"6.114864"	""	""	"  97             :     1  2s2.2p4.(3P).3d    4F    "	""
"2s2.2p4.(3P).3d"	"4D"	"3/2"	""	"6.117555"	""	""	"  98             :     1  2s2.2p4.(3P).3d    4P    "	""
"2s2.2p4.(3P).3d"	"4D"	"1/2"	""	"6.119791"	""	""	"  99                                               "	""
"2s2.2p4.(3P).3d"	"4F"	"9/2"	""	"6.154426"	""	""	" 100                                               "	""
"2s2.2p4.(3P).3d"	"4F"	"7/2"	""	"6.160851"	""	""	"  79             :    21  2s2.2p4.(3P).3d    2F    "	""
"2s2.2p4.(3P).3d"	"4F"	"5/2"	""	"6.167696"	""	""	"  88             :     9  2s2.2p4.(3P).3d    2F    "	""
"2s2.2p4.(3P).3d"	"4F"	"3/2"	""	"6.172594"	""	""	"  97             :     2  2s2.2p4.(3P).3d    2D    "	""
"2s2.2p4.(3P).3d"	"2F"	"7/2"	""	"6.173396"	""	""	"  79             :    20  2s2.2p4.(3P).3d    4F    "	""
"2s2.2p4.(3P).3d"	"4P"	"1/2"	""	"6.178208"	""	""	"  99                                               "	""
