ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"1683.4116"	"g,a"	"1.88e+06"	"2.40e-03"	D+	"0.00000000"	"0.5413216"	"2p6.3s2"	"1S"	"0"	"3s.8p"	"1P*"	"1"		"T5539"	"L2195,L535"	
"1707.0606"	"g,a"	"3.28e+06"	"4.30e-03"	D+	"0.00000000"	"0.5338223"	"2p6.3s2"	"1S"	"0"	"3s.7p"	"1P*"	"1"		"T5539"	"L2195,L3454"	
"1747.7937"	"g,a"	"6.62e+06"	"9.10e-03"	C+	"0.00000000"	"0.52138137"	"2p6.3s2"	"1S"	"0"	"3s.6p"	"1P*"	"1"		"T5539"	"L2195,L535"	
"1827.9351"	"g,a"	"1.60e+07"	"2.40e-02"	B	"0.00000000"	"0.49852264"	"2p6.3s2"	"1S"	"0"	"3s.5p"	"1P*"	"1"		"T5539"	"L535"	
"2026.4768"	"9g"	"6.12e+07"	"1.13e-01"	B+	"0.00000000"	"0.44968048"	"2p6.3s2"	"1S"	"0"	"3s.4p"	"1P*"	"1"		"c45"	"L6095"	
"2085.199"	""	"7.24e-12"	""	E	"0.00000000"	"0.43701687"	"2p6.3s2"	"1S"	"0"	"3s.3d"	"3D"	"1"	M1	"c43"	""	
"2085.200"	""	"1.06e-03"	""	C	"0.00000000"	"0.43701659"	"2p6.3s2"	"1S"	"0"	"3s.3d"	"3D"	"2"	E2	"c43"	""	
"2089.813"	""	"2.69e+00"	""	B+	"0.00000000"	"0.43605187"	"2p6.3s2"	"1S"	"0"	"3s.4p"	"3P*"	"2"	M2	"c43"	""	
"2155.030"	""	"1.64e+03"	""	A	"0.00000000"	"0.42285584"	"2p6.3s2"	"1S"	"0"	"3s.3d"	"1D"	"2"	E2	"c43,T1"	""	
"2732.8028"	"8"	"6.97e+06"	"2.34e-02"	D+	"0.19911554"	"0.53257065"	"3s.3p"	"3P*"	"0"	"3s.6d"	"3D"	"1"		"T6298c72,LS"	"L6095"	
"2734.3016"	""	"5.21e+06"	"5.84e-03"	D	"0.19929833"	"0.53257065"	"3s.3p"	"3P*"	"1"	"3s.6d"	"3D"	"1"		"T6298c72,LS"	""	
"2734.3032"	"10"	"9.37e+06"	"1.75e-02"	D+	"0.19929833"	"0.53257046"	"3s.3p"	"3P*"	"1"	"3s.6d"	"3D"	"2"		"T6298c72,LS"	"L6095"	
"2737.3490"	""	"3.46e+05"	"2.33e-04"	E	"0.19966935"	"0.53257065"	"3s.3p"	"3P*"	"2"	"3s.6d"	"3D"	"1"		"T6298c72,LS"	""	
"2737.3505"	""	"3.12e+06"	"3.50e-03"	D	"0.19966935"	"0.53257046"	"3s.3p"	"3P*"	"2"	"3s.6d"	"3D"	"2"		"T6298c72,LS"	""	
"2737.3513"	"12"	"1.25e+07"	"1.96e-02"	C	"0.19966935"	"0.53257037"	"3s.3p"	"3P*"	"2"	"3s.6d"	"3D"	"3"		"T6298c72,LS"	"L6095"	
"2777.510"	"18"	"1.32e+08"	"2.54e-01"	B+	"0.19929833"	"0.5273861"	"3s.3p"	"3P*"	"1"	"3p2"	"3P"	"2"		"T4391"	"L6095"	
"2779.091"	"18"	"1.82e+08"	"6.32e-01"	C+	"0.19911554"	"0.5270167"	"3s.3p"	"3P*"	"0"	"3p2"	"3P"	"1"		"T6298c72,LS"	"L6095"	
"2780.641"	"20*"	"1.36e+08"	"1.58e-01"	C+	"0.19929833"	"0.5270167"	"3s.3p"	"3P*"	"1"	"3p2"	"3P"	"1"		"T6298c72,LS"	"L6095"	
"2780.654"	"20*"	"4.09e+08"	"4.74e-01"	B	"0.19966935"	"0.5273861"	"3s.3p"	"3P*"	"2"	"3p2"	"3P"	"2"		"T6298c72,LS"	"L6095"	
"2782.237"	"18"	"5.43e+08"	"2.10e-01"	C+	"0.19929833"	"0.5268287"	"3s.3p"	"3P*"	"1"	"3p2"	"3P"	"0"		"T6298c72,LS"	"L6095"	
"2783.792"	"18"	"2.14e+08"	"1.49e-01"	B+	"0.19966935"	"0.5270167"	"3s.3p"	"3P*"	"2"	"3p2"	"3P"	"1"		"T4391"	"L6095"	
"2810.583"	""	"3.14e+07"	"5.20e-02"	C	"0.43701659"	"0.7612437"	"3s.3d"	"3D"	"2"	"3p.3d"	"3D*"	"3"		"T6298c72,LS"	""	
"2810.584"	"3"	"2.50e+08"	"2.96e-01"	B	"0.43701675"	"0.7612437"	"3s.3d"	"3D"	"3"	"3p.3d"	"3D*"	"3"		"T6298c72,LS"	"L6095"	
