configuration	term	J	energy
3d3	4F	3/2	0.0
3d3	4F	5/2	0.003271
3d3	4F	7/2	0.00761
3d3	4F	9/2	0.012869
3d3	4P	1/2	0.149758
3d3	4P	3/2	0.151221
3d3	4P	5/2	0.155358
3d3	2G	7/2	0.163048
3d3	2G	9/2	0.167662
3d3	2P	3/2	0.208851
3d3	2P	1/2	0.210335
3d3	2D2	5/2	0.224445
3d3	2D2	3/2	0.224814
3d3	2H	9/2	0.227587
3d3	2H	11/2	0.230859
3d3	2F	7/2	0.368364
3d3	2F	5/2	0.37095
3d3	2D1	5/2	0.570528
3d3	2D1	3/2	0.572763
3d2.(3F).4s	4F	3/2	1.612453
3d2.(3F).4s	4F	5/2	1.615922
3d2.(3F).4s	4F	7/2	1.620909
3d2.(3F).4s	4F	9/2	1.627272
3d2.(3F).4s	2F	5/2	1.672529
3d2.(3F).4s	2F	7/2	1.682523
3d2.(1D).4s	2D	5/2	1.765868
3d2.(1D).4s	2D	3/2	1.767962
3d2.(3P).4s	4P	1/2	1.77049
3d2.(3P).4s	4P	3/2	1.773913
3d2.(3P).4s	4P	5/2	1.779729
3d2.(3P).4s	2P	1/2	1.824146
3d2.(3P).4s	2P	3/2	1.828641
3d2.(1G).4s	2G	9/2	1.85727
3d2.(1G).4s	2G	7/2	1.857411
3d2.(1S).4s	2S	1/2	2.156374
3d2.(3F).4p	4G*	5/2	2.20442
3d2.(3F).4p	4G*	7/2	2.212255
3d2.(3F).4p	4F*	3/2	2.215481
3d2.(3F).4p	4F*	5/2	2.220562
3d2.(3F).4p	4G*	9/2	2.221697
3d2.(3F).4p	4F*	7/2	2.226974
3d2.(3F).4p	4G*	11/2	2.23303
3d2.(3F).4p	4F*	9/2	2.23384
3d2.(3F).4p	2F*	5/2	2.237141
3d2.(3F).4p	2D*	3/2	2.243186
3d2.(3F).4p	2F*	7/2	2.244676
3d2.(3F).4p	4D*	1/2	2.24663
3d2.(3F).4p	4D*	5/2	2.249896
3d2.(3F).4p	4D*	3/2	2.252854
3d2.(3F).4p	4D*	7/2	2.257256
3d2.(3F).4p	2D*	5/2	2.260748
3d2.(3F).4p	2G*	7/2	2.286975
3d2.(3F).4p	2G*	9/2	2.293838
3d2.(3P).4p	2S*	1/2	2.313651
3d2.(3P).4p	4S*	3/2	2.345937
3d2.(1D).4p	2P*	3/2	2.360581
3d2.(1D).4p	2F*	5/2	2.365497
3d2.(1D).4p	2P*	1/2	2.369684
3d2.(3P).4p	4D*	1/2	2.373493
3d2.(1D).4p	2F*	7/2	2.375498
3d2.(3P).4p	4D*	3/2	2.376641
3d2.(3P).4p	4D*	5/2	2.382639
3d2.(1D).4p	2D*	3/2	2.389816
3d2.(3P).4p	4D*	7/2	2.392759
3d2.(1D).4p	2D*	5/2	2.395139
3d2.(3P).4p	4P*	1/2	2.409396
3d2.(3P).4p	4P*	3/2	2.412419
3d2.(3P).4p	4P*	5/2	2.419308
3d2.(1G).4p	2G*	7/2	2.420137
3d2.(1G).4p	2G*	9/2	2.421546
3d2.(3P).4p	2D*	5/2	2.460015
3d2.(3P).4p	2D*	3/2	2.460132
3d2.(1G).4p	2H*	9/2	2.474041
3d2.(1G).4p	2H*	11/2	2.484482
3d2.(3P).4p	2P*	1/2	2.487603
3d2.(3P).4p	2P*	3/2	2.489694
3d2.(1G).4p	2F*	7/2	2.520492
3d2.(1G).4p	2F*	5/2	2.527837
3d2.(1S).4p	2P*	1/2	2.76756
3d2.(1S).4p	2P*	3/2	2.781619
3d2.(3F).4d	4H	7/2	3.080604
3d2.(3F).4d	4H	9/2	3.085413
3d2.(3F).4d	4H	11/2	3.090703
3d2.(3F).4d	4H	13/2	3.095985
