Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Lande	Leading percentages	Reference
"3d5.(6S).4s"	"a 7S"	"3"	" 0.00000000"	""	"1.992"	"                                         "	"L7185,L562"
"3d5.(6S).4s"	"a 5S"	"2"	" 0.08632426"	"0.00000006"	"2.006"	"                                         "	"L7185,L562"
"3d6"	"a 5D"	"4"	" 0.13054690"	"0.00000007"	"1.49"	"                                         "	"L7185,L562"
"3d6"	"a 5D"	"3"	" 0.13298881"	"0.00000005"	"1.487"	"                                         "	"L7185,L562"
"3d6"	"a 5D"	"2"	" 0.13469625"	"0.00000005"	"1.501"	"                                         "	"L7185,L562"
"3d6"	"a 5D"	"1"	" 0.13578975"	"0.00000005"	"1.495"	"                                         "	"L7185,L562"
"3d6"	"a 5D"	"0"	" 0.13632442"	"0.00000013"	""	"                                         "	"L7185,L562"
"3d5.(4G).4s"	"a 5G"	"6"	" 0.2510291"	"0.0000004"	"1.349"	"                                         "	"L7185,L562"
"3d5.(4G).4s"	"a 5G"	"5"	" 0.2512477"	"0.0000003"	"1.274"	"                                         "	"L7185,L562"
"3d5.(4G).4s"	"a 5G"	"4"	" 0.2513602"	"0.0000003"	"1.16"	"                                         "	"L7185,L562"
"3d5.(4G).4s"	"a 5G"	"3"	" 0.2514052"	"0.0000003"	"0.98"	"                                         "	"L7185,L562"
"3d5.(4G).4s"	"a 5G"	"2"	" 0.2514127"	"0.0000004"	"0.34"	"                                         "	"L7185,L562"
"3d6"	"a 3P"	"2"	" 0.2721902"	"0.0000004"	"1.497"	"                                         "	"L7185,L562"
"3d5.(4P).4s"	"a 5P"	"3"	" 0.27237347"	"0.00000005"	"1.652"	"                                         "	"L7185,L562"
"3d5.(4P).4s"	"a 5P"	"2"	" 0.27264603"	"0.00000005"	"1.813"	"                                         "	"L7185,L562"
"3d5.(4P).4s"	"a 5P"	"1"	" 0.27293755"	"0.00000006"	"2.475"	"                                         "	"L7185,L562"
"3d6"	"a 3H"	"6"	" 0.2781525"	"0.0000005"	"1.141"	"                                         "	"L7185,L562"
"3d6"	"a 3H"	"5"	" 0.2795723"	"0.0000004"	"1.03"	"                                         "	"L7185,L562"
"3d6"	"a 3P"	"1"	" 0.2796219"	"0.0000005"	"1.48"	"                                         "	"L7185,L562"
"3d6"	"a 3H"	"4"	" 0.2806343"	"0.0000005"	"0.80"	"                                         "	"L7185,L562"
"3d6"	"a 3P"	"0"	" 0.2826951"	"0.0000006"	""	"                                         "	"L7185,L562"
"3d6"	"a 3F"	"4"	" 0.2871832"	"0.0000003"	"1.25"	"                                         "	"L7185,L562"
"3d6"	"a 3F"	"3"	" 0.2885257"	"0.0000004"	"1.066"	"                                         "	"L7185,L562"
"3d6"	"a 3F"	"2"	" 0.2894294"	"0.0000004"	"0.66"	"                                         "	"L7185,L562"
"3d5.(4D).4s"	"b 5D"	"4"	" 0.29878533"	"0.00000018"	"1.497"	"                                         "	"L7185,L562"
"3d5.(4D).4s"	"b 5D"	"0"	" 0.2990636"	"0.0000004"	""	"                                         "	"L7185,L562"
"3d5.(4D).4s"	"b 5D"	"1"	" 0.29923039"	"0.00000018"	"1.507"	"                                         "	"L7185,L562"
"3d5.(4D).4s"	"b 5D"	"3"	" 0.2994175"	"0.0000003"	"1.515"	"                                         "	"L7185,L562"
"3d5.(4D).4s"	"b 5D"	"2"	" 0.29943461"	"0.00000018"	"1.497"	"                                         "	"L7185,L562"
"3d5.(4G).4s"	"a 3G"	"5"	" 0.30206416"	"0.00000018"	"1.202"	"  57         :    42  3d6           3G   "	"L7185,L562"
"3d5.(4G).4s"	"a 3G"	"4"	" 0.3029841"	"0.0000003"	"1.054"	"  64         :    34  3d6           3G   "	"L7185,L562"
"3d5.(4G).4s"	"a 3G"	"3"	" 0.30325810"	"0.00000018"	"0.746"	"  68         :    31  3d6           3G   "	"L7185,L562"
"3d6"	"b 3G"	"5"	" 0.31677555"	"0.00000017"	"1.204"	"  56         :    43  3d5.(4G).4s   3G   "	"L7185,L562"
"3d6"	"b 3G"	"4"	" 0.31813034"	"0.00000018"	"1.054"	"  63         :    36  3d5.(4G).4s   3G   "	"L7185,L562"
"3d6"	"b 3G"	"3"	" 0.31898712"	"0.00000018"	"0.745"	"  67         :    32  3d5.(4G).4s   3G   "	"L7185,L562"
"3d5.(4P).4s"	"b 3P"	"2"	" 0.33055866"	"0.00000018"	"1.463"	"                                         "	"L7185,L562"
"3d5.(4P).4s"	"b 3P"	"1"	" 0.33137898"	"0.00000018"	"1.474"	"                                         "	"L7185,L562"
"3d5.(4P).4s"	"b 3P"	"0"	" 0.3319584"	"0.0000003"	""	"                                         "	"L7185,L562"
"3d6"	"a 3D"	"1"	" 0.3445672"	"0.0000003"	"0.524"	"                                         "	"L7185,L562"
"3d6"	"a 3D"	"2"	" 0.34489840"	"0.00000015"	"1.15"	"                                         "	"L7185,L562"
"3d6"	"a 3D"	"3"	" 0.34492816"	"0.00000018"	"1.37"	"                                         "	"L7185,L562"
"3d5.(6S).4p"	"z 7P*"	"2"	" 0.34961883"	"0.00000003"	"2.315"	" 100                                     "	"L7185,L562"
"3d5.(6S).4p"	"z 7P*"	"3"	" 0.35123077"	"0.00000003"	"1.923"	" 100                                     "	"L7185,L562"
"3d6"	"a 1I"	"6"	" 0.3528450"	"0.0000005"	"1.022"	"                                         "	"L7185,L562"
"3d5.(6S).4p"	"z 7P*"	"4"	" 0.35363259"	"0.00000003"	"1.740"	" 100                                     "	"L7185,L562"
"3d6"	"a 1G"	"4"	" 0.3545000"	"0.0000006"	"0.96"	"                                         "	"L7185,L562"
"3d5.(4D).4s"	"b 3D"	"3"	" 0.36276167"	"0.00000015"	"1.34"	"                                         "	"L7185,L562"
"3d5.(4D).4s"	"b 3D"	"2"	" 0.36280968"	"0.00000018"	"1.15"	"                                         "	"L7185,L562"
"3d5.(4D).4s"	"b 3D"	"1"	" 0.36292951"	"0.00000018"	"0.518"	"                                         "	"L7185,L562"
"3d6"	"a 1S"	"0"	" 0.3714290"	"0.0000015"	""	"                                         "	"L7185,L562"
"3d5.(2I).4s"	"a 3I"	"7"	" 0.3752836"	"0.0000005"	"1.133"	"                                         "	"L7185,L562"
"3d5.(2I).4s"	"a 3I"	"6"	" 0.3753557"	"0.0000003"	"1.025"	"                                         "	"L7185,L562"
