configuration	term	J	energy
3d5.(6S).4s	a 7S	3	0.0
3d5.(6S).4s	a 5S	2	0.08632426
3d6	a 5D	4	0.1305469
3d6	a 5D	3	0.13298881
3d6	a 5D	2	0.13469625
3d6	a 5D	1	0.13578975
3d6	a 5D	0	0.13632442
3d5.(4G).4s	a 5G	6	0.2510291
3d5.(4G).4s	a 5G	5	0.2512477
3d5.(4G).4s	a 5G	4	0.25136020000000003
3d5.(4G).4s	a 5G	3	0.2514052
3d5.(4G).4s	a 5G	2	0.2514127
3d6	a 3P	2	0.2721902
3d5.(4P).4s	a 5P	3	0.27237347
3d5.(4P).4s	a 5P	2	0.27264603
3d5.(4P).4s	a 5P	1	0.27293755
3d6	a 3H	6	0.2781525
3d6	a 3H	5	0.2795723
3d6	a 3P	1	0.2796219
3d6	a 3H	4	0.2806343
3d6	a 3P	0	0.2826951
3d6	a 3F	4	0.2871832
3d6	a 3F	3	0.2885257
3d6	a 3F	2	0.28942940000000006
3d5.(4D).4s	b 5D	4	0.29878533
3d5.(4D).4s	b 5D	0	0.2990636
3d5.(4D).4s	b 5D	1	0.29923039
3d5.(4D).4s	b 5D	3	0.2994175
3d5.(4D).4s	b 5D	2	0.29943461
3d5.(4G).4s	a 3G	5	0.30206416
3d5.(4G).4s	a 3G	4	0.3029841
3d5.(4G).4s	a 3G	3	0.3032581
3d6	b 3G	5	0.31677555
3d6	b 3G	4	0.31813034
3d6	b 3G	3	0.31898712
3d5.(4P).4s	b 3P	2	0.33055866
3d5.(4P).4s	b 3P	1	0.33137898
3d5.(4P).4s	b 3P	0	0.33195840000000004
3d6	a 3D	1	0.3445672
3d6	a 3D	2	0.3448984
3d6	a 3D	3	0.34492816
3d5.(6S).4p	z 7P*	2	0.34961883
3d5.(6S).4p	z 7P*	3	0.35123077
3d6	a 1I	6	0.35284499999999996
3d5.(6S).4p	z 7P*	4	0.35363259
3d6	a 1G	4	0.3545
3d5.(4D).4s	b 3D	3	0.36276167
3d5.(4D).4s	b 3D	2	0.36280968
3d5.(4D).4s	b 3D	1	0.36292951
3d6	a 1S	0	0.371429
3d5.(2I).4s	a 3I	7	0.3752836
3d5.(2I).4s	a 3I	6	0.3753557
3d5.(2I).4s	a 3I	5	0.37548190000000004
3d6	a 1D	2	0.39304320000000004
3d5.(4F).4s	a 5F	1	0.39468182
3d5.(2D).4s	c 3D	2	0.39493815
3d5.(6S).4p	z 5P*	3	0.39522141
3d5.(2D).4s	c 3D	3	0.39544794
3d5.(6S).4p	z 5P*	2	0.39626142
3d5.(4F).4s	a 5F	5	0.39666235
3d5.(4F).4s	a 5F	4	0.39674003
