ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"933.0682"	"0.0017"	""	"2.e+04"	"3.e-06"	E	"0.00000000"	"0.976635"	"3d5.(6S).4s"	"a 7S"	"3"	"3d4.(b 3F).4s.4p.(3P*)"	"u 5P*"	"3"		"T7574,c88"	""	
"936.7690"	"0.0018"	""	"2.e+04"	"2.e-06"	E	"0.00000000"	"0.972777"	"3d5.(6S).4s"	"a 7S"	"3"	"3d4.(b 3F).4s.4p.(3P*)"	"u 5P*"	"2"		"T7574,c88"	""	
"953.0441"	"0.0014"	"1"	"3.e+08"	"4.e-02"	E	"0.13054690"	"1.0867115"	"3d6"	"a 5D"	"4"	"3d5.(6S).8f"	"5F*"	"5"		"c88"	"L562"	
"972.5495"	"0.0019"	"10"	"2.e+08"	"4.e-02"	E	"0.13054690"	"1.067535"	"3d6"	"a 5D"	"4"	"3d5.(6S).7f"	"5F*"	"5"		"c88"	"L562"	
"1002.9977"	"0.0004"	"22"	"2.e+08"	"5.e-02"	E	"0.13054690"	"1.0390904"	"3d6"	"a 5D"	"4"	"3d5.(6S).6f"	"5F*"	"5"		"c88"	"L562"	
"1023.5382"	"0.0020"	"20"	"5.e+08"	"1.0e-01"	E	"0.08632426"	"0.976635"	"3d5.(6S).4s"	"a 5S"	"2"	"3d4.(b 3F).4s.4p.(3P*)"	"u 5P*"	"3"		"c88"	"L562"	
"1027.9932"	"0.0021"	"18"	"4.e+08"	"7.e-02"	E	"0.08632426"	"0.972777"	"3d5.(6S).4s"	"a 5S"	"2"	"3d4.(b 3F).4s.4p.(3P*)"	"u 5P*"	"2"		"c88"	"L562"	
"1050.3488"	"0.0012"	""	"4.e+05"	"8.e-05"	E	"0.00000000"	"0.8675852"	"3d5.(6S).4s"	"a 7S"	"3"	"3d4.(5D).4s.4p.(3P*)"	"w 5D*"	"4"		"T7574,c88"	""	
"1052.7449"	"0.0012"	""	"1.2e+05"	"2.e-05"	E	"0.00000000"	"0.8656105"	"3d5.(6S).4s"	"a 7S"	"3"	"3d4.(5D).4s.4p.(3P*)"	"w 5D*"	"3"		"T7574,c88"	""	
"1053.8847"	"0.0010"	""	"5.e+03"	"6.e-07"	E	"0.00000000"	"0.8646743"	"3d5.(6S).4s"	"a 7S"	"3"	"3d4.(5D).4s.4p.(3P*)"	"w 5D*"	"2"		"T7574,c88"	""	
