configuration	term	J	energy
2s2.2p	2P*	1/2	0.0
2s2.2p	2P*	3/2	0.0015890000000000001
2s.2p2	4P	1/2	0.521127
2s.2p2	4P	3/2	0.521671
2s.2p2	4P	5/2	0.52241
2s.2p2	2D	5/2	0.9205979999999999
2s.2p2	2D	3/2	0.920659
2s.2p2	2S	1/2	1.193799
2s.2p2	2P	1/2	1.329317
2s.2p2	2P	3/2	1.3303200000000002
2p3	4S*	3/2	1.70222
2p3	2D*	5/2	1.850552
2p3	2D*	3/2	1.850682
2s2.3s	2S	1/2	2.016654
2p3	2P*	1/2	2.099598
2p3	2P*	3/2	2.099638
2s2.3p	2P*	1/2	2.238668
2s2.3p	2P*	3/2	2.238995
2s2.3d	2D	3/2	2.4352549999999997
2s2.3d	2D	5/2	2.435307
2s.2p.(3P*).3s	4P*	1/2	2.620161
2s.2p.(3P*).3s	4P*	3/2	2.620727
2s.2p.(3P*).3s	4P*	5/2	2.621778
2s.2p.(3P*).3s	2P*	1/2	2.707841
2s.2p.(3P*).3s	2P*	3/2	2.708873
2s2.4s	2S	1/2	2.743667
2s.2p.(3P*).3p	2P	1/2	2.817011
2s.2p.(3P*).3p	2P	3/2	2.817503
2s.2p.(3P*).3p	4D	1/2	2.8217950000000003
2s.2p.(3P*).3p	4D	3/2	2.822119
2s.2p.(3P*).3p	4D	5/2	2.822682
2s.2p.(3P*).3p	4D	7/2	2.823559
2s2.4p	2P*	1/2	2.840331
2s2.4p	2P*	3/2	2.840558
2s.2p.(3P*).3p	4S	3/2	2.863359
2s.2p.(3P*).3p	4P	1/2	2.8913919999999997
2s.2p.(3P*).3p	4P	3/2	2.89178
2s.2p.(3P*).3p	4P	5/2	2.892318
2s2.4d	2D	3/2	2.89553
2s2.4d	2D	5/2	2.89582
2s2.4f	2F*	5/2	2.918672
2s2.4f	2F*	7/2	2.918682
2s.2p.(3P*).3p	2D	3/2	2.924969
2s.2p.(3P*).3p	2D	5/2	2.925776
2s.2p.(3P*).3p	2S	1/2	2.980372
2s.2p.(3P*).3d	4F*	3/2	3.009296
2s.2p.(3P*).3d	4F*	5/2	3.00961
2s.2p.(3P*).3d	4F*	7/2	3.010084
2s.2p.(3P*).3d	4F*	9/2	3.010734
2s.2p.(3P*).3d	4D*	1/2	3.0326169999999997
2s.2p.(3P*).3d	4D*	3/2	3.032737
2s.2p.(3P*).3d	4D*	5/2	3.032934
2s.2p.(3P*).3d	4D*	7/2	3.033189
2s2.5s	2S	1/2	3.041007
2s.2p.(3P*).3d	2D*	3/2	3.048555
2s.2p.(3P*).3d	2D*	5/2	3.048811
2s.2p.(3P*).3d	4P*	5/2	3.063743
2s.2p.(3P*).3d	4P*	3/2	3.064241
2s.2p.(3P*).3d	4P*	1/2	3.0645599999999997
