ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"865.227"	""	"3.74e+06"	"6.30e-04"	D	"0.00000000"	"1.053211"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).9s"	"4P"	"5/2"		"T5723LS"	""	
"865.835"	""	"3.74e+06"	"4.20e-04"	D	"0.00000000"	"1.052472"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).9s"	"4P"	"3/2"		"T5723LS"	""	
"866.180"	""	"3.73e+06"	"2.10e-04"	E	"0.00000000"	"1.052053"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).9s"	"4P"	"1/2"		"T5723LS"	""	
"869.404"	""	"5.56e+06"	"9.45e-04"	D+	"0.00000000"	"1.048151"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).8s"	"4P"	"5/2"		"T5723LS"	""	
"870.026"	""	"5.55e+06"	"6.30e-04"	D	"0.00000000"	"1.047402"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).8s"	"4P"	"3/2"		"T5723LS"	""	
"870.367"	""	"5.54e+06"	"3.15e-04"	D	"0.00000000"	"1.046991"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).8s"	"4P"	"1/2"		"T5723LS"	""	
"875.277"	""	"3.40e+07"	"1.95e-03"	D+	"0.00000000"	"1.041118"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).6d"	"4P"	"1/2"		"T5723LS"	""	
"875.657"	""	"3.39e+07"	"3.90e-03"	D+	"0.00000000"	"1.040667"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).6d"	"4P"	"3/2"		"T5723LS"	""	
"875.721"	""	"3.39e+07"	"5.85e-03"	D+	"0.00000000"	"1.040590"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).6d"	"4P"	"5/2"		"T5723LS"	""	
"876.067"	""	"8.81e+06"	"1.52e-03"	D+	"0.00000000"	"1.04017967"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).7s"	"4P"	"5/2"		"T5723LS"	""	
"876.646"	""	"8.79e+06"	"1.01e-03"	D+	"0.00000000"	"1.03949283"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).7s"	"4P"	"3/2"		"T5723LS"	""	
"876.988"	""	"8.78e+06"	"5.06e-04"	D	"0.00000000"	"1.03908733"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).7s"	"4P"	"1/2"		"T5723LS"	""	
"885.973"	""	"5.58e+07"	"3.28e-03"	D+	"0.00000000"	"1.0285496"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).5d"	"4P"	"1/2"		"T5723LS"	""	
"886.226"	""	"5.58e+07"	"6.57e-03"	D+	"0.00000000"	"1.0282557"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).5d"	"4P"	"3/2"		"T5723LS"	""	
"886.333"	""	"5.58e+07"	"9.86e-03"	D+	"0.00000000"	"1.02813212"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).5d"	"4P"	"5/2"		"T5723LS"	""	
"887.458"	""	"1.51e+07"	"2.67e-03"	D+	"0.00000000"	"1.02682837"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).6s"	"4P"	"5/2"		"T5723LS"	""	
"888.024"	""	"1.51e+07"	"1.79e-03"	D+	"0.00000000"	"1.02617429"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).6s"	"4P"	"3/2"		"T5723LS"	""	
"888.372"	""	"1.51e+07"	"8.93e-04"	D+	"0.00000000"	"1.02577204"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).6s"	"4P"	"1/2"		"T5723LS"	""	
"906.207"	""	"9.99e+07"	"6.15e-03"	D+	"0.00000000"	"1.00558332"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).4d"	"4P"	"1/2"		"T5723LS"	""	
"906.432"	""	"9.99e+07"	"1.23e-02"	D+	"0.00000000"	"1.00533461"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).4d"	"4P"	"3/2"		"T5723LS"	""	
"906.619"	""	"9.98e+07"	"1.84e-02"	D+	"0.00000000"	"1.00512732"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).4d"	"4P"	"5/2"		"T5723LS"	""	
"909.697"	"90"	"2.93e+07"	"5.45e-03"	D+	"0.00000000"	"1.00172544"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).5s"	"4P"	"5/2"		"T5723LS"	"L3513"	
"910.278"	"80"	"2.92e+07"	"3.63e-03"	D+	"0.00000000"	"1.00108627"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).5s"	"4P"	"3/2"		"T5723LS"	"L3513"	
"910.645"	"40"	"2.92e+07"	"1.82e-03"	D+	"0.00000000"	"1.00068270"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).5s"	"4P"	"1/2"		"T5723LS"	"L3513"	
"951.079"	""	"8.29e+05"	"1.69e-04"	B	"0.00000000"	"0.95813998"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).3d"	"2D"	"5/2"		"T7370"	""	
"951.295"	""	"1.71e+05"	"2.32e-05"	B	"0.00000000"	"0.95792283"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).3d"	"2D"	"3/2"		"T7370"	""	
"952.303"	""	"1.12e+07"	"2.29e-03"	B	"0.00000000"	"0.9569083"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).3d"	"4D"	"5/2"		"T7370"	""	
"952.415"	""	"1.45e+07"	"1.97e-03"	B	"0.00000000"	"0.9567964"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).3d"	"4D"	"3/2"		"T7370"	""	
"952.523"	""	"7.62e+06"	"5.18e-04"	B	"0.00000000"	"0.9566880"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).3d"	"4D"	"1/2"		"T7370"	""	
"953.415"	"90"	"1.90e+08"	"1.29e-02"	B	"0.00000000"	"0.9557925"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).3d"	"4P"	"1/2"		"T7370"	"L3513"	
"953.655"	"100"	"1.81e+08"	"2.47e-02"	B	"0.00000000"	"0.9555522"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).3d"	"4P"	"3/2"		"T7370"	"L3513"	
"953.970"	"130"	"1.62e+08"	"3.31e-02"	B	"0.00000000"	"0.95523669"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).3d"	"4P"	"5/2"		"T7370"	"L3513"	
"954.104"	""	"1.95e+07"	"4.00e-03"	B+	"0.00000000"	"0.95510228"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).3d"	"2F"	"5/2"		"T7370"	""	
"955.264"	""	"3.37e+05"	"6.92e-05"	B+	"0.00000000"	"0.95394223"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).3d"	"4F"	"5/2"		"T7370"	""	
"955.437"	""	"1.40e+04"	"1.91e-06"	B+	"0.00000000"	"0.95376973"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).3d"	"4F"	"3/2"		"T7370"	""	
"955.529"	""	"2.63e+05"	"1.80e-05"	B	"0.00000000"	"0.95367769"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).3d"	"2P"	"1/2"		"T7370"	""	
