configuration	term	J	energy
2s2.2p5	2P*	3/2	0.0
2s2.2p5	2P*	1/2	0.0124529
2s.2p6	2S	1/2	2.409891
2s2.2p4.(3P).3s	4P	5/2	3.3366445
2s2.2p4.(3P).3s	4P	3/2	3.3447206
2s2.2p4.(3P).3s	4P	1/2	3.3493635999999998
2s2.2p4.(3P).3s	2P	3/2	3.4047882000000005
2s2.2p4.(3P).3s	2P	1/2	3.4143345999999997
2s2.2p4.(1D).3s	2D	5/2	3.6375476000000004
2s2.2p4.(1D).3s	2D	3/2	3.6376169000000003
2s2.2p4.(3P).3p	4P*	5/2	3.7014769999999997
2s2.2p4.(3P).3p	4P*	3/2	3.7047619
2s2.2p4.(3P).3p	4P*	1/2	3.7076277
2s2.2p4.(3P).3p	4D*	7/2	3.7450974
2s2.2p4.(3P).3p	4D*	5/2	3.7501954
2s2.2p4.(3P).3p	4D*	3/2	3.7539808
2s2.2p4.(3P).3p	4D*	1/2	3.7561467000000004
2s2.2p4.(3P).3p	2D*	5/2	3.775214
2s2.2p4.(3P).3p	2D*	3/2	3.7833282
2s2.2p4.(3P).3p	2S*	1/2	3.7991572
2s2.2p4.(3P).3p	4S*	3/2	3.8036649
2s2.2p4.(3P).3p	2P*	3/2	3.8129008
2s2.2p4.(3P).3p	2P*	1/2	3.8141678
2s2.2p4.(1S).3s	2S	1/2	3.9642668
2s2.2p4.(1D).3p	2F*	5/2	4.0181428
2s2.2p4.(1D).3p	2F*	7/2	4.019195
2s2.2p4.(1D).3p	2D*	3/2	4.0624059
2s2.2p4.(1D).3p	2D*	5/2	4.0630956
2s2.2p4.(1D).3p	2P*	3/2	4.078357100000001
2s2.2p4.(1D).3p	2P*	1/2	4.0834543
2s2.2p4.(3P).3d	4D	7/2	4.1941723
2s2.2p4.(3P).3d	4D	5/2	4.1955619
2s2.2p4.(3P).3d	4D	3/2	4.1972379
2s2.2p4.(3P).3d	4D	1/2	4.198635400000001
2s2.2p4.(3P).3d	4F	9/2	4.2181735
2s2.2p4.(3P).3d	4F	7/2	4.221406
2s2.2p4.(3P).3d	4F	5/2	4.225471499999999
2s2.2p4.(3P).3d	2F	7/2	4.228014099999999
2s2.2p4.(3P).3d	4F	3/2	4.2289822
2s2.2p4.(3P).3d	2F	5/2	4.2318346
2s2.2p4.(3P).3d	4P	1/2	4.232033
2s2.2p4.(3P).3d	4P	3/2	4.234031900000001
2s2.2p4.(3P).3d	4P	5/2	4.236894
2s2.2p4.(3P).3d	2D	3/2	4.2375543
2s2.2p4.(3P).3d	2D	5/2	4.2410239999999995
2s2.2p4.(3P).3d	2P	1/2	4.246613
2s2.2p4.(3P).3d	2P	3/2	4.2536855000000005
2s2.2p4.(1S).3p	2P*	1/2	4.3635384
2s2.2p4.(1S).3p	2P*	3/2	4.3639127
2s2.2p4.(3P).4s	4P	5/2	4.3738570999999995
2s2.2p4.(3P).4s	4P	3/2	4.3811824999999995
2s2.2p4.(3P).4s	4P	1/2	4.386462799999999
2s2.2p4.(3P).4s	2P	3/2	4.3959722999999995
2s2.2p4.(3P).4s	2P	1/2	4.4049606
2s2.2p4.(1D).3d	2G	9/2	4.4862944
2s2.2p4.(1D).3d	2G	7/2	4.4863172
2s2.2p4.(1D).3d	2P	3/2	4.4942967000000005
2s2.2p4.(1D).3d	2P	1/2	4.4952255
2s2.2p4.(1D).3d	2S	1/2	4.500285400000001
2s2.2p4.(1D).3d	2D	5/2	4.5071517
2s2.2p4.(1D).3d	2D	3/2	4.5079092
2s2.2p4.(1D).3d	2F	5/2	4.514688099999999
2s2.2p4.(1D).3d	2F	7/2	4.5147377
2s2.2p4.(1D).4s	2D	3/2	4.6605277
2s2.2p4.(1D).4s	2D	5/2	4.6605323
2s2.2p4.(3P).4d	4F	5/2	4.68398
2s2.2p4.(3P).4d	4P	3/2	4.68454
2s2.2p4.(3P).4d	4F	3/2	4.68611
