ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"100.880"	"0.007"	"10*"	"1.86e+10"	"2.84e-02"	D	"0.44053"	"9.4737?"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(1D).5d"	"2D"	"5/2"		"u21,LS"	"L7482"	
"100.880"	"0.007"	""	"2.00e+09"	"2.03e-03"	E	"0.44053"	"9.4737?"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(1D).5d"	"2D"	"3/2"		"u21,LS"	""	
"100.884"	"0.007"	"10*"	"1.80e+10"	"2.74e-02"	D	"0.44086"	"9.4737?"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(1D).5d"	"2D"	"3/2"		"u21,LS"	"L7482"	
"100.884"	"0.007"	""	"1.33e+09"	"3.04e-03"	E	"0.44086"	"9.4737?"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(1D).5d"	"2D"	"5/2"		"u21,LS"	""	
"106.2778"	"0.0023"	"100"	"6.44e+10"	"1.09e-01"	D+	"0.00000"	"8.57439"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).4d"	"4P"	"3/2"		"u21,LS"	"L7482"	
"106.302"	"0.010"	"100"	"6.41e+10"	"1.63e-01"	D+	"0.00000"	"8.5725"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).4d"	"4P"	"5/2"		"u21,LS"	"L7482"	
"107.937"	"0.007"	"200"	"2.58e+10"	"4.51e-02"	D	"0.44053"	"8.8831"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(1D).4d?"	"2D?"	"5/2"		"u21,LS"	"L7482"	
"107.937"	"0.007"	""	"2.77e+09"	"3.22e-03"	E	"0.44053"	"8.8831"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(1D).4d?"	"2D?"	"3/2"		"u21,LS"	""	
"107.941"	"0.007"	""	"2.49e+10"	"4.35e-02"	D	"0.44086"	"8.8831"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(1D).4d?"	"2D?"	"3/2"		"u21,LS"	""	
"107.941"	"0.007"	""	"1.84e+09"	"4.83e-03"	E	"0.44086"	"8.8831"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(1D).4d?"	"2D?"	"5/2"		"u21,LS"	""	
"108.017"	"0.011"	"200*"	"3.85e+10"	"8.98e-02"	D+	"0.44053"	"8.8769?"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(1D).4d"	"2F"	"7/2"		"u21,LS"	"L7482"	
"108.017"	"0.011"	""	"2.57e+09"	"4.49e-03"	E	"0.44053"	"8.8769?"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(1D).4d"	"2F"	"5/2"		"u21,LS"	""	
"108.021"	"0.011"	"200*"	"3.59e+10"	"9.43e-02"	D+	"0.44086"	"8.8769?"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(1D).4d"	"2F"	"5/2"		"u21,LS"	"L7482"	
"110.812"	"0.006"	""	"4.97e+09"	"9.15e-03"	E	"0.44053"	"8.6641?"	"2s2.2p3"	"2D*"	"5/2"	"2s.2p3.(3D*).3p"	"2F"	"5/2"		"u21,LS"	""	
"110.816"	"0.006"	"200"	"6.95e+10"	"1.92e-01"	D+	"0.44086"	"8.6641?"	"2s2.2p3"	"2D*"	"3/2"	"2s.2p3.(3D*).3p"	"2F"	"5/2"		"u21,LS"	"L7482"	
"110.878"	"0.004"	"200"	"7.45e+10"	"1.83e-01"	C	"0.44053"	"8.6592"	"2s2.2p3"	"2D*"	"5/2"	"2s.2p3.(3D*).3p"	"2F"	"7/2"		"u21,LS"	"L7482"	
"110.916"	"0.007"	""	"1.58e+10"	"5.81e-02"	D	"0.667345"	"8.8831"	"2s2.2p3"	"2P*"	"1/2"	"2s2.2p2.(1D).4d?"	"2D?"	"3/2"		"u21,LS"	""	
"110.921"	"0.007"	""	"3.15e+09"	"5.81e-03"	E	"0.667659"	"8.8831"	"2s2.2p3"	"2P*"	"3/2"	"2s2.2p2.(1D).4d?"	"2D?"	"3/2"		"u21,LS"	""	
"110.921"	"0.007"	"10"	"1.89e+10"	"5.23e-02"	D	"0.667659"	"8.8831"	"2s2.2p3"	"2P*"	"3/2"	"2s2.2p2.(1D).4d?"	"2D?"	"5/2"		"u21,LS"	"L7482"	
