ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"177.24"	"0.06"	""	"5.1e+09"	"7.2e-02"	E	"0.0000000"	"5.1414"	"2s2.2p6"	"1S"	"0"	"2s.2p6.3p"	"1P*"	"1"		"T6036c79"	"L4668"	
"300.153"	"0.010"	"160"	"1.2e+09"	"4.8e-02"	D	"0.0000000"	"3.0360041"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<1/2>).3d"	"2[3/2]*"	"1"		"T7663"	"L914"	
"300.203"	"0.010"	"160"	"4.0e+08"	"1.6e-02"	D	"0.0000000"	"3.0355011"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<1/2>).4s"	"2[1/2]*"	"1"		"T7663c80"	"L914"	
"301.319"	"0.010"	"90"	"3.62e+08"	"1.48e-02"	D	"0.0000000"	"3.0242578"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<3/2>).4s"	"2[3/2]*"	"1"		"T7663c79"	"L914"	
"301.436"	"0.010"	"100"	"3.3e+09"	"1.4e-01"	D+	"0.0000000"	"3.0230834"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<3/2>).3d"	"2[3/2]*"	"1"		"T6036"	"L914"	
"302.447"	"0.010"	"60"	"5.95e+07"	"2.45e-03"	B	"0.0000000"	"3.0129838"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<3/2>).3d"	"2[1/2]*"	"1"		"T7663"	"L914"	
"333.218"	"0.010"	""	"1.60e+04"	""	B	"0.0000000"	"2.7347481"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.3p"	"3P"	"2"	E2	"T7663"	""	
"334.236"	"0.010"	""	"4.50e+04"	""	B+	"0.0000000"	"2.7264195"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.3p"	"1D"	"2"	E2	"T7663"	""	
"335.981"	"0.010"	""	"6.40e+03"	""	C+	"0.0000000"	"2.7122552"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.3p"	"3D"	"2"	E2	"T7663"	""	
"372.075"	"0.010"	"300"	"3.13e+09"	"1.95e-01"	B+	"0.0000000"	"2.4491483"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.3s"	"1P*"	"1"		"T6577"	"L914"	
"376.379"	"0.010"	"350"	"1.70e+08"	"1.08e-02"	C	"0.0000000"	"2.4211420"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.3s"	"3P*"	"1"		"T6577"	"L914"	
"2316.360"	"0.010"	"300"	"1.05e+07"	"2.82e-03"	C+	"2.4211420"	"2.8145467"	"2s2.2p5.3s"	"3P*"	"1"	"2s2.2p5.3p"	"1S"	"0"		"c49,T6036"	"L914"	
"2493.900"	"0.010"	"1000"	"4.15e+08"	"1.29e-01"	A	"2.4491483"	"2.8145467"	"2s2.2p5.3s"	"1P*"	"1"	"2s2.2p5.3p"	"1S"	"0"		"c49,T6036"	"L914"	
"2503.592"	"0.010"	"300"	"1.2e+07"	"1.1e-02"	E	"2.6720203"	"3.0360041"	"2s2.2p5.3p"	"3S"	"1"	"2s2.2p5.(2P*<1/2>).3d"	"2[3/2]*"	"1"		"T6036c80"	"L914"	
"2507.057"	"0.010"	"450"	"2.7e+07"	"2.6e-02"	C+	"2.6720203"	"3.0355011"	"2s2.2p5.3p"	"3S"	"1"	"2s2.2p5.(2P*<1/2>).4s"	"2[1/2]*"	"1"		"T7663"	"L914"	
"2516.214"	"0.010"	"600"	"2.25e+07"	"3.57e-02"	C+	"2.6720203"	"3.0341782"	"2s2.2p5.3p"	"3S"	"1"	"2s2.2p5.(2P*<1/2>).3d"	"2[3/2]*"	"2"		"T6036"	"L914"	
"2526.409"	"0.010"	"50"	"2.78e+05"	"4.43e-04"	D	"2.6720203"	"3.0327169"	"2s2.2p5.3p"	"3S"	"1"	"2s2.2p5.(2P*<1/2>).3d"	"2[5/2]*"	"2"		"T7663"	"L914"	
"2532.301"	"0.010"	"600"	"8.44e+07"	"2.70e-02"	C+	"2.6720203"	"3.0318776"	"2s2.2p5.3p"	"3S"	"1"	"2s2.2p5.(2P*<1/2>).4s"	"2[1/2]*"	"0"		"T7663"	"L914"	
"2587.081"	"0.010"	"550"	"5.80e+07"	"5.82e-02"	C	"2.6720203"	"3.0242578"	"2s2.2p5.3p"	"3S"	"1"	"2s2.2p5.(2P*<3/2>).4s"	"2[3/2]*"	"1"		"T7663c79"	"L914"	
"2595.735"	"0.010"	"600"	"3.71e+07"	"3.74e-02"	B	"2.6720203"	"3.0230834"	"2s2.2p5.3p"	"3S"	"1"	"2s2.2p5.(2P*<3/2>).3d"	"2[3/2]*"	"1"		"T7663"	"L914"	
"2601.101"	"0.010"	"45"	"4.9e+05"	"8.2e-04"	E	"2.6720203"	"3.0223592"	"2s2.2p5.3p"	"3S"	"1"	"2s2.2p5.(2P*<3/2>).3d"	"2[5/2]*"	"2"		"T6036c79"	"L914"	
"2612.591"	"0.010"	"850"	"2.2e+08"	"3.7e-01"	E	"2.6720203"	"3.0208185"	"2s2.2p5.3p"	"3S"	"1"	"2s2.2p5.(2P*<3/2>).4s"	"2[3/2]*"	"2"		"T7663c78"	"L914"	
"2661.789"	"0.010"	"850"	"1.65e+08"	"2.92e-01"	B+	"2.6720203"	"3.0143716"	"2s2.2p5.3p"	"3S"	"1"	"2s2.2p5.(2P*<3/2>).3d"	"2[3/2]*"	"2"		"T6036"	"L914"	
"2672.623"	"0.010"	"1000"	"2.64e+08"	"2.82e-01"	B+	"2.6720203"	"3.0129838"	"2s2.2p5.3p"	"3S"	"1"	"2s2.2p5.(2P*<3/2>).3d"	"2[1/2]*"	"1"		"T6036"	"L914"	
"2678.881"	"0.010"	"850"	"3.01e+08"	"1.08e-01"	B	"2.6720203"	"3.0121873"	"2s2.2p5.3p"	"3S"	"1"	"2s2.2p5.(2P*<3/2>).3d"	"2[1/2]*"	"0"		"T6036"	"L914"	
"2800.042"	"0.010"	"80"	"2.64e+06"	"2.21e-03"	D+	"2.7087306"	"3.0341782"	"2s2.2p5.3p"	"3D"	"3"	"2s2.2p5.(2P*<1/2>).3d"	"2[3/2]*"	"2"		"T6036"	"L914"	
"2809.533"	"0.010"	"650"	"1.5e+07"	"1.8e-02"	E	"2.7087306"	"3.0330788"	"2s2.2p5.3p"	"3D"	"3"	"2s2.2p5.(2P*<1/2>).3d"	"2[5/2]*"	"3"		"T7663c79"	"L914"	
