Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Leading percentages	Reference
"2p6.3s"	"2S"	"1/2"	" 0.0000000000"	""	"                                                                                              "	"L13237"
"2p6.3p"	"2P*"	"1/2"	" 0.1545159925"	"0.0000000004"	"                                                                                              "	""
"2p6.3p"	"2P*"	"3/2"	" 0.1546726935"	"0.0000000005"	"                                                                                              "	""
"2p6.4s"	"2S"	"1/2"	" 0.23456013"	"0.00000003"	"                                                                                              "	""
"2p6.3d"	"2D"	"5/2"	" 0.265842451"	"0.000000018"	"                                                                                              "	""
"2p6.3d"	"2D"	"3/2"	" 0.265842907"	"0.000000018"	"                                                                                              "	""
"2p6.4p"	"2P*"	"1/2"	" 0.27581311"	"0.00000018"	"                                                                                              "	""
"2p6.4p"	"2P*"	"3/2"	" 0.27586405"	"0.00000018"	"                                                                                              "	""
"2p6.5s"	"2S"	"1/2"	" 0.302546794"	"0.000000018"	"                                                                                              "	""
"2p6.4d"	"2D"	"5/2"	" 0.314831184"	"0.000000018"	"                                                                                              "	""
"2p6.4d"	"2D"	"3/2"	" 0.314831503"	"0.000000018"	"                                                                                              "	""
"2p6.4f"	"2F*"	"5/2"	" 0.31517921"	"0.00000018"	"                                                                                              "	""
"2p6.4f"	"2F*"	"7/2"	" 0.31517921"	"0.00000018"	"                                                                                              "	""
"2p6.5p"	"2P*"	"1/2"	" 0.31931144"	"0.00000018"	"                                                                                              "	""
"2p6.5p"	"2P*"	"3/2"	" 0.31933395"	"0.00000018"	"                                                                                              "	""
"2p6.6s"	"2S"	"1/2"	" 0.331451683"	"0.000000018"	"                                                                                              "	""
"2p6.5d"	"2D"	"5/2"	" 0.337503718"	"0.000000018"	"                                                                                              "	""
"2p6.5d"	"2D"	"3/2"	" 0.337503900"	"0.000000018"	"                                                                                              "	""
"2p6.5f"	"2F*"	"5/2"	" 0.33769415"	"0.00000018"	"                                                                                              "	""
"2p6.5f"	"2F*"	"7/2"	" 0.33769415"	"0.00000018"	"                                                                                              "	""
