configuration	term	J	energy
2p6.3s	2S	1/2	0.0
2p6.3p	2P*	1/2	0.1545159925
2p6.3p	2P*	3/2	0.15467269349999999
2p6.4s	2S	1/2	0.23456013
2p6.3d	2D	5/2	0.26584245100000004
2p6.3d	2D	3/2	0.265842907
2p6.4p	2P*	1/2	0.27581311
2p6.4p	2P*	3/2	0.27586405
2p6.5s	2S	1/2	0.302546794
2p6.4d	2D	5/2	0.314831184
2p6.4d	2D	3/2	0.314831503
2p6.4f	2F*	5/2	0.31517921
2p6.4f	2F*	7/2	0.31517921
2p6.5p	2P*	1/2	0.31931144
2p6.5p	2P*	3/2	0.31933395
2p6.6s	2S	1/2	0.331451683
2p6.5d	2D	5/2	0.33750371799999995
2p6.5d	2D	3/2	0.3375039
2p6.5f	2F*	5/2	0.33769415
2p6.5f	2F*	7/2	0.33769415
