ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"2434.50328"	"0.00012"	""	"3.87e+03"	"6.88e-06"	C+'	"0.0000000000"	"[0.374313339]"	"2p6.3s"	"2S"	"1/2"	"2p6.18p"	"2P*"	"3/2"		"T76n,T817"	""	
"2434.50535"	"0.00012"	""	"3.87e+03"	"3.44e-06"	C+'	"0.0000000000"	"[0.374313020]"	"2p6.3s"	"2S"	"1/2"	"2p6.18p"	"2P*"	"1/2"		"T76n,T817"	""	
"2437.33241"	"0.00012"	""	"4.64e+03"	"8.26e-06"	C+'	"0.0000000000"	"[0.373878856]"	"2p6.3s"	"2S"	"1/2"	"2p6.17p"	"2P*"	"3/2"		"T76n,T817"	""	
"2437.33496"	"0.00012"	""	"4.64e+03"	"4.13e-06"	C+'	"0.0000000000"	"[0.373878464]"	"2p6.3s"	"2S"	"1/2"	"2p6.17p"	"2P*"	"1/2"		"T76n,T817"	""	
"2440.74911"	"0.00012"	""	"5.6e+03"	"1.0e-05"	C+'	"0.0000000000"	"[0.373355478]"	"2p6.3s"	"2S"	"1/2"	"2p6.16p"	"2P*"	"3/2"		"T76n,T817"	""	
"2440.75220"	"0.00012"	""	"5.6e+03"	"5.0e-06"	C+'	"0.0000000000"	"[0.373355005]"	"2p6.3s"	"2S"	"1/2"	"2p6.16p"	"2P*"	"1/2"		"T76n,T817"	""	
"2444.92889"	"0.00012"	""	"6.8e+03"	"1.2e-05"	C+'	"0.0000000000"	"[0.372717200]"	"2p6.3s"	"2S"	"1/2"	"2p6.15p"	"2P*"	"3/2"		"T76n,T817"	""	
"2444.93266"	"0.00012"	""	"6.8e+03"	"6.1e-06"	C+'	"0.0000000000"	"[0.372716626]"	"2p6.3s"	"2S"	"1/2"	"2p6.15p"	"2P*"	"1/2"		"T76n,T817"	""	
"2450.11853"	"0.00012"	""	"8.6e+03"	"1.5e-05"	C+'	"0.0000000000"	"[0.371927742]"	"2p6.3s"	"2S"	"1/2"	"2p6.14p"	"2P*"	"3/2"		"T76n,T817"	""	
"2450.12327"	"0.00012"	""	"8.6e+03"	"7.7e-06"	C+'	"0.0000000000"	"[0.371927022]"	"2p6.3s"	"2S"	"1/2"	"2p6.14p"	"2P*"	"1/2"		"T76n,T817"	""	
"2456.67385"	"0.00012"	""	"1.12e+04"	"2.03e-05"	C+'	"0.0000000000"	"[0.370935299]"	"2p6.3s"	"2S"	"1/2"	"2p6.13p"	"2P*"	"3/2"		"T76n,T817"	""	
"2456.67989"	"0.00012"	""	"1.12e+04"	"1.01e-05"	C+'	"0.0000000000"	"[0.370934388]"	"2p6.3s"	"2S"	"1/2"	"2p6.13p"	"2P*"	"1/2"		"T76n,T817"	""	
"2465.12386"	"0.00012"	""	"1.44e+04"	"2.62e-05"	C+'	"0.0000000000"	"[0.369663799]"	"2p6.3s"	"2S"	"1/2"	"2p6.12p"	"2P*"	"3/2"		"T76n,T817"	""	
