ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"217.3258"	"0.0010"	"4*"	"3.1e+09"	"3.1e-02"	C	"0.00000000"	"4.1930928"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(2P*).3d"	"3D*"	"3"		"c52"	"L3347"	
"217.3314"	"0.0010"	"4*"	"7.4e+08"	"5.2e-03"	C	"0.00000000"	"4.1929830"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(2P*).3d"	"3D*"	"2"		"c52"	"L3347"	
"217.3370"	"0.0010"	"0m"	"7.9e+07"	"3.4e-04"	C	"0.00000000"	"4.1928756"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(2P*).3d"	"3D*"	"1"		"c52"	"L11606"	
"217.6355"	"0.0010"	"3*"	"2.6e+09"	"3.1e-02"	C	"0.00585832"	"4.1929830"	"2s2.2p4"	"3P"	"1"	"2s2.2p3.(2P*).3d"	"3D*"	"2"		"c52"	"L3347"	
"217.6411"	"0.0010"	"3*"	"1.4e+09"	"9.9e-03"	C	"0.00585832"	"4.1928756"	"2s2.2p4"	"3P"	"1"	"2s2.2p3.(2P*).3d"	"3D*"	"1"		"c52"	"L3347"	
"217.7727"	"0.0010"	"3bl"	"2.0e+09"	"4.3e-02"	C	"0.00838867"	"4.1928756"	"2s2.2p4"	"3P"	"0"	"2s2.2p3.(2P*).3d"	"3D*"	"1"		"c52"	"L3347"	
"218.1299"	"0.0010"	"5bl"	"3.9e+09"	"2.8e-02"	B	"0.00000000"	"4.1776353"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(2P*).3d"	"3P*"	"2"		"c52"	"L3347"	
"218.1808"	"0.0010"	"2bl"	"2.2e+09"	"9.4e-03"	B	"0.00000000"	"4.1766604"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(2P*).3d"	"3P*"	"1"		"c52"	"L3347"	
"218.4362"	"0.0010"	"0m"	"1.2e+09"	"1.4e-02"	B	"0.00585832"	"4.1776353"	"2s2.2p4"	"3P"	"1"	"2s2.2p3.(2P*).3d"	"3P*"	"2"		"c52"	"L11606"	
"218.4872"	"0.0010"	"4bl*"	"1.6e+09"	"1.1e-02"	B	"0.00585832"	"4.1766604"	"2s2.2p4"	"3P"	"1"	"2s2.2p3.(2P*).3d"	"3P*"	"1"		"c52"	"L3347"	
"218.4995"	"0.0010"	"4bl*"	"3.1e+06"	"3.1e-05"	C	"0.00000000"	"4.1705685"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(2P*).3d"	"3F*"	"3"		"c52"	"L3347"	
"218.5110"	"0.0010"	"4bl*"	"6.2e+09"	"1.5e-02"	C	"0.00585832"	"4.1762075"	"2s2.2p4"	"3P"	"1"	"2s2.2p3.(2P*).3d"	"3P*"	"0"		"c52"	"L3347"	
"218.6199"	"0.0010"	"5*"	"2.0e+09"	"4.3e-02"	C	"0.00838867"	"4.1766604"	"2s2.2p4"	"3P"	"0"	"2s2.2p3.(2P*).3d"	"3P*"	"1"		"c52"	"L3347"	
"227.2461"	"0.0010"	"12bl*"	"8.2e+09"	"3.8e-02"	C	"0.00000000"	"4.0100451"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(2D*).3d"	"3S*"	"1"		"c52"	"L11606"	
"227.4305"	"0.0010"	"12bl*"	"1.1e+10"	"5.1e-02"	C	"0.00000000"	"4.0067937"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(2D*).3d"	"3P*"	"1"		"c52"	"L11606"	
"227.4935"	"0.0010"	"12bl*"	"1.5e+10"	"1.2e-01"	C	"0.00000000"	"4.0056844"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(2D*).3d"	"3P*"	"2"		"c52"	"L11606"	
