configuration	term	J	energy
1s2	1S		0.0
1s.2s	3S		66.52195
1s.2s	1S		67.27593
1s.2p	3P*	0	67.23511
1s.2p	3P*	1	67.23784
1s.2p	3P*	2	67.25196
1s.2p	1P*		67.76692
1s.3s	3S		78.57856
1s.3p	3P*		78.77671
1s.3s	1S		78.77794
1s.3d	3D		78.88956
1s.3p	1P*		78.92056
1s.3d	1D		78.9376
1s.4s	3S		82.69931
1s.4p	3P*		82.78078
1s.4s	1S		82.78005
1s.4f	3F*		82.83235
1s.4d	3D		82.83741
1s.4p	1P*		82.83992
1s.4f	1F*		82.87427
1s.5s	3S		84.58563
1s.5p	3P*		84.62676
1s.5s	1S		84.62618
1s.5d	3D		84.64304
1s.5f	3F*		84.65489
1s.5p	1P*		84.65671
1s.5f	1F*		84.6968
1s.6p	3P*		85.61354
1s.6p	1P*		85.62447
1s.6f	3F*		85.64452
1s.6d	3D		85.6591
1s.6f	1F*		85.68644
1s.7p	3P*		86.20586
1s.7d	3D		86.2332
1s.7p	1P*		86.25325
1s.8p	1P*		86.67972
