ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"10.643"	""	"3.01e+11"	"1.532e-02"	AA	"0.00000"	"85.62447"	"1s2"	"1S"	"0"	"1s.6p"	"1P*"	"1"		"T7543"	""	
"10.644"	""	"2.067e+08"	"1.053e-05"	AA	"0.00000"	"85.61354"	"1s2"	"1S"	"0"	"1s.6p"	"3P*"	"1"		"T7543"	""	
"10.764"	""	"5.20e+11"	"2.71e-02"	AA	"0.00000"	"84.65671"	"1s2"	"1S"	"0"	"1s.5p"	"1P*"	"1"		"T7543"	""	
"10.768"	""	"3.52e+08"	"1.837e-05"	AA	"0.00000"	"84.62627"	"1s2"	"1S"	"0"	"1s.5p"	"3P*"	"1"		"T7543"	""	
"11.000"	""	"1.024e+12"	"5.57e-02"	AA	"0.00000"	"82.83992"	"1s2"	"1S"	"0"	"1s.4p"	"1P*"	"1"		"T7543"	""	
"11.008"	""	"6.84e+08"	"3.73e-05"	AA	"0.00000"	"82.77986"	"1s2"	"1S"	"0"	"1s.4p"	"3P*"	"1"		"T7543"	""	
"11.547"	""	"2.478e+12"	"1.486e-01"	AA	"0.00000"	"78.92056"	"1s2"	"1S"	"0"	"1s.3p"	"1P*"	"1"		"T7543"	""	
"11.568"	""	"1.604e+09"	"9.65e-05"	AA	"0.00000"	"78.77448"	"1s2"	"1S"	"0"	"1s.3p"	"3P*"	"1"		"T7543"	""	
"13.447"	""	"8.85e+12"	"7.20e-01"	AA	"0.00000"	"67.76692"	"1s2"	"1S"	"0"	"1s.2p"	"1P*"	"1"		"T7543"	""	
"13.553"	""	"5.25e+09"	"4.34e-04"	AA	"0.00000"	"67.23784"	"1s2"	"1S"	"0"	"1s.2p"	"3P*"	"1"		"T7543"	""	
"47.731"	""	"1.957e+10"	"1.114e-02"	AA	"66.52195"	"85.61354"	"1s.2s"	"3S"	"1"	"1s.6p"	"3P*"	"2"		"T7543LS"	""	
"47.731"	""	"1.957e+10"	"6.68e-03"	AA	"66.52195"	"85.61354"	"1s.2s"	"3S"	"1"	"1s.6p"	"3P*"	"1"		"T7543LS"	""	
"47.731"	""	"1.957e+10"	"2.228e-03"	AA	"66.52195"	"85.61354"	"1s.2s"	"3S"	"1"	"1s.6p"	"3P*"	"0"		"T7543LS"	""	
"49.46"	""	"2.016e+10"	"2.218e-02"	AA	"67.23511"	"85.65910"	"1s.2p"	"3P*"	"0"	"1s.6d"	"3D"	"1"		"T7543LS"	""	
"49.47"	""	"2.72e+10"	"1.663e-02"	AA	"67.23784"	"85.65910"	"1s.2p"	"3P*"	"1"	"1s.6d"	"3D"	"2"		"T7543LS"	""	
"49.47"	""	"1.511e+10"	"5.54e-03"	AA	"67.23784"	"85.65910"	"1s.2p"	"3P*"	"1"	"1s.6d"	"3D"	"1"		"T7543LS"	""	
"49.51"	""	"9.05e+09"	"3.32e-03"	AA	"67.25196"	"85.65910"	"1s.2p"	"3P*"	"2"	"1s.6d"	"3D"	"2"		"T7543LS"	""	
"49.51"	""	"1.005e+09"	"2.216e-04"	AA	"67.25196"	"85.65910"	"1s.2p"	"3P*"	"2"	"1s.6d"	"3D"	"1"		"T7543LS"	""	
"49.51"	""	"3.62e+10"	"1.861e-02"	AA	"67.25196"	"85.65910"	"1s.2p"	"3P*"	"2"	"1s.6d"	"3D"	"3"		"T7543LS"	""	
"49.664"	""	"1.864e+10"	"2.068e-02"	AA	"67.27593"	"85.62447"	"1s.2s"	"1S"	"0"	"1s.6p"	"1P*"	"1"		"T7543"	""	
"49.694"	""	"1.357e+07"	"1.507e-05"	AA	"67.27593"	"85.61354"	"1s.2s"	"1S"	"0"	"1s.6p"	"3P*"	"1"		"T7543"	""	
"50.332"	""	"3.36e+10"	"2.124e-02"	AA	"66.52195"	"84.62718"	"1s.2s"	"3S"	"1"	"1s.5p"	"3P*"	"2"		"T7543LS"	""	
"50.334"	""	"3.36e+10"	"1.275e-02"	AA	"66.52195"	"84.62627"	"1s.2s"	"3S"	"1"	"1s.5p"	"3P*"	"1"		"T7543LS"	""	
"50.335"	""	"3.36e+10"	"4.25e-03"	AA	"66.52195"	"84.62609"	"1s.2s"	"3S"	"1"	"1s.5p"	"3P*"	"0"		"T7543LS"	""	
"52.348"	""	"3.66e+10"	"4.51e-02"	AA	"67.23511"	"84.64304"	"1s.2p"	"3P*"	"0"	"1s.5d"	"3D"	"1"		"T7543LS"	""	
"52.356"	""	"4.94e+10"	"3.38e-02"	AA	"67.23784"	"84.64304"	"1s.2p"	"3P*"	"1"	"1s.5d"	"3D"	"2"		"T7543LS"	""	
"52.356"	""	"2.75e+10"	"1.128e-02"	AA	"67.23784"	"84.64304"	"1s.2p"	"3P*"	"1"	"1s.5d"	"3D"	"1"		"T7543LS"	""	
"52.399"	""	"6.57e+10"	"3.79e-02"	AA	"67.25196"	"84.64304"	"1s.2p"	"3P*"	"2"	"1s.5d"	"3D"	"3"		"T7543LS"	""	
"52.399"	""	"1.643e+10"	"6.76e-03"	AA	"67.25196"	"84.64304"	"1s.2p"	"3P*"	"2"	"1s.5d"	"3D"	"2"		"T7543LS"	""	
"52.399"	""	"1.826e+09"	"4.51e-04"	AA	"67.25196"	"84.64304"	"1s.2p"	"3P*"	"2"	"1s.5d"	"3D"	"1"		"T7543LS"	""	
"52.407"	""	"5.02e+06"	"6.90e-07"	AA	"67.23784"	"84.62618"	"1s.2p"	"3P*"	"1"	"1s.5s"	"1S"	"0"		"T7543"	""	
"52.430"	""	"3.19e+10"	"3.95e-02"	AA	"67.27593"	"84.65671"	"1s.2s"	"1S"	"0"	"1s.5p"	"1P*"	"1"		"T7543"	""	
"52.521"	""	"1.251e+09"	"1.552e-03"	AA	"67.23511"	"84.58563"	"1s.2p"	"3P*"	"0"	"1s.5s"	"3S"	"1"		"T7543LS"	""	
"52.522"	""	"2.303e+07"	"2.86e-05"	AA	"67.27593"	"84.62627"	"1s.2s"	"1S"	"0"	"1s.5p"	"3P*"	"1"		"T7543"	""	
"52.529"	""	"3.75e+09"	"1.552e-03"	AA	"67.23784"	"84.58563"	"1s.2p"	"3P*"	"1"	"1s.5s"	"3S"	"1"		"T7543LS"	""	
