Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Leading percentages	Reference
"2s2.2p5"	"2P*"	"3/2"	" 0.000000000"	"0"	" 100                                                              "	"L9088"
"2s2.2p5"	"2P*"	"1/2"	" 0.007111747"	"0.000000018"	" 100                                                              "	"L9088"
"2s.2p6"	"2S"	"1/2"	" 1.97788324"	"0.0000008"	"  98                                                              "	"L9088"
"2s2.2p4.(3P).3s"	"4P"	"5/2"	" 1.996866422"	"0.000000010"	" 100                                                              "	"L9088"
"2s2.2p4.(3P).3s"	"4P"	"3/2"	" 2.001583722"	"0.00000005"	" 100                                                              "	"L9088"
"2s2.2p4.(3P).3s"	"4P"	"1/2"	" 2.004308598"	"0.000000010"	" 100                                                              "	"L9088"
"2s2.2p4.(3P).3s"	"2P"	"3/2"	" 2.042031079"	"0.000000012"	" 100                                                              "	"L9088"
"2s2.2p4.(3P).3s"	"2P"	"1/2"	" 2.047610425"	"0.000000013"	" 100                                                              "	"L9088"
"2s2.2p4.(3P).3p"	"4P*"	"5/2"	" 2.243470341"	"0.000000013"	"  99                                                              "	"L9088"
"2s2.2p4.(1D).3s"	"2D"	"5/2"	" 2.245308432"	"0.000000014"	" 100                                                              "	"L9088"
"2s2.2p4.(1D).3s"	"2D"	"3/2"	" 2.245339058"	"0.000000018"	" 100                                                              "	"L9088"
"2s2.2p4.(3P).3p"	"4P*"	"3/2"	" 2.245498834"	"0.000000010"	"  99                                                              "	"L9088"
"2s2.2p4.(3P).3p"	"4P*"	"1/2"	" 2.247163410"	"0.000000011"	" 100                                                              "	"L9088"
"2s2.2p4.(3P).3p"	"4D*"	"7/2"	" 2.270044718"	"0.000000013"	" 100                                                              "	"L9088"
"2s2.2p4.(3P).3p"	"4D*"	"5/2"	" 2.273118872"	"0.000000011"	"  98                                                              "	"L9088"
"2s2.2p4.(3P).3p"	"4D*"	"3/2"	" 2.275392865"	"0.000000012"	"  99                                                              "	"L9088"
"2s2.2p4.(3P).3p"	"4D*"	"1/2"	" 2.276706124"	"0.000000013"	" 100                                                              "	"L9088"
"2s2.2p4.(3P).3p"	"2D*"	"5/2"	" 2.287381913"	"0.000000014"	"  99                                                              "	"L9088"
"2s2.2p4.(3P).3p"	"2D*"	"3/2"	" 2.292037992"	"0.000000014"	"  99                                                              "	"L9088"
"2s2.2p4.(3P).3p"	"2S*"	"1/2"	" 2.303669120"	"0.000000018"	"  93                            :     6  2s2.2p4.(3P).3p    2P*   "	"L9088"
"2s2.2p4.(3P).3p"	"4S*"	"3/2"	" 2.305082079"	"0.000000012"	"  99                                                              "	"L9088"
"2s2.2p4.(3P).3p"	"2P*"	"3/2"	" 2.316121797"	"0.000000013"	"  92                            :     6  2s2.2p4.(1D).3p    2P*   "	"L9088"
"2s2.2p4.(3P).3p"	"2P*"	"1/2"	" 2.317280742"	"0.000000014"	"  86                            :     7  2s2.2p4.(1D).3p    2P*   "	"L9088"
"2s2.2p4.(1D).3p"	"2F*"	"5/2"	" 2.500193830"	"0.000000018"	" 100                                                              "	"L9088"
"2s2.2p4.(1D).3p"	"2F*"	"7/2"	" 2.500599557"	"0.000000018"	" 100                                                              "	"L9088"
"2s2.2p4.(1D).3p"	"2P*"	"3/2"	" 2.517619776"	"0.000000018"	"  89                            :     5  2s2.2p4.(3P).3p    2P*   "	"L9088"
"2s2.2p4.(1D).3p"	"2P*"	"1/2"	" 2.51976092"	"0.00000003"	"  89                            :     6  2s2.2p4.(3P).3p    2P*   "	"L9088"
"2s2.2p4.(1S).3s"	"2S"	"1/2"	" 2.521267378"	"0.00000003"	"  97                                                              "	"L9088"
"2s2.2p4.(1D).3p"	"2D*"	"3/2"	" 2.527176594"	"0.00000003"	" 100                                                              "	"L9088"
"2s2.2p4.(1D).3p"	"2D*"	"5/2"	" 2.527346926"	"0.000000018"	" 100                                                              "	"L9088"
"2s2.2p4.(3P).3d"	"4D"	"7/2"	" 2.543689023"	"0.00000003"	"  96                                                              "	"L9088"
"2s2.2p4.(3P).3d"	"4D"	"5/2"	" 2.544427480"	"0.000000018"	"  94                                                              "	"L9088"
"2s2.2p4.(3P).3d"	"4D"	"3/2"	" 2.545395534"	"0.000000018"	"  95                                                              "	"L9088"
"2s2.2p4.(3P).3d"	"4D"	"1/2"	" 2.54628854"	"0.00000003"	"  97                                                              "	"L9088"
"2s2.2p4.(3P).3d"	"4F"	"9/2"	" 2.553124101"	"0.00000003"	" 100                                                              "	"L9088"
"2s2.2p4.(3P).3d"	"2F"	"7/2"	" 2.553938144"	"0.00000003"	"  55                            :    45  2s2.2p4.(3P).3d    4F    "	"L9088"
"2s2.2p4.(3P).3d"	"2D"	"5/2"	" 2.553998552"	"0.00000003"	"  58                            :    21  2s2.2p4.(3P).3d    2F    "	"L9088"
"2s2.2p4.(3P).3d"	"2D"	"3/2"	" 2.555863092"	"0.000000018"	"  68                            :    18  2s2.2p4.(3P).3d    4F    "	"L9088"
"2s2.2p4.(3P).3d"	"4F"	"7/2"	" 2.557933378"	"0.000000018"	"  52                            :    44  2s2.2p4.(3P).3d    2F    "	"L9088"
"2s2.2p4.(3P).3d"	"4P"	"1/2"	" 2.558550902"	"0.000000018"	"  96                                                              "	"L9088"
