configuration	term	J	energy
2s2.2p5	2P*	3/2	0.0
2s2.2p5	2P*	1/2	0.007111747
2s.2p6	2S	1/2	1.97788324
2s2.2p4.(3P).3s	4P	5/2	1.9968664219999999
2s2.2p4.(3P).3s	4P	3/2	2.001583722
2s2.2p4.(3P).3s	4P	1/2	2.004308598
2s2.2p4.(3P).3s	2P	3/2	2.042031079
2s2.2p4.(3P).3s	2P	1/2	2.047610425
2s2.2p4.(3P).3p	4P*	5/2	2.243470341
2s2.2p4.(1D).3s	2D	5/2	2.245308432
2s2.2p4.(1D).3s	2D	3/2	2.2453390580000003
2s2.2p4.(3P).3p	4P*	3/2	2.245498834
2s2.2p4.(3P).3p	4P*	1/2	2.24716341
2s2.2p4.(3P).3p	4D*	7/2	2.2700447180000003
2s2.2p4.(3P).3p	4D*	5/2	2.273118872
2s2.2p4.(3P).3p	4D*	3/2	2.275392865
2s2.2p4.(3P).3p	4D*	1/2	2.276706124
2s2.2p4.(3P).3p	2D*	5/2	2.287381913
2s2.2p4.(3P).3p	2D*	3/2	2.292037992
2s2.2p4.(3P).3p	2S*	1/2	2.30366912
2s2.2p4.(3P).3p	4S*	3/2	2.305082079
2s2.2p4.(3P).3p	2P*	3/2	2.316121797
2s2.2p4.(3P).3p	2P*	1/2	2.317280742
2s2.2p4.(1D).3p	2F*	5/2	2.50019383
2s2.2p4.(1D).3p	2F*	7/2	2.5005995569999997
2s2.2p4.(1D).3p	2P*	3/2	2.517619776
2s2.2p4.(1D).3p	2P*	1/2	2.51976092
2s2.2p4.(1S).3s	2S	1/2	2.521267378
2s2.2p4.(1D).3p	2D*	3/2	2.527176594
2s2.2p4.(1D).3p	2D*	5/2	2.527346926
2s2.2p4.(3P).3d	4D	7/2	2.543689023
2s2.2p4.(3P).3d	4D	5/2	2.54442748
2s2.2p4.(3P).3d	4D	3/2	2.545395534
2s2.2p4.(3P).3d	4D	1/2	2.54628854
2s2.2p4.(3P).3d	4F	9/2	2.553124101
2s2.2p4.(3P).3d	2F	7/2	2.553938144
2s2.2p4.(3P).3d	2D	5/2	2.553998552
2s2.2p4.(3P).3d	2D	3/2	2.555863092
2s2.2p4.(3P).3d	4F	7/2	2.557933378
2s2.2p4.(3P).3d	4P	1/2	2.558550902
2s2.2p4.(3P).3d	4F	5/2	2.558812715
2s2.2p4.(3P).3d	4F	3/2	2.56017814
2s2.2p4.(3P).3d	4P	3/2	2.560564938
2s2.2p4.(3P).3d	2F	5/2	2.560896727
2s2.2p4.(3P).3d	4P	5/2	2.562221928
2s2.2p4.(3P).3d	2P	1/2	2.56369057
2s2.2p4.(3P).3d	2P	3/2	2.567224045
2s2.2p4.(3P).4s	4P	5/2	2.569757258
2s2.2p4.(3P).4s	4P	3/2	2.5731931130000003
2s2.2p4.(3P).4s	4P	1/2	2.575975425
2s2.2p4.(3P).4s	2P	3/2	2.5818230580000003
2s2.2p4.(3P).4s	2P	1/2	2.587036094
2s2.2p4.(3P).4p	4P*	5/2	2.6460636930000003
2s2.2p4.(3P).4p	4P*	3/2	2.647988503
2s2.2p4.(3P).4p	4P*	1/2	2.649999201
2s2.2p4.(3P).4p	4D*	7/2	2.653627964
2s2.2p4.(3P).4p	4D*	5/2	2.656298049
2s2.2p4.(3P).4p	4D*	3/2	2.65909418
2s2.2p4.(3P).4p	4D*	1/2	2.66060924
2s2.2p4.(3P).4p	2D*	5/2	2.661201657
2s2.2p4.(3P).4p	2D*	3/2	2.66501652
2s2.2p4.(3P).4p	2S*	1/2	2.66588157
2s2.2p4.(3P).4p	4S*	3/2	2.66683485
