configuration	term	J	energy
2s2.2p6	1S	0	0.0
2s2.2p5.(2P*<3/2>).3s	2[3/2]*	2	1.221479122
2s2.2p5.(2P*<3/2>).3s	2[3/2]*	1	1.22528318
2s2.2p5.(2P*<1/2>).3s	2[1/2]*	0	1.228557849
2s2.2p5.(2P*<1/2>).3s	2[1/2]*	1	1.238309106
2s2.2p5.(2P*<3/2>).3p	2[1/2]	1	1.3510243880000001
2s2.2p5.(2P*<3/2>).3p	2[5/2]	3	1.363775287
2s2.2p5.(2P*<3/2>).3p	2[5/2]	2	1.365298764
2s2.2p5.(2P*<3/2>).3p	2[3/2]	1	1.3680086059999998
2s2.2p5.(2P*<3/2>).3p	2[3/2]	2	1.369778915
2s2.2p5.(2P*<1/2>).3p	2[3/2]	1	1.373936576
2s2.2p5.(2P*<1/2>).3p	2[3/2]	2	1.374723875
2s2.2p5.(2P*<3/2>).3p	2[1/2]	0	1.37526082
2s2.2p5.(2P*<1/2>).3p	2[1/2]	1	1.37636365
2s2.2p5.(2P*<1/2>).3p	2[1/2]	0	1.393971885
2s2.2p5.(2P*<3/2>).4s	2[3/2]*	2	1.445279705
2s2.2p5.(2P*<3/2>).4s	2[3/2]*	1	1.447055556
2s2.2p5.(2P*<1/2>).4s	2[1/2]*	0	1.452377366
2s2.2p5.(2P*<1/2>).4s	2[1/2]*	1	1.4537864230000002
2s2.2p5.(2P*<3/2>).3d	2[1/2]*	0	1.471784046
2s2.2p5.(2P*<3/2>).3d	2[1/2]*	1	1.471916575
2s2.2p5.(2P*<3/2>).3d	2[7/2]*	4	1.4725195359999999
2s2.2p5.(2P*<3/2>).3d	2[7/2]*	3	1.472535746
2s2.2p5.(2P*<3/2>).3d	2[3/2]*	2	1.47267372
2s2.2p5.(2P*<3/2>).3d	2[3/2]*	1	1.472941237
2s2.2p5.(2P*<3/2>).3d	2[5/2]*	2	1.473515734
2s2.2p5.(2P*<3/2>).3d	2[5/2]*	3	1.473532021
2s2.2p5.(2P*<1/2>).3d	2[5/2]*	2	1.479976547
2s2.2p5.(2P*<1/2>).3d	2[5/2]*	3	1.479990399
2s2.2p5.(2P*<1/2>).3d	2[3/2]*	2	1.4800797780000001
2s2.2p5.(2P*<1/2>).3d	2[3/2]*	1	1.4802228119999998
2s2.2p5.(2P*<3/2>).4p	2[1/2]	1	1.4809718509999998
2s2.2p5.(2P*<3/2>).4p	2[5/2]	3	1.483822584
2s2.2p5.(2P*<3/2>).4p	2[5/2]	2	1.484445978
2s2.2p5.(2P*<3/2>).4p	2[3/2]	1	1.4854803369999998
2s2.2p5.(2P*<3/2>).4p	2[3/2]	2	1.485714803
2s2.2p5.(2P*<3/2>).4p	2[1/2]	0	1.489022263
2s2.2p5.(2P*<1/2>).4p	2[3/2]	1	1.491354801
2s2.2p5.(2P*<1/2>).4p	2[1/2]	1	1.4918145669999998
2s2.2p5.(2P*<1/2>).4p	2[3/2]	2	1.4918225569999999
2s2.2p5.(2P*<1/2>).4p	2[1/2]	0	1.497083159
2s2.2p5.(2P*<3/2>).5s	2[3/2]*	2	1.511137534
2s2.2p5.(2P*<3/2>).5s	2[3/2]*	1	1.511908552
2s2.2p5.(2P*<1/2>).5s	2[1/2]*	0	1.5182286530000002
2s2.2p5.(2P*<1/2>).5s	2[1/2]*	1	1.518685876
2s2.2p5.(2P*<3/2>).4d	2[1/2]*	0	1.521521409
2s2.2p5.(2P*<3/2>).4d	2[1/2]*	1	1.521591278
2s2.2p5.(2P*<3/2>).4d	2[7/2]*	4	1.521816263
2s2.2p5.(2P*<3/2>).4d	2[7/2]*	3	1.521826296
2s2.2p5.(2P*<3/2>).4d	2[3/2]*	2	1.521921356
2s2.2p5.(2P*<3/2>).4d	2[3/2]*	1	1.522061946
2s2.2p5.(2P*<3/2>).4d	2[5/2]*	2	1.5222498119999999
2s2.2p5.(2P*<3/2>).4d	2[5/2]*	3	1.522259483
2s2.2p5.(2P*<3/2>).4f	2[3/2]	1	1.522295679
2s2.2p5.(2P*<3/2>).4f	2[3/2]	2	1.5222958969999998
2s2.2p5.(2P*<3/2>).4f	2[9/2]	4	1.5223655090000001
2s2.2p5.(2P*<3/2>).4f	2[9/2]	5	1.522365573
2s2.2p5.(2P*<3/2>).4f	2[5/2]	3	1.52244534
2s2.2p5.(2P*<3/2>).4f	2[5/2]	2	1.52244547
2s2.2p5.(2P*<3/2>).4f	2[7/2]	3	1.522517502
2s2.2p5.(2P*<3/2>).4f	2[7/2]	4	1.522517555
2s2.2p5.(2P*<3/2>).5p	2[1/2]	1	1.525911845
2s2.2p5.(2P*<3/2>).5p	2[5/2]	3	1.526910534
