ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"3352.7120"	"0.0010"	"250"	"1.08e+04"	"6.0e-06"	D	"1.225283180"	"1.497083159"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"1"	"2s2.2p5.(2P*<1/2>).4p"	"2[1/2]"	"0"		"T2427"	"L4498"	
"3370.7756"	"0.0010"	"5000"	"1.32e+05"	"2.24e-04"	C	"1.221479122"	"1.491822557"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"2"	"2s2.2p5.(2P*<1/2>).4p"	"2[3/2]"	"2"		"T6976"	"L3451"	
"3370.8752"	"0.0010"	"7000"	"7.1e+05"	"7.2e-04"	C	"1.221479122"	"1.491814567"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"2"	"2s2.2p5.(2P*<1/2>).4p"	"2[1/2]"	"1"		"T6976"	"L3451"	
"3376.6179"	"0.0010"	"500"	"2.20e+05"	"2.26e-04"	D+	"1.221479122"	"1.491354801"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"2"	"2s2.2p5.(2P*<1/2>).4p"	"2[3/2]"	"1"		"T3163"	"L3451"	
"3418.8834"	"0.0010"	"5000"	"8.7e+05"	"2.54e-03"	C	"1.225283180"	"1.491822557"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"1"	"2s2.2p5.(2P*<1/2>).4p"	"2[3/2]"	"2"		"T6976"	"L3451"	
"3418.9859"	"0.0010"	"500"	"2.78e+05"	"4.87e-04"	C	"1.225283180"	"1.491814567"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"1"	"2s2.2p5.(2P*<1/2>).4p"	"2[1/2]"	"1"		"T6976"	"L5951"	
"3424.8938"	"0.0010"	"500"	"1.00e+05"	"1.76e-04"	D+	"1.225283180"	"1.491354801"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"1"	"2s2.2p5.(2P*<1/2>).4p"	"2[3/2]"	"1"		"T3163"	"L3451"	
"3448.6904"	"0.0010"	"2000"	"2.13e+06"	"3.80e-03"	C+	"1.221479122"	"1.485714803"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"2"	"2s2.2p5.(2P*<3/2>).4p"	"2[3/2]"	"2"		"T6976"	"L3451"	
"3451.7532"	"0.0010"	"500"	"4.70e+05"	"5.0e-04"	C	"1.221479122"	"1.485480337"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"2"	"2s2.2p5.(2P*<3/2>).4p"	"2[3/2]"	"1"		"T6976"	"L3451"	
"3455.1840"	"0.0010"	"1000"	"3.68e+06"	"2.19e-03"	C	"1.225283180"	"1.489022263"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"1"	"2s2.2p5.(2P*<3/2>).4p"	"2[1/2]"	"0"		"T6976"	"L3451"	
