Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Leading percentages	Reference
"3p6.3d8"	"3F"	"4"	" 0.000000"	""	" 100                                                "	"L7185"
"3p6.3d8"	"3F"	"3"	" 0.012400"	""	" 100                                                "	""
"3p6.3d8"	"3F"	"2"	" 0.020682"	""	"  99                                                "	""
"3p6.3d8"	"1D"	"2"	" 0.127865"	""	"  83             :    16  3d8              3P       "	""
"3p6.3d8"	"3P"	"2"	" 0.151832"	""	"  84             :    16  3d8              1D       "	""
"3p6.3d8"	"3P"	"1"	" 0.154713"	""	" 100                                                "	""
"3p6.3d8"	"3P"	"0"	" 0.157018"	""	" 100                                                "	""
"3p6.3d8"	"1G"	"4"	" 0.210582"	""	" 100                                                "	""
"3p6.3d8"	"1S"	"0"	" 0.478707"	""	" 100                                                "	""
"3p6.3d7.(4F).4s"	"5F"	"5"	" 0.4893862"	""	"                                                    "	""
"3p6.3d7.(4F).4s"	"5F"	"4"	" 0.4980788"	""	"                                                    "	""
"3p6.3d7.(4F).4s"	"5F"	"3"	" 0.5048993"	""	"                                                    "	""
"3p6.3d7.(4F).4s"	"5F"	"2"	" 0.5098741"	""	"                                                    "	""
"3p6.3d7.(4F).4s"	"5F"	"1"	" 0.5131184"	""	"                                                    "	""
"3p6.3d7.(4F).4s"	"3F"	"4"	" 0.5589583"	""	"                                                    "	""
"3p6.3d7.(4F).4s"	"3F"	"3"	" 0.5705040"	""	"                                                    "	""
"3p6.3d7.(4F).4s"	"3F"	"2"	" 0.5783988"	""	"                                                    "	""
"3p6.3d7.(4P).4s"	"5P"	"3"	" 0.6476133"	""	"                                                    "	""
"3p6.3d7.(4P).4s"	"5P"	"2"	" 0.6504998"	""	"                                                    "	""
"3p6.3d7.(4P).4s"	"5P"	"1"	" 0.6546763"	""	"                                                    "	""
"3p6.3d7.(2G).4s"	"3G"	"5"	" 0.6845771"	""	"                                                    "	""
"3p6.3d7.(2G).4s"	"3G"	"4"	" 0.6893426"	""	"                                                    "	""
"3p6.3d7.(2G).4s"	"3G"	"3"	" 0.6947249"	""	"                                                    "	""
"3p6.3d7.(4P).4s"	"3P"	"2"	" 0.7135544"	""	"  47             :    53  3d7.(2P).4s      3P       "	""
"3p6.3d7.(4P).4s"	"3P"	"1"	" 0.7151845"	""	"  52             :    35  3d7.(2P).4s      3P       "	""
"3p6.3d7.(4P).4s"	"3P"	"0"	" 0.7167803"	""	"  48             :    46  3d7.(2P).4s      3P       "	""
"3p6.3d7.(2P).4s"	"3P"	"2"	" 0.7212042"	""	"  47             :    53  3d7.(4P).4s      3P       "	""
"3p6.3d7.(2G).4s"	"1G"	"4"	" 0.7221801"	""	"                                                    "	""
"3p6.3d7.(2P).4s"	"3P"	"1"	" 0.7267284"	""	"  56             :    39  3d7.(4P).4s      3P       "	""
"3p6.3d7.(2P).4s"	"3P"	"0"	" 0.7346735"	""	"  43             :    51  3d7.(4P).4s      3P       "	""
"3p6.3d7.(2H).4s"	"3H"	"6"	" 0.7443849"	""	"                                                    "	""
"3p6.3d7.(a 2D).4s"	"3D"	"3"	" 0.7488118"	""	"                                                    "	""
"3p6.3d7.(2H).4s"	"3H"	"5"	" 0.7490050"	""	"                                                    "	""
"3p6.3d7.(a 2D).4s"	"3D"	"1"	" 0.7497656"	""	"  54             :    41  3d7.(2P).4s      1P       "	""
"3p6.3d7.(2H).4s"	"3H"	"4"	" 0.7547697"	""	"                                                    "	""
"3p6.3d7.(a 2D).4s"	"3D"	"2"	" 0.7566565"	""	"                                                    "	""
"3p6.3d7.(2P).4s"	"1P"	"1"	" 0.7709693"	""	"  48             :    40  3d7.(a 2D).4s    1D       "	""
"3p6.3d7.(2H).4s"	"1H"	"5"	" 0.7821788"	""	"                                                    "	""
"3p6.3d7.(a 2D).4s"	"1D"	"2"	" 0.7895754"	""	"                                                    "	""
"3p6.3d7.(2F).4s"	"3F"	"2"	" 0.8915983"	""	"                                                    "	""
"3p6.3d7.(2F).4s"	"3F"	"3"	" 0.8930035"	""	"                                                    "	""
"3p6.3d7.(2F).4s"	"3F"	"4"	" 0.8952099"	""	"                                                    "	""
"3p6.3d7.(2F).4s"	"1F"	"3"	" 0.9290814"	""	"                                                    "	""
"3p6.3d7.(4F).4p"	"5F*"	"5"	" 1.0043329"	""	"  94             :     5  3d7.(4F).4p      5G*      "	""
"3p6.3d7.(4F).4p"	"5F*"	"4"	" 1.0057777"	""	"  65             :    29  3d7.(4F).4p      5D*      "	""
"3p6.3d7.(4F).4p"	"5F*"	"3"	" 1.0135221"	""	"  78             :    17  3d7.(4F).4p      5D*      "	""
"3p6.3d7.(4F).4p"	"5D*"	"4"	" 1.0196955"	""	"  63             :    26  3d7.(4F).4p      5F*      "	""
"3p6.3d7.(4F).4p"	"5F*"	"2"	" 1.0198402"	""	"  88             :     9  3d7.(4F).4p      5D*      "	""
"3p6.3d7.(4F).4p"	"5F*"	"1"	" 1.0242792"	""	"  96                                                "	""
"3p6.3d7.(4F).4p"	"5G*"	"6"	" 1.0277985"	""	" 100                                                "	""
