configuration	term	J	energy
3p6.3d7	4F	9/2	0.0
3p6.3d7	4F	7/2	0.010841
3p6.3d7	4F	5/2	0.018613
3p6.3d7	4F	3/2	0.023885
3p6.3d7	4P	5/2	0.165109
3p6.3d7	4P	3/2	0.167371
3p6.3d7	4P	1/2	0.172762
3p6.3d7	2G	9/2	0.180701
3p6.3d7	2G	7/2	0.190889
3p6.3d7	2P	3/2	0.215505
3p6.3d7	2P	1/2	0.22464
3p6.3d7	2H	11/2	0.242844
3p6.3d7	2D2	5/2	0.246921
3p6.3d7	2H	9/2	0.252217
3p6.3d7	2D2	3/2	0.262242
3p6.3d7	2F	5/2	0.395832
3p6.3d7	2F	7/2	0.399669
3p6.3d7	2D1	3/2	0.613829
3p6.3d7	2D1	5/2	0.619569
3d6.(5D).4s	6D	9/2	1.006135
3d6.(5D).4s	6D	7/2	1.013291
3d6.(5D).4s	6D	5/2	1.018462
3d6.(5D).4s	6D	3/2	1.022003
3d6.(5D).4s	6D	1/2	1.024076
3d6.(5D).4s	4D	7/2	1.101808
3d6.(5D).4s	4D	5/2	1.109993
3d6.(5D).4s	4D	3/2	1.115264
3d6.(5D).4s	4D	1/2	1.118283
3d6.(3P2).4s	4P	5/2	1.261615
3d6.(3H).4s	4H	13/2	1.269298
3d6.(3H).4s	4H	11/2	1.272304
3d6.(3H).4s	4H	9/2	1.274741
3d6.(3H).4s	4H	7/2	1.277058
3d6.(3P2).4s	4P	3/2	1.2789
3d6.(3F2).4s	4F	9/2	1.286894
3d6.(3P2).4s	4P	1/2	1.290001
3d6.(3F2).4s	4F	7/2	1.290146
3d6.(3F2).4s	4F	5/2	1.292468
3d6.(3F2).4s	4F	3/2	1.294213
3d6.(3G).4s	4G	11/2	1.319652
3d6.(3P2).4s	2P	3/2	1.323088
3d6.(3G).4s	4G	9/2	1.327736
3d6.(3H).4s	2H	11/2	1.330108
3d6.(3G).4s	4G	7/2	1.33101
3d6.(3G).4s	4G	5/2	1.331851
3d6.(3H).4s	2H	9/2	1.33222
3d6.(3F2).4s	2F	7/2	1.345357
3d6.(3F2).4s	2F	5/2	1.351939
3d6.(3G).4s	2G	9/2	1.38125
3d6.(3G).4s	2G	7/2	1.388258
3d6.(3D).4s	4D	3/2	1.397098
3d6.(3D).4s	4D	5/2	1.397326
3d6.(3D).4s	4D	1/2	1.397423
3d6.(3D).4s	4D	7/2	1.399101
3d6.(1I).4s	2I	13/2	1.414776
3d6.(1I).4s	2I	11/2	1.415277
3d6.(1G2).4s	2G	9/2	1.424256
3d6.(1G2).4s	2G	7/2	1.424777
3d6.(3D).4s	2D	3/2	1.453457
3d6.(3D).4s	2D	5/2	1.456372
3d6.(1F).4s	2F	7/2	1.561966
3d6.(1F).4s	2F	5/2	1.561985
3d6.(5D).4p	6D*	9/2	1.599907
3d6.(5D).4p	6D*	7/2	1.602637
3d6.(5D).4p	6D*	5/2	1.606082
3d6.(5D).4p	6D*	3/2	1.608882
3d6.(5D).4p	6D*	1/2	1.610655
3d6.(3F1).4s	4F	3/2	1.636481
3d6.(3F1).4s	4F	9/2	1.637137
3d6.(3F1).4s	4F	5/2	1.637766
3d6.(3F1).4s	4F	7/2	1.638385
3d6.(5D).4p	6F*	11/2	1.657882
3d6.(5D).4p	6F*	9/2	1.658915
3d6.(5D).4p	6F*	7/2	1.659651
3d6.(5D).4p	6F*	5/2	1.660391
3d6.(5D).4p	6F*	3/2	1.660874
3d6.(5D).4p	6F*	1/2	1.661134
3d6.(5D).4p	6P*	7/2	1.677634
3d6.(5D).4p	6P*	5/2	1.690449
3d6.(5D).4p	4D*	7/2	1.693954
3d6.(3F1).4s	2F	7/2	1.694656
3d6.(3F1).4s	2F	5/2	1.694929
3d6.(5D).4p	6P*	3/2	1.698979
3d6.(5D).4p	4F*	9/2	1.699241
3d6.(5D).4p	4D*	5/2	1.69966
3d6.(5D).4p	4D*	3/2	1.703679
3d6.(5D).4p	4D*	1/2	1.706126
3d6.(5D).4p	4F*	7/2	1.709266
3d6.(5D).4p	4F*	5/2	1.716099
3d6.(5D).4p	4F*	3/2	1.720693
3d6.(5D).4p	4P*	5/2	1.738974
3d6.(1G1).4s	2G	9/2	1.739287
3d6.(1G1).4s	2G	7/2	1.739908
3d6.(5D).4p	4P*	3/2	1.746154
3d6.(5D).4p	4P*	1/2	1.749938
3d6.(3P2).4p	4S*	3/2	1.869137
3d6.(3H).4p	4G*	11/2	1.877258
3d6.(3H).4p	4G*	9/2	1.880317
3d6.(3P2).4p	*	5/2	1.881978
3d6.(3H).4p	4G*	7/2	1.883094
3d6.(3H).4p	4I*	11/2	1.88396
3d6.(3H).4p	4I*	13/2	1.884086
3d6.(3H).4p	4G*	5/2	1.884929
3d6.(3H).4p	*	9/2	1.885097
3d6.(3H).4p	4H*	7/2	1.887562
3d6.(3P2).4p	4P*	1/2	1.894034
3d6.(3P2).4p	2D*	5/2	1.895518
3d6.(3H).4p	4I*	9/2	1.895862
3d6.(3H).4p	4I*	15/2	1.896798
3d6.(3P2).4p	*	7/2	1.898449
3d6.(3P2).4p	*	3/2	1.899636
3d6.(3H).4p	4H*	11/2	1.90086
3d6.(3F2).4p	4F*	5/2	1.900955
3d6.(3H).4p	4H*	13/2	1.901188
3d6.(3F2).4p	4F*	3/2	1.902424
3d6.(3P2).4p	4D*	7/2	1.903747
3d6.(3F2).4p	4F*	9/2	1.903943
3d6.(3H).4p	*	9/2	1.90575
3d6.(3H).4p	*	7/2	1.908115
3d6.(3P2).4p	*	3/2	1.913525
3d6.(3F2).4p	4D*	7/2	1.914771
3d6.(3H).4p	2I*	13/2	1.915274
3d6.(3P2).4p	4D*	1/2	1.916516
3d6.(3F2).4p	*	5/2	1.919043
3d6.(3F2).4p	4D*	5/2	1.92226
3d6.(3H).4p	2I*	11/2	1.92266
3d6.(3P2).4p	*	3/2	1.923025
3d6.(3F2).4p	4D*	3/2	1.925022
3d6.(3F2).4p	4D*	1/2	1.925978
3d6.(3F2).4p	4G*	9/2	1.933261
3d6.(3F2).4p	4G*	11/2	1.933772
3d6.(3F2).4p	*	5/2	1.9344
3d6.(3F2).4p	*	7/2	1.934454
3d6.(3F2).4p	*	7/2	1.942193
3d6.(3G).4p	4F*	9/2	1.944722
3d6.(3H).4p	*	5/2	1.944754
3d6.(3G).4p	*	11/2	1.946529
3d6.(3P2).4p	*	1/2	1.946833
3d6.(3F2).4p	*	9/2	1.947739
3d6.(3P2).4p	2P*	3/2	1.95062
3d6.(3G).4p	4G*	7/2	1.951032
3d6.(3G).4p	4G*	11/2	1.952998
3d6.(3F2).4p	*	9/2	1.955464
3d6.(3F2).4p	2G*	7/2	1.955787
3d6.(3G).4p	4G*	5/2	1.956655
3d6.(3G).4p	4G*	9/2	1.958409
3d6.(3G).4p	*	7/2	1.961893
3d6.(3G).4p	4H*	13/2	1.963841
3d6.(3G).4p	4F*	5/2	1.963934
3d6.(3P2).4p	2S*	1/2	1.964063
3d6.(3G).4p	4F*	3/2	1.964157
3d6.(3G).4p	4H*	11/2	1.965462
3d6.(3G).4p	4H*	7/2	1.965826
3d6.(3G).4p	4H*	9/2	1.965932
3d6.(3F2).4p	2D*	5/2	1.981225
3d6.(3F2).4p	2D*	3/2	1.986013
3d6.(3H).4p	2H*	11/2	1.994405
3d6.(3G).4p	2F*	5/2	2.000718
3d6.(3G).4p	2H*	9/2	2.002646
3d6.(3G).4p	2F*	7/2	2.00384
3d6.(1I).4p	2K*	13/2	2.011737
3d6.(3G).4p	2G*	9/2	2.022931
3d6.(3G).4p	2G*	7/2	2.02328
3d6.(1I).4p	2K*	15/2	2.024861
3d6.(3D).4p	4P*	5/2	2.02605
3d6.(3D).4p	4P*	3/2	2.029054
3d6.(1G2).4p	2H*	9/2	2.029442
3d6.(1I).4p	2H*	11/2	2.032064
3d6.(3D).4p	4P*	1/2	2.03418
3d6.(3D).4p	*	1/2	2.039283
3d6.(3D).4p	4F*	5/2	2.041432
3d6.(3D).4p	*	7/2	2.041924
3d6.(3D).4p	*	3/2	2.042824
3d6.(1G2).4p	2G*	7/2	2.045463
3d6.(3D).4p	4D*	5/2	2.047122
3d6.(1G2).4p	2G*	9/2	2.048177
3d6.(3D).4p	4F*	7/2	2.048755
3d6.(3D).4p	2P*	3/2	2.049776
3d6.(3D).4p	2P*	1/2	2.050319
3d6.(3D).4p	4F*	9/2	2.051229
3d6.(3D).4p	4D*	7/2	2.051598
3d6.(1G2).4p	*	5/2	2.054284
3d6.(1G2).4p	2H*	11/2	2.057263
3d6.(1I).4p	2H*	9/2	2.058586
3d6.(1I).4p	2I*	13/2	2.065706
3d6.(1I).4p	2I*	11/2	2.065865
3d6.(3D).4p	2D*	3/2	2.070227
3d6.(3D).4p	2D*	5/2	2.073583
3d6.(1D2).4p	2P*	3/2	2.079641
3d6.(3D).4p	2F*	7/2	2.082414
3d6.(3D).4p	2F*	5/2	2.089257
3d6.(1S2).4p	*	1/2	2.089513
3d6.(1D2).4p	*	5/2	2.105863
3d6.(1D2).4p	2D*	3/2	2.111788
3d6.(1D2).4p	*	5/2	2.116625
3d6.(1D2).4p	2F*	7/2	2.119056
3d6.(1D2).4p	2P*	1/2	2.122314
3d6.(1S2).4p	*	3/2	2.132543
3d6.(1F).4p	2G*	7/2	2.16408
3d6.(1F).4p	2G*	9/2	2.177544
3d6.(1F).4p	2D*	5/2	2.178017
3d6.(1F).4p	2D*	3/2	2.187899
3d6.(3P1).4p	4D*	1/2	2.197725
3d6.(3F1).4p	4D*	3/2	2.201074
3d6.(3F1).4p	4D*	5/2	2.203607
3d6.(3F1).4p	4D*	7/2	2.20471
3d6.(1F).4p	2F*	5/2	2.219118
3d6.(1F).4p	2F*	7/2	2.219318
3d6.(3F1).4p	4G*	7/2	2.257497
3d6.(3F1).4p	4G*	9/2	2.261929
3d6.(3F1).4p	4G*	11/2	2.267737
3d6.(3P1).4p	4S*	3/2	2.27024
3d6.(3F1).4p	2D*	3/2	2.286834
3d6.(3F1).4p	2D*	5/2	2.293607
3d6.(3F1).4p	2G*	9/2	2.29433
3d6.(3P1).4p	4P*	5/2	2.299619
3d6.(3F1).4p	2G*	7/2	2.301159
3d6.(3F1).4p	*	3/2	2.305281
3d6.(3F1).4p	*	5/2	2.308478
3d6.(3F1).4p	4F*	3/2	2.310785
3d6.(3F1).4p	4F*	7/2	2.31133
3d6.(3F1).4p	4F*	5/2	2.315746
3d6.(3F1).4p	4F*	9/2	2.317352
3d6.(3F1).4p	*	7/2	2.320664
3d6.(3F1).4p	*	3/2	2.324314
3d6.(3F1).4p	2F*	7/2	2.34212
3d6.(3F1).4p	2F*	5/2	2.34566
3d6.(1G1).4p	2H*	9/2	2.3572
3d6.(1G1).4p	2H*	11/2	2.369888
3d6.(1G1).4p	*	7/2	2.372534
3d6.(1G1).4p	2F*	5/2	2.380469
3d6.(1G1).4p	2G*	9/2	2.39003
3d6.(1G1).4p	2G*	7/2	2.392429
3d6.(1D1).4p	2D*	3/2	2.571409
3d6.(1D1).4p	2D*	5/2	2.575653
