Configuration	Term	J	Prefix	Level (Ry)	Suffix	Uncertainty (Ry)	Leading percentages	Reference
"3d5"	"6S"	"5/2"	""	"0.000000"	""	""	" 100                                        "	"L7185"
"3d5"	"4G"	"11/2"	""	"0.382011"	""	""	" 100                                        "	""
"3d5"	"4G"	"5/2"	""	"0.382765"	""	""	"  99             :     1  3d5          2F1  "	""
"3d5"	"4G"	"9/2"	""	"0.382944"	""	""	" 100                                        "	""
"3d5"	"4G"	"7/2"	""	"0.383052"	""	""	" 100                                        "	""
"3d5"	"4P"	"5/2"	""	"0.418128"	""	""	"  90             :     9  3d5          4D   "	""
"3d5"	"4P"	"3/2"	""	"0.420134"	""	""	"  92             :     7  3d5          4D   "	""
"3d5"	"4P"	"1/2"	""	"0.422143"	""	""	"  97             :     3  3d5          4D   "	""
"3d5"	"4D"	"7/2"	""	"0.458650"	""	""	"  99                                        "	""
"3d5"	"4D"	"1/2"	""	"0.461498"	""	""	"  97             :     3  3d5          4P   "	""
"3d5"	"4D"	"5/2"	""	"0.462720"	""	""	"  90             :     9  3d5          4P   "	""
"3d5"	"4D"	"3/2"	""	"0.462746"	""	""	"  92             :     7  3d5          4P   "	""
"3d5"	"2I"	"11/2"	""	"0.557659"	""	""	"  98             :     2  3d5          2H   "	""
"3d5"	"2I"	"13/2"	""	"0.558420"	""	""	" 100                                        "	""
"3d5"	"2D3"	"5/2"	""	"0.584600"	""	""	"  52             :    29  3d5          2F1  "	""
"3d5"	"2D3"	"3/2"	""	"0.593905"	""	""	"  71             :    22  3d5          2D1  "	""
"3d5"	"2F1"	"7/2"	""	"0.611324"	""	""	"  93             :     3  3d5          4F   "	""
"3d5"	"4F"	"5/2"	""	"0.623716"	""	""	"  51             :    39  3d5          2F1  "	""
"3d5"	"4F"	"9/2"	""	"0.624684"	""	""	"  95             :     4  3d5          2G2  "	""
"3d5"	"4F"	"7/2"	""	"0.626967"	""	""	"  94             :     4  3d5          2F1  "	""
"3d5"	"4F"	"3/2"	""	"0.630355"	""	""	"  92             :     6  3d5          2D3  "	""
"3d5"	""	"5/2"	""	"0.632848"	""	""	"  47  4F         :    31  3d5          2F1  "	""
"3d5"	"2H"	"9/2"	""	"0.664394"	""	""	"  74             :    24  3d5          2G2  "	""
"3d5"	"2H"	"11/2"	""	"0.672120"	""	""	"  98             :     2  3d5          2I   "	""
"3d5"	"2G2"	"7/2"	""	"0.680058"	""	""	"  98             :     1  3d5          4F   "	""
"3d5"	"2G2"	"9/2"	""	"0.687475"	""	""	"  72             :    25  3d5          2H   "	""
"3d5"	"2F2"	"5/2"	""	"0.723468"	""	""	"  98             :     1  3d5          4F   "	""
"3d5"	"2F2"	"7/2"	""	"0.725444"	""	""	"  97             :     2  3d5          4F   "	""
"3d5"	"2S"	"1/2"	""	"0.788539"	""	""	" 100                                        "	""
"3d5"	"2D2"	"3/2"	""	"0.879019"	""	""	" 100                                        "	""
"3d5"	"2D2"	"5/2"	""	"0.879979"	""	""	"  99             :     1  3d5          2F2  "	""
"3d5"	"2G1"	"9/2"	""	"0.982786"	""	""	" 100                                        "	""
"3d5"	"2G1"	"7/2"	""	"0.983139"	""	""	" 100                                        "	""
"3d5"	"2P"	"3/2"	""	"1.184206"	""	""	"  99             :     1  3d5          2D1  "	""
"3d5"	"2P"	"1/2"	""	"1.184883"	""	""	" 100                                        "	""
"3d5"	"2D1"	"5/2"	""	"1.284178"	""	""	"  77             :    23  3d5          2D3  "	""
"3d5"	"2D1"	"3/2"	""	"1.284949"	""	""	"  76             :    23  3d5          2D3  "	""
"3d4.(5D).4s"	"6D"	"1/2"	""	"2.696282"	""	""	" 100                                        "	""
"3d4.(5D).4s"	"6D"	"3/2"	""	"2.699156"	""	""	" 100                                        "	""
"3d4.(5D).4s"	"6D"	"5/2"	""	"2.703699"	""	""	" 100                                        "	""
"3d4.(5D).4s"	"6D"	"7/2"	""	"2.709657"	""	""	" 100                                        "	""
"3d4.(5D).4s"	"6D"	"9/2"	""	"2.716765"	""	""	" 100                                        "	""
"3d4.(5D).4s"	"4D"	"1/2"	""	"2.805280"	""	""	"  99                                        "	""
"3d4.(5D).4s"	"4D"	"3/2"	""	"2.809653"	""	""	" 100                                        "	""
"3d4.(5D).4s"	"4D"	"5/2"	""	"2.816315"	""	""	" 100                                        "	""
"3d4.(5D).4s"	"4D"	"7/2"	""	"2.824719"	""	""	" 100                                        "	""
"3d4.(3P2).4s"	"4P"	"1/2"	""	"2.992940"	""	""	"  59             :    38  3d4.(3P1).4s 4P   "	""
"3d4.(3H).4s"	"4H"	"7/2"	""	"3.002499"	""	""	"  97             :     2  3d4.(3G).4s  4G   "	""
"3d4.(3H).4s"	"4H"	"9/2"	""	"3.004941"	""	""	"  96             :     3  3d4.(3G).4s  4G   "	""
"3d4.(3P2).4s"	"4P"	"3/2"	""	"3.007196"	""	""	"  60             :    38  3d4.(3P1).4s 4P   "	""
"3d4.(3H).4s"	"4H"	"11/2"	""	"3.008466"	""	""	"  97             :     2  3d4.(3G).4s  4G   "	""
"3d4.(3H).4s"	"4H"	"13/2"	""	"3.012471"	""	""	" 100                                        "	""
"3d4.(3F2).4s"	"4F"	"3/2"	""	"3.025696"	""	""	"  78             :    22  3d4.(3F1).4s 4F   "	""
"3d4.(3F2).4s"	"4F"	"5/2"	""	"3.025877"	""	""	"  74             :    20  3d4.(3F1).4s 4F   "	""
"3d4.(3F2).4s"	"4F"	"7/2"	""	"3.027005"	""	""	"  72             :    19  3d4.(3F1).4s 4F   "	""
"3d4.(3F2).4s"	"4F"	"9/2"	""	"3.028538"	""	""	"  73             :    18  3d4.(3F1).4s 4F   "	""
