ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"1751.910"	""	"4.8e+07"	"2.9e-02"	C	"0.0000000"	"0.5201562"	"3p6.3d9"	"2D"	"5/2"	"3p6.3d8.(3F).4p"	"2F*"	"7/2"		"T2757n"	""	
"2034.043"	""	"2.3e+06"	"1.1e-03"	C	"0.0850216"	"0.5330293"	"3p6.3d8.(3F).4s"	"4F"	"7/2"	"3p6.3d8.(3F).4p"	"2F*"	"5/2"		"T1024n"	""	
"2053.951"	""	"2.5e+06"	"1.3e-03"	B	"0.0764908"	"0.5201562"	"3p6.3d8.(3F).4s"	"4F"	"9/2"	"3p6.3d8.(3F).4p"	"2F*"	"7/2"		"T1024n"	""	
"2081.509"	""	"8.0e+06"	"5.2e-03"	C	"0.0971765"	"0.5349680"	"3p6.3d8.(3F).4s"	"4F"	"3/2"	"3p6.3d8.(3F).4p"	"2D*"	"3/2"		"T1024n"	""	
"2090.768"	""	"7.0e+06"	"6.9e-03"	C	"0.0971765"	"0.5330293"	"3p6.3d8.(3F).4s"	"4F"	"3/2"	"3p6.3d8.(3F).4p"	"2F*"	"5/2"		"T1024n"	""	
"2094.218"	""	"6.5e+06"	"4.3e-03"	C+	"0.0850216"	"0.5201562"	"3p6.3d8.(3F).4s"	"4F"	"7/2"	"3p6.3d8.(3F).4p"	"2F*"	"7/2"		"T1024n"	""	
"2125.788"	""	"6.4e+06"	"4.3e-03"	C	"0.0850216"	"0.5136941"	"3p6.3d8.(3F).4s"	"4F"	"7/2"	"3p6.3d8.(3F).4p"	"2G*"	"7/2"		"T1024n"	""	
"2126.577"	""	"5.0e+06"	"2.7e-03"	B	"0.0764908"	"0.5050044"	"3p6.3d8.(3F).4s"	"4F"	"9/2"	"3p6.3d8.(3F).4p"	"4F*"	"7/2"		"T1024n"	""	
"2129.250"	""	"2.48e+07"	"2.25e-02"	B	"0.0921807"	"0.5201562"	"3p6.3d8.(3F).4s"	"4F"	"5/2"	"3p6.3d8.(3F).4p"	"2F*"	"7/2"		"T1024n"	""	
"2139.256"	""	"1.77e+07"	"9.11e-03"	C+	"0.0850216"	"0.5109954"	"3p6.3d8.(3F).4s"	"4F"	"7/2"	"3p6.3d8.(3F).4p"	"4F*"	"5/2"		"T1024n"	""	
