Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Lande	Leading percentages	Reference
"3d8.(3F).4s2"	"3F"	"4"	" 0.00000000"	""	"1.24965"	"  97                                                   "	"L11151"
"3d9.(2D).4s"	"3D"	"3"	" 0.00186616"	""	"1.33354"	"  99                                                   "	""
"3d9.(2D).4s"	"3D"	"2"	" 0.00801747"	""	"1.15105"	"  90             :     9  3d9.(2D).4s          1D      "	""
"3d8.(3F).4s2"	"3F"	"3"	" 0.01213957"	""	"1.08280"	"  97                                                   "	""
"3d9.(2D).4s"	"3D"	"1"	" 0.01561080"	""	"0.49804"	"  99                                                   "	""
"3d8.(3F).4s2"	"3F"	"2"	" 0.02019869"	""	"0.66956"	"  96                                                   "	""
"3d9.(2D).4s"	"1D"	"2"	" 0.03107363"	""	"1.01297"	"  89             :     9  3d9.(2D).4s          3D      "	""
"3d8.(1D).4s2"	"1D"	"2"	" 0.12321558"	""	"1.143"	"  77             :    19  3d8.(3P).4s2         3P      "	""
"3d10"	"1S"	"0"	" 0.13421907"	""	""	"  94                                                   "	""
"3d8.(3P).4s2"	"3P"	"2"	" 0.14224737"	""	"1.356"	"  78             :    18  3d8.(1D).4s2         1D      "	""
"3d8.(3P).4s2"	"3P"	"1"	" 0.14337877"	""	"1.497"	"  97                                                   "	""
"3d8.(3P).4s2"	"3P"	"0"	" 0.14596043"	""	""	"  96                                                   "	""
"3d8.(1G).4s2"	"1G"	"4"	" 0.20141121"	""	"0.99"	"  97                                                   "	""
"3d8.(3F).4s.4p.(3P*)"	"5D*"	"4"	" 0.23468364"	""	"1.51"	"  95                                                   "	""
"3d8.(3F).4s.4p.(3P*)"	"5D*"	"3"	" 0.24299744"	""	"1.495"	"  93                                                   "	""
"3d8.(3F).4s.4p.(3P*)"	"5G*"	"6"	" 0.24841954"	""	"1.32"	"  98                                                   "	""
"3d8.(3F).4s.4p.(3P*)"	"5D*"	"2"	" 0.24982266"	""	"1.494"	"  93                                                   "	""
"3d8.(3F).4s.4p.(3P*)"	"5G*"	"5"	" 0.25133102"	""	"1.276"	"  82             :    14  3d8.(3F).4s.4p.(3P*) 5F*     "	""
"3d8.(3F).4s.4p.(3P*)"	"5D*"	"1"	" 0.25464013"	""	"1.486"	"  95                                                   "	""
"3d8.(3F).4s.4p.(3P*)"	"5G*"	"4"	" 0.25577503"	""	"1.171"	"  83             :    12  3d8.(3F).4s.4p.(3P*) 5F*     "	""
"3d8.(3F).4s.4p.(3P*)"	"5D*"	"0"	" 0.25709575"	""	""	"  96                                                   "	""
"3d8.(3F).4s.4p.(3P*)"	"5F*"	"5"	" 0.26009480"	""	"1.377"	"  85             :    13  3d8.(3F).4s.4p.(3P*) 5G*     "	""
"3d9.(2D).4p"	"3P*"	"2"	" 0.26034173"	""	"1.485"	"  93                                                   "	""
"3d8.(3F).4s.4p.(3P*)"	"5G*"	"3"	" 0.26042206"	""	"0.945"	"  87             :     8  3d8.(3F).4s.4p.(3P*) 5F*     "	""
"3d8.(3F).4s.4p.(3P*)"	"5G*"	"2"	" 0.26438779"	""	"0.364"	"  95                                                   "	""
"3d8.(3F).4s.4p.(3P*)"	"5F*"	"4"	" 0.26503706"	""	"1.288"	"  75             :    11  3d8.(3F).4s.4p.(3P*) 3F*     "	""
"3d9.(2D).4p"	"3F*"	"3"	" 0.26719044"	""	"1.287"	"  33             :    30  3d8.(3F).4s.4p.(3P)  5F*     "	""
