configuration	term	J	energy
1s2.2s	2S	1/2	0.0
1s2.2p	2P*	1/2	0.878234
1s2.2p	2P*	3/2	0.883086
1s2.3s	2S	1/2	5.832472
1s2.3p	2P*	1/2	6.07007
1s2.3p	2P*	3/2	6.071497
1s2.3d	2D	3/2	6.147642
1s2.3d	2D	5/2	6.148107
1s2.4s	2S	1/2	7.77034
1s2.4p	2P*	1/2	7.867276
1s2.4p	2P*	3/2	7.867859
1s2.4d	2D	3/2	7.899593
1s2.4d	2D	5/2	7.899788
1s2.4f	2F*	5/2	7.901393
1s2.4f	2F*	7/2	7.901478
1s2.5s	2S	1/2	8.6451
1s2.5p	2P*	1/2	8.6942
1s2.5p	2P*	3/2	8.6942
1s2.5d	2D	3/2	8.71036
1s2.5d	2D	5/2	8.71044
1s2.5f	2F*	5/2	8.71158
1s2.5g	2G	7/2	8.71158
1s2.5f	2F*	7/2	8.71158
1s2.5g	2G	9/2	8.71158
1s2.6s	2S	1/2	9.1134
1s2.6p	2P*	1/2	9.1412
1s2.6p	2P*	3/2	9.1412
1s2.6d	2D	3/2	9.15067
1s2.6d	2D	5/2	9.1508
1s2.6f	2F*	5/2	9.15154
1s2.6f	2F*	7/2	9.15154
1s2.6g	2G	7/2	9.15164
1s2.6h	2H*	9/2	9.15164
1s2.6g	2G	9/2	9.15164
1s2.6h	2H*	11/2	9.15164
1s2.7s	2S	1/2	9.3932
1s2.7p	2P*	1/2	9.41
1s2.7p	2P*	3/2	9.41
1s2.7d	2D	3/2	9.41621
1s2.7d	2D	5/2	9.41643
1s2.7f	2F*	5/2	9.41687
1s2.7f	2F*	7/2	9.41687
1s2.7g	2G	7/2	9.41693
1s2.7g	2G	9/2	9.41693
1s2.7h	2H*	9/2	9.41693
1s2.7h	2H*	11/2	9.41693
1s2.7i	2I	11/2	9.41693
1s2.7i	2I	13/2	9.41693
1s2.8s	2S	1/2	9.57325
1s2.8p	2P*	1/2	9.58401
1s2.8p	2P*	3/2	9.58401
1s2.8f	2F*	5/2	9.5891
1s2.8f	2F*	7/2	9.5891
1s2.8g	2G	7/2	9.58913
1s2.8g	2G	9/2	9.58913
1s2.8h	2H*	9/2	9.58913
1s2.8h	2H*	11/2	9.58913
1s2.8i	2I	11/2	9.58913
1s2.8i	2I	13/2	9.58913
1s2.8k	2K*	13/2	9.58913
1s2.8k	2K*	15/2	9.58913
1s2.8d	2D	3/2	9.58915
1s2.8d	2D	5/2	9.58927
1s2.9p	2P*	1/2	9.70311
1s2.9p	2P*	3/2	9.70311
1s2.9h	2H*	9/2	9.70688
1s2.9h	2H*	11/2	9.70688
1s2.9i	2I	11/2	9.70688
1s2.9i	2I	13/2	9.70688
1s2.9k	2K*	13/2	9.70688
1s2.9k	2K*	15/2	9.70688
1s2.9d	2D	3/2	9.70783
1s2.9d	2D	5/2	9.70807
1s2.10d	2D	5/2	9.79088
1s2.10h	2H*	9/2	9.79186
1s2.10h	2H*	11/2	9.79186
1s2.10i	2I	11/2	9.79186
1s2.10i	2I	13/2	9.79186
1s2.10k	2K*	13/2	9.79186
1s2.10k	2K*	15/2	9.79186
1s2.10p	2P*	1/2	9.79541
1s2.10p	2P*	3/2	9.79541
1s2.11d	2D	5/2	9.85491
1s2.12h	2H*	9/2	9.90104
1s2.12h	2H*	11/2	9.90104
1s2.12i	2I	11/2	9.90104
1s2.12i	2I	13/2	9.90104
1s2.12k	2K*	13/2	9.90104
1s2.12k	2K*	15/2	9.90104
