configuration	term	J	energy
2s2.2p3	4S*	3/2	0.0
2s2.2p3	2D*	5/2	0.24431570000000002
2s2.2p3	2D*	3/2	0.24449810000000002
2s2.2p3	2P*	3/2	0.3687716
2s2.2p3	2P*	1/2	0.36878979999999995
2s.2p4	4P	5/2	1.0920370000000001
2s.2p4	4P	3/2	1.0935244
2s.2p4	4P	1/2	1.0942755
2s.2p4	2D	5/2	1.5125981000000002
2s.2p4	2D	3/2	1.5126713999999999
2s2.2p2.(3P).3s	4P	1/2	1.68798808
2s2.2p2.(3P).3s	4P	3/2	1.68894761
2s2.2p2.(3P).3s	4P	5/2	1.6903924
2s2.2p2.(3P).3s	2P	1/2	1.72127905
2s2.2p2.(3P).3s	2P	3/2	1.72291907
2s.2p4	2S	1/2	1.7834450000000002
2s2.2p2.(3P).3p	2S*	1/2	1.85845887
2s2.2p2.(3P).3p	4D*	1/2	1.88386932
2s2.2p2.(3P).3p	4D*	3/2	1.88437529
2s2.2p2.(3P).3p	4D*	5/2	1.88520982
2s2.2p2.(3P).3p	4D*	7/2	1.88634541
2s2.2p2.(1D).3s	2D	5/2	1.8860647000000001
2s2.2p2.(1D).3s	2D	3/2	1.8860742
2s2.2p2.(3P).3p	4P*	1/2	1.8985894
2s2.2p2.(3P).3p	4P*	3/2	1.89900998
2s2.2p2.(3P).3p	4P*	5/2	1.89984784
2s2.2p2.(3P).3p	2D*	3/2	1.92753136
2s2.2p2.(3P).3p	2D*	5/2	1.92926837
2s2.2p2.(3P).3p	4S*	3/2	1.93336132
2s.2p4	2P	3/2	1.9372973999999998
2s.2p4	2P	1/2	1.9388323
2s2.2p2.(3P).3p	2P*	1/2	1.95165991
2s2.2p2.(3P).3p	2P*	3/2	1.9522044
2s2.2p2.(1D).3p	2F*	5/2	2.084285
2s2.2p2.(1D).3p	2F*	7/2	2.0845001
2s2.2p2.(1D).3p	2D*	5/2	2.0954319
2s2.2p2.(1D).3p	2D*	3/2	2.0956266
2s2.2p2.(1S).3s	2S	1/2	2.1014679
2s2.2p2.(3P).3d	4F	3/2	2.10772539
2s2.2p2.(3P).3d	4F	5/2	2.10821711
2s2.2p2.(3P).3d	4F	7/2	2.10892684
2s2.2p2.(3P).3d	4F	9/2	2.10985884
2s2.2p2.(3P).3d	4P	5/2	2.11835621
2s2.2p2.(3P).3d	4P	3/2	2.11902348
2s2.2p2.(3P).3d	4P	1/2	2.11962987
2s2.2p2.(1D).3p	2P*	1/2	2.1185176
2s2.2p2.(1D).3p	2P*	3/2	2.1189428
2s2.2p2.(3P).3d	4D	1/2	2.12062452
2s2.2p2.(3P).3d	4D	3/2	2.12093744
2s2.2p2.(3P).3d	4D	5/2	2.12095184
2s2.2p2.(3P).3d	4D	7/2	2.12100883
2s2.2p2.(3P).3d	2F	5/2	2.12139596
2s2.2p2.(3P).3d	2F	7/2	2.12288052
2s2.2p2.(3P).3d	2P	3/2	2.1271755
2s2.2p2.(3P).3d	2P	1/2	2.1282148999999997
2s2.2p2.(3P).3d	2D	3/2	2.13603545
2s2.2p2.(3P).3d	2D	5/2	2.13650783
2s2.2p2.(3P).4s	4P	1/2	2.1745334
2s2.2p2.(3P).4s	4P	3/2	2.1754919999999998
2s2.2p2.(3P).4s	4P	5/2	2.1769619
2s2.2p2.(3P).4s	2P	1/2	2.1900482000000006
2s2.2p2.(3P).4s	2P	3/2	2.1917554
2s2.2p2.(3P).4p	2S*	1/2	2.2329441
