ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"387.649"	""	"5.59e+07"	"1.89e-03"	C+	"0.0000000"	"2.3507510"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).5s"	"4P"	"5/2"		"T5723LS"	""	
"387.898"	""	"5.58e+07"	"1.26e-03"	C+	"0.0000000"	"2.3492458"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).5s"	"4P"	"3/2"		"T5723LS"	""	
"388.055"	""	"5.58e+07"	"6.30e-04"	C+	"0.0000000"	"2.3482964"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).5s"	"4P"	"1/2"		"T5723LS"	""	
"391.9062"	"5"	"2.38e+09"	"2.74e-02"	C+	"0.0000000"	"2.3252171"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).4d"	"4P"	"1/2"		"T5723LS"	"L3492"	
"391.9380"	"10"	"2.38e+09"	"5.48e-02"	C+	"0.0000000"	"2.3250287"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).4d"	"4P"	"3/2"		"T5723LS"	"L3492"	
"391.9954"	"15"	"2.38e+09"	"8.22e-02"	C+	"0.0000000"	"2.3246879"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).4d"	"4P"	"5/2"		"T5723LS"	"L3492"	
"401.1798"	"*"	"1.88e+08"	"4.54e-03"	D	"0.2443157"	"2.5157834"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(1S).3d"	"2D"	"5/2"		"T5723LS"	"L7084"	
"401.2121"	"*"	"1.34e+07"	"4.85e-04"	E	"0.2444981"	"2.5157834"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(1S).3d"	"2D"	"5/2"		"T5723LS"	"L7084"	
"401.3269"	"*"	"2.01e+07"	"3.24e-04"	E	"0.2443157"	"2.5149508"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(1S).3d"	"2D"	"3/2"		"T5723LS"	"L7084"	
"401.3592"	"*"	"1.81e+08"	"4.37e-03"	D	"0.2444981"	"2.5149508"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(1S).3d"	"2D"	"3/2"		"T5723LS"	"L7084"	
"403.035"	"1"	"1.12e+09"	"2.73e-02"	D	"0.2443157"	"2.505328"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(1D).4d"	"2D"	"5/2"		"T5723LS"	"L3492"	
"403.054"	""	"1.20e+08"	"1.95e-03"	D	"0.2443157"	"2.505219"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(1D).4d"	"2D"	"3/2"		"T5723LS"	"L11267"	
"403.067"	""	"8.03e+07"	"2.93e-03"	D	"0.2444981"	"2.505328"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(1D).4d"	"2D"	"5/2"		"T5723LS"	"L11267"	
"403.087"	"1"	"1.08e+09"	"2.63e-02"	D	"0.2444981"	"2.505219"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(1D).4d"	"2D"	"3/2"		"T5723LS"	"L3492"	
"403.273"	"1"	"1.24e+09"	"4.03e-02"	D	"0.2443157"	"2.503993"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(1D).4d"	"2F"	"7/2"		"T5723LS"	"L3492"	
"403.339"	""	"8.24e+07"	"2.01e-03"	D	"0.2443157"	"2.503621"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(1D).4d"	"2F"	"5/2"		"T5723LS"	"L11267"	
"403.372"	"1"	"1.15e+09"	"4.21e-02"	D	"0.2444981"	"2.503621"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(1D).4d"	"2F"	"5/2"		"T5723LS"	"L3492"	
"418.5958"	"5"	"1.86e+08"	"7.33e-03"	C+	"0.0000000"	"2.1769619"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).4s"	"4P"	"5/2"		"T5723LS"	"L3492"	
"418.8786"	""	"1.86e+08"	"4.89e-03"	C+	"0.0000000"	"2.1754920"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).4s"	"4P"	"3/2"		"T5723LS"	"L11267"	
"419.0633"	""	"1.86e+08"	"2.45e-03"	C+	"0.0000000"	"2.1745334"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).4s"	"4P"	"1/2"		"T5723LS"	"L11267"	
