Configuration	Term	J	Prefix	Level (Ry)	Suffix	Uncertainty (Ry)	Leading percentages	Reference
"2p6.3s2"	"1S"	"0"	""	"0.0000000"	""	""	"  95              :     4  3p2   1S   "	"L7147"
"3s.3p"	"3P*"	"0"	""	"0.6189146"	""	""	"                                      "	""
"3s.3p"	"3P*"	"1"	""	"0.6209964"	""	""	"                                      "	""
"3s.3p"	"3P*"	"2"	""	"0.6252674"	""	""	"                                      "	""
"3s.3p"	"1P*"	"1"	""	"0.9585656"	""	""	"  95              :     4  3p.3d 1P*  "	""
"3p2"	"1D"	"2"	""	"1.4410943"	""	""	"  71              :    27  3s.3d 1D   "	""
"3p2"	"3P"	"0"	""	"1.5030570"	""	""	"                                      "	""
"3p2"	"3P"	"1"	""	"1.5052800"	""	""	"                                      "	""
"3p2"	"3P"	"2"	""	"1.5095507"	""	""	"                                      "	""
"3s.3d"	"3D"	"1"	""	"1.7259228"	""	""	"  99                                  "	""
"3s.3d"	"3D"	"2"	""	"1.7259228"	""	""	"  99                                  "	""
"3s.3d"	"3D"	"3"	""	"1.7259228"	""	""	"  99                                  "	""
"3p2"	"1S"	"0"	""	"1.7732505"	""	""	"  91              :     4  3d2   1S   "	""
"3s.3d"	"1D"	"2"	""	"1.9970771"	""	""	"  69              :    24  3p2   1D   "	""
"3s.4s"	"3S"	"1"	""	"2.0676480"	""	""	"                                      "	""
"3s.4s"	"1S"	"0"	""	"2.1323463"	""	""	"                                      "	""
"3s.4p"	"3P*"	"0"	""	"2.3378862"	""	""	"                                      "	""
"3s.4p"	"3P*"	"1"	""	"2.3384203"	""	""	"                                      "	""
"3s.4p"	"3P*"	"2"	""	"2.3397735"	""	""	"                                      "	""
"3s.4p"	"1P*"	"1"	""	"2.3467191"	""	""	"                                      "	""
"3p.3d"	"3F*"	"2"	""	"2.3875677"	""	""	"                                      "	""
"3p.3d"	"3F*"	"3"	""	"2.3897838"	""	""	"                                      "	""
