configuration	term	J	energy
2p6.3s	2S	1/2	0.0
2p6.3p	2P*	1/2	0.8078553
2p6.3p	2P*	3/2	0.8151033
2p6.3d	2D	3/2	1.8607981
2p6.3d	2D	5/2	1.8608624
2p6.4s	2S	1/2	2.4873879
2p6.4p	2P*	1/2	2.7717178
2p6.4p	2P*	3/2	2.7743095
2p6.4d	2D	3/2	3.1474765
2p6.4d	2D	5/2	3.1475232
2p6.4f	2F*	7/2	3.2130751
2p6.4f	2F*	5/2	3.2130751
2p6.5s	2S	1/2	3.4322441
2p6.5p	2P*	1/2	3.5641301
2p6.5p	2P*	3/2	3.5653497
2p6.5d	2D	3/2	3.7419863
2p6.5d	2D	5/2	3.7420149
2p6.5f	2F*	5/2	3.7769079
2p6.5f	2F*	7/2	3.7769079
2p6.5g	2G	9/2	3.7789041
2p6.5g	2G	7/2	3.7789041
2p6.6s	2S	1/2	3.8927999
2p6.6p	2P*	1/2	3.9644578
2p6.6p	2P*	3/2	3.9651274
2p6.6d	2D	3/2	4.062782
2p6.6d	2D	5/2	4.062782
2p6.6f	2F*	5/2	4.0832986
2p6.6f	2F*	7/2	4.0832986
2p6.6g	2G	7/2	4.0845749
2p6.6g	2G	9/2	4.0845749
2p6.6h	2H*	11/2	4.0847577
2p6.6h	2H*	9/2	4.0847577
2p6.7s	2S	1/2	4.1517557
2p6.7p	2P*	1/2	4.194941
2p6.7p	2P*	3/2	4.195349
2p6.7d	2D	3/2	4.255035
2p6.7d	2D	5/2	4.255035
2p6.7f	2F*	5/2	4.2680423
2p6.7f	2F*	7/2	4.2680423
2p6.7g	2G	9/2	4.268887
2p6.7g	2G	7/2	4.268887
2p6.7h	2H*	11/2	4.2690084
2p6.7h	2H*	9/2	4.2690084
2p6.7i	2I	13/2	4.2690564
2p6.7i	2I	11/2	4.2690564
2p6.8s	2S	1/2	4.311763
2p6.8p	2P*	1/2	4.339767
2p6.8p	2P*	3/2	4.340036
2p6.8d	2D	3/2	4.379186
2p6.8d	2D	5/2	4.379186
2p6.8f	2F*	5/2	4.387928
2p6.8f	2F*	7/2	4.387928
2p6.8g	2G	9/2	4.388518
2p6.8g	2G	7/2	4.388518
2p6.9s	2S	1/2	4.417533
2p6.9p	2P*	1/2	4.436705
2p6.9p	2P*	3/2	4.436888
2p6.9f	2F*	7/2	4.470108
2p6.9f	2F*	5/2	4.470108
2p6.9g	2G	9/2	4.470537
2p6.9g	2G	7/2	4.470537
2p6.10f	2F*	7/2	4.528879
2p6.10f	2F*	5/2	4.528879
2p6.11f	2F*	5/2	4.57236
2p6.11f	2F*	7/2	4.57236
2p6.12f	2F*	7/2	4.605424
2p6.12f	2F*	5/2	4.605424
