Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Lande	Leading percentages	Reference
"3s2.3p2"	"3P"	"0"	" 0.0000000"	""	""	"                                                    "	"L7147"
"3s2.3p2"	"3P"	"1"	" 0.0015027"	""	""	"                                                    "	""
"3s2.3p2"	"3P"	"2"	" 0.0042749"	""	""	"                                                    "	""
"3s2.3p2"	"1D"	"2"	" 0.0809416"	""	""	"                                                    "	""
"3s2.3p2"	"1S"	"0"	" 0.1966116"	""	""	"                                                    "	""
"3s.3p3"	"5S*"	"2"	" 0.4164219"	""	""	" 100                                                "	""
"3s.3p3"	"3D*"	"1"	" 0.5946150"	""	"0.504"	"  81         :    17  3p.3d                3D*      "	""
"3s.3p3"	"3D*"	"2"	" 0.5948054"	""	"1.160"	"  81         :    17  3p.3d                3D*      "	""
"3s.3p3"	"3D*"	"3"	" 0.5951227"	""	"1.329"	"  81         :    17  3p.3d                3D*      "	""
"3s.3p3"	"3P*"	"2"	" 0.6995256"	""	"1.486"	"  71         :    25  3p.3d                3P*      "	""
"3s.3p3"	"3P*"	"1"	" 0.6999655"	""	"1.50"	"  74         :    25  3p.3d                3P*      "	""
"3s.3p3"	"3P*"	"0"	" 0.7000637"	""	""	"  74         :    25  3p.3d                3P*      "	""
"3s2.3p.3d"	"1D*"	"2"	" 0.7081474"	""	"1.014"	"  63         :    32  3s.3p3               1D*      "	""
"3s2.3p.4s"	"3P*"	"0"	" 0.7891349"	""	""	" 100                                                "	""
"3s2.3p.4s"	"3P*"	"1"	" 0.7904691"	""	"1.495"	"  99         :     1  3s2.3p.4s            1P*      "	""
"3s2.3p.4s"	"3P*"	"2"	" 0.7939378"	""	"1.499"	" 100                                                "	""
"3s2.3p.3d"	"3F*"	"2"	" 0.8001298"	""	"0.666"	" 100                                                "	""
"3s2.3p.3d"	"3F*"	"3"	" 0.8016126"	""	"1.083"	" 100                                                "	""
"3s2.3p.3d"	"3F*"	"4"	" 0.8036658"	""	"1.25"	" 100                                                "	""
"3s2.3p.4s"	"1P*"	"1"	" 0.8100546"	""	"1.006"	"  99         :     1  3s2.3p.4s            3P*      "	""
"3s2.3p.4p"	"1P"	"1"	" 0.9261726"	""	"0.998"	"  98         :     2  3s2.3p.4p            3D       "	""
"3s2.3p.3d"	"1P*"	"1"	" 0.9367667"	""	"1.00"	"  64         :    33  3s.3p3               1P*      "	""
"3s2.3p.4p"	"3D"	"1"	" 0.9401142"	""	"0.511"	"  98         :     2  3s2.3p.4p            1P       "	""
"3s2.3p.4p"	"3D"	"2"	" 0.9416955"	""	"1.166"	"  99                                                "	""
"3s2.3p.3d"	"3P*"	"2"	" 0.9443433"	""	"1.408"	"  55         :    21  3p.3d                3D*      "	""
"3s2.3p.4p"	"3D"	"3"	" 0.9446911"	""	"1.334"	" 100                                                "	""
"3s2.3p.3d"	"3P*"	"1"	" 0.9454934"	""	"1.05"	"  41         :    36  3p.3d                3D*      "	""
"3s2.3p.3d"	"3P*"	"0"	" 0.9471744"	""	""	"  75         :    24  3s.3p3               3P*      "	""
