configuration	term	J	energy
3s2.3p3	4S*	3/2	0.0
3s2.3p3	2D*	3/2	0.10352919999999999
3s2.3p3	2D*	5/2	0.10367149999999999
3s2.3p3	2P*	1/2	0.17061389999999999
3s2.3p3	2P*	3/2	0.1708444
3s2.3p2.(3P).4s	4P	1/2	0.50975751
3s2.3p2.(3P).4s	4P	3/2	0.51113539
3s2.3p2.(3P).4s	4P	5/2	0.51340472
3s2.3p2.(3P).4s	2P	1/2	0.52741015
3s2.3p2.(3P).4s	2P	3/2	0.53012383
3s.3p4	4P	5/2	0.54251873
3s.3p4	4P	3/2	0.54417151
3s.3p4	4P	1/2	0.54512333
3s2.3p2.(3P).4p	2S*	1/2	0.58539423
3s2.3p2.(1D).4s	2D	3/2	0.59374736
3s2.3p2.(1D).4s	2D	5/2	0.59375542
3s2.3p2.(3P).4p	4D*	1/2	0.59572768
3s2.3p2.(3P).4p	4D*	3/2	0.59642542
3s2.3p2.(3P).4p	4D*	5/2	0.59765568
3s2.3p2.(3P).4p	4D*	7/2	0.59950851
3s2.3p2.(3P).4p	4P*	1/2	0.60456589
3s2.3p2.(3P).4p	4P*	3/2	0.60471938
3s2.3p2.(3P).4p	4P*	5/2	0.60639576
3s2.3p2.(3P).4p	2D*	3/2	0.60884732
3s2.3p2.(3P).4p	4S*	3/2	0.60904213
3s2.3p2.(3P).4p	2D*	5/2	0.61158658
3s2.3p2.(3P).3d	2P	3/2	0.61883358
3s2.3p2.(3P).4p	2P*	1/2	0.61939798
3s2.3p2.(3P).4p	2P*	3/2	0.6204642
3s2.3p2.(3P).3d	2P	1/2	0.62081532
3s2.3p2.(3P).3d	4F	3/2	0.62133091
3s2.3p2.(3P).3d	4F	5/2	0.62205049
3s2.3p2.(3P).3d	4F	7/2	0.62310137
3s2.3p2.(3P).3d	4F	9/2	0.62451549
3s2.3p2.(3P).3d	4D	1/2	0.63677549
3s2.3p2.(3P).3d	4D	3/2	0.63692379
3s2.3p2.(3P).3d	4D	5/2	0.6371985
3s2.3p2.(3P).3d	4D	7/2	0.63770538
3s2.3p2.(3P).3d	2F	5/2	0.64145729
3s2.3p2.(3P).3d	2F	7/2	0.64417016
3s.3p4	2D	5/2	0.64853262
3s.3p4	2D	3/2	0.64884929
3s2.3p2.(3P).5s	4P	1/2	0.65955687
3s2.3p2.(3P).3d	4P	5/2	0.65963293
3s2.3p2.(3P).3d	4P	3/2	0.66061217
3s2.3p2.(3P).5s	4P	3/2	0.66132837
3s2.3p2.(3P).3d	4P	1/2	0.66174198
3s2.3p2.(3P).3d	2D	3/2	0.66287213
3s2.3p2.(3P).5s	4P	5/2	0.66346805
3s2.3p2.(3P).3d	2D	5/2	0.66417576
3s2.3p2.(3P).5s	2P	1/2	0.66471284
3s2.3p2.(3P).5s	2P	3/2	0.66750135
3s2.3p2.(1D).4p	2D*	3/2	0.67681352
3s2.3p2.(1D).4p	2D*	5/2	0.67708484
3s2.3p2.(1D).4p	2F*	5/2	0.68087712
3s2.3p2.(1D).4p	2F*	7/2	0.68107904
3s2.3p2.(3P).5p	2S*	1/2	0.68440186
3s2.3p2.(3P).5p	4D*	1/2	0.68610442
3s2.3p2.(3P).5p	4D*	3/2	0.6866535
3s2.3p2.(1D).4p	2P*	1/2	0.68760361
3s2.3p2.(3P).5p	4D*	5/2	0.687865
