configuration	term	J	energy
3s2.3p	2P*	1/2	0.0
3s2.3p	2P*	3/2	0.0086701
3s.3p2	4P	1/2	0.648677
3s.3p2	4P	3/2	0.651817
3s.3p2	4P	5/2	0.65679
3s.3p2	2D	3/2	0.857531
3s.3p2	2D	5/2	0.857961
3s.3p2	2S	1/2	1.1255
3s.3p2	2P	1/2	1.217631
3s.3p2	2P	3/2	1.223334
3s2.3d	2D	3/2	1.38634
3s2.3d	2D	5/2	1.386464
3s2.4s	2S	1/2	1.653478
3p3	2D*	3/2	1.686347
3p3	2D*	5/2	1.687193
3p3	4S*	3/2	1.790233
3s.3p.(3P*).3d	4F*	3/2	1.853907
3s.3p.(3P*).3d	4F*	5/2	1.855639
3s.3p.(3P*).3d	4F*	7/2	1.858131
3s.3p.(3P*).3d	4F*	9/2	1.861399
3p3	2P*	3/2	1.926114
3p3	2P*	1/2	1.926203
3s2.4p	2P*	1/2	1.945689
3s2.4p	2P*	3/2	1.947608
3s.3p.(3P*).3d	4P*	5/2	2.02482
3s.3p.(3P*).3d	4P*	3/2	2.027465
3s.3p.(3P*).3d	4P*	1/2	2.029322
3s.3p.(3P*).3d	4D*	1/2	2.044361
3s.3p.(3P*).3d	4D*	3/2	2.045208
3s.3p.(3P*).3d	4D*	5/2	2.046153
3s.3p.(3P*).3d	4D*	7/2	2.046863
3s.3p.(3P*).3d	2D*	5/2	2.128815
3s.3p.(3P*).3d	2D*	3/2	2.1291
3s.3p.(3P*).3d	2F*	5/2	2.202043
3s.3p.(3P*).3d	2F*	7/2	2.209106
3s2.4d	2D	3/2	2.327338
3s2.4d	2D	5/2	2.327379
