configuration	term	J	energy
3s2.3p3	4S*	3/2	0.0
3s2.3p3	2D*	3/2	0.1353499
3s2.3p3	2D*	5/2	0.1356396
3s2.3p3	2P*	1/2	0.2234867
3s2.3p3	2P*	3/2	0.2239123
3s.3p4	4P	5/2	0.723504
3s.3p4	4P	3/2	0.7267977
3s.3p4	4P	1/2	0.7286729000000001
3s.3p4	2D	3/2	0.8920461
3s.3p4	2D	5/2	0.8923023000000001
3s2.3p2.(3P).3d	2P	3/2	0.9622894000000001
3s2.3p2.(3P).3d	2P	1/2	0.9663461999999999
3s2.3p2.(3P).4s	4P	1/2	0.9983905000000001
3s2.3p2.(3P).4s	4P	3/2	1.0008591
3s2.3p2.(3P).3d	4F	3/2	1.0040069
3s2.3p2.(3P).4s	4P	5/2	1.0048414
3s2.3p2.(3P).3d	4F	5/2	1.0052497
3s2.3p2.(3P).3d	4F	7/2	1.0070295
3s2.3p2.(3P).3d	4F	9/2	1.0093792
3s2.3p2.(3P).4s	2P	1/2	1.0291629
3s2.3p2.(3P).4s	2P	3/2	1.0339376
3s2.3p2.(3P).3d	4D	1/2	1.0403234000000001
3s2.3p2.(3P).3d	4D	3/2	1.0406719000000002
3s2.3p2.(3P).3d	4D	5/2	1.0409498
3s2.3p2.(3P).3d	4D	7/2	1.0413899
3s2.3p2.(3P).3d	2F	5/2	1.0461744
3s2.3p2.(3P).3d	2F	7/2	1.0505598
3s.3p4	2S	1/2	1.09155
3s2.3p2.(1D).4s	2D	3/2	1.1074511999999999
3s2.3p2.(1D).4s	2D	5/2	1.1074629999999999
3s2.3p2.(3P).4p	2S*	1/2	1.1435061000000002
3s2.3p2.(1D).3d	2G	7/2	1.1584674
3s2.3p2.(1D).3d	2G	9/2	1.1584788000000001
3s2.3p2.(3P).4p	4D*	1/2	1.1648278
3s2.3p2.(3P).4p	4D*	3/2	1.1662062
3s2.3p2.(3P).4p	4D*	5/2	1.1685469
3s2.3p2.(3P).4p	4D*	7/2	1.1718818000000002
3s2.3p2.(3P).4p	4P*	1/2	1.1827136999999999
3s2.3p2.(3P).4p	4P*	3/2	1.1833548
3s2.3p2.(3P).4p	4P*	5/2	1.1858697
3s2.3p2.(3P).3d	4P	5/2	1.1901348999999999
3s2.3p2.(3P).4p	2D*	3/2	1.1904894
3s2.3p2.(3P).3d	4P	3/2	1.1921091000000001
3s2.3p2.(3P).3d	4P	1/2	1.1932945
3s2.3p2.(3P).4p	4S*	3/2	1.1940226999999999
3s2.3p2.(3P).4p	2D*	5/2	1.1954656000000001
3s2.3p2.(3P).4p	2P*	1/2	1.2144336000000002
3s2.3p2.(3P).3d	2D	3/2	1.2152736000000002
3s2.3p2.(3P).4p	2P*	3/2	1.21563
3s2.3p2.(3P).3d	2D	5/2	1.2194105
3s2.3p2.(1S).4s	2S	1/2	1.2423193000000001
3s2.3p2.(1D).3d	2F	5/2	1.2621883999999999
3s2.3p2.(1D).3d	2F	7/2	1.2623598
3s2.3p2.(1D).3d	2P	1/2	1.2743613
3s2.3p2.(1D).3d	2P	3/2	1.2759267
3s2.3p2.(1D).4p	2F*	5/2	1.2778707
3s2.3p2.(1D).4p	2F*	7/2	1.2786829
3s2.3p2.(1D).4p	2D*	5/2	1.2822338
3s2.3p2.(1D).4p	2D*	3/2	1.2826115
3s2.3p2.(1D).4p	2P*	1/2	1.3075675
3s2.3p2.(1D).4p	2P*	3/2	1.3087942
