ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"746.002"	"5"	"1.08e+09"	"8.98e-02"	D+	"0.1353499"	"1.3568849"	"3s2.3p3"	"2D*"	"3/2"	"3s2.3p2.(1S).3d"	"2D"	"3/2"		"T3186c85"	"L5883"	
"746.081"	"2"	"7.23e+07"	"9.05e-03"	D	"0.1353499"	"1.3567543"	"3s2.3p3"	"2D*"	"3/2"	"3s2.3p2.(1S).3d"	"2D"	"5/2"		"T3186c85"	"L5883"	
"746.179"	"1"	"3.07e+08"	"1.71e-02"	D+	"0.1356396"	"1.3568849"	"3s2.3p3"	"2D*"	"5/2"	"3s2.3p2.(1S).3d"	"2D"	"3/2"		"T3186c85"	"L5883"	
"746.258"	"6"	"1.27e+09"	"1.06e-01"	C	"0.1356396"	"1.3567543"	"3s2.3p3"	"2D*"	"5/2"	"3s2.3p2.(1S).3d"	"2D"	"5/2"		"T3186c85"	"L5883"	
"763.215"	"7"	"4.20e+09"	"1.83e-01"	C	"0.1353499"	"1.3293350"	"3s2.3p3"	"2D*"	"3/2"	"3s.3p4"	"2P"	"1/2"		"T3186c85"	"L5883"	
"763.656"	"10g"	"9.60e+09"	"4.19e-01"	C	"0.0000000"	"1.1932945"	"3s2.3p3"	"4S*"	"3/2"	"3s2.3p2.(3P).3d"	"4P"	"1/2"		"T3186c85"	"L5883"	
"764.416"	"11g"	"9.55e+09"	"8.36e-01"	C	"0.0000000"	"1.1921091"	"3s2.3p3"	"4S*"	"3/2"	"3s2.3p2.(3P).3d"	"4P"	"3/2"		"T3186c85"	"L5883"	
"765.387"	"4"	"1.04e+09"	"9.13e-02"	D+	"0.1353499"	"1.3259459"	"3s2.3p3"	"2D*"	"3/2"	"3s.3p4"	"2P"	"3/2"		"T3186c85"	"L5883"	
"765.574"	"8"	"3.28e+09"	"1.92e-01"	C	"0.1356396"	"1.3259459"	"3s2.3p3"	"2D*"	"5/2"	"3s.3p4"	"2P"	"3/2"		"T3186c85"	"L5883"	
"765.684"	"12g"	"9.47e+09"	"1.25e+00"	C+	"0.0000000"	"1.1901349"	"3s2.3p3"	"4S*"	"3/2"	"3s2.3p2.(3P).3d"	"4P"	"5/2"		"T3186c85"	"L5883"	
"773.460"	"8"	"5.30e+09"	"4.75e-01"	C	"0.1353499"	"1.3135200"	"3s2.3p3"	"2D*"	"3/2"	"3s2.3p2.(1D).3d"	"2D"	"3/2"		"T3186c85"	"L5883"	
"773.650"	"4"	"4.41e+08"	"2.64e-02"	D+	"0.1356396"	"1.3135200"	"3s2.3p3"	"2D*"	"5/2"	"3s2.3p2.(1D).3d"	"2D"	"3/2"		"T3186c85"	"L5883"	
"774.255"	"5"	"2.80e+08"	"3.77e-02"	D+	"0.1353499"	"1.3123104"	"3s2.3p3"	"2D*"	"3/2"	"3s2.3p2.(1D).3d"	"2D"	"5/2"		"T3186c85"	"L5883"	
"774.445"	"10"	"5.12e+09"	"4.61e-01"	C	"0.1356396"	"1.3123104"	"3s2.3p3"	"2D*"	"5/2"	"3s2.3p2.(1D).3d"	"2D"	"5/2"		"T3186c85"	"L5883"	
