configuration	term	J	energy
3s2.3p4	3P	2	0.0
3s2.3p4	3P	1	0.00360912
3s2.3p4	3P	0	0.00522739
3s2.3p4	1D	2	0.0841884
3s2.3p4	1S	0	0.20211861
3s2.3p3.(4S*).4s	5S*	2	0.47954189
3s2.3p3.(4S*).4s	3S*	1	0.50421145
3s2.3p3.(4S*).4p	5P	1	0.57816309
3s2.3p3.(4S*).4p	5P	2	0.57826403
3s2.3p3.(4S*).4p	5P	3	0.57842723
3s2.3p3.(4S*).4p	3P	1	0.59131175
3s2.3p3.(4S*).4p	3P	0	0.59133382
3s2.3p3.(4S*).4p	3P	2	0.59134472
3s2.3p3.(2D*).4s	3D*	1	0.61798806
3s2.3p3.(2D*).4s	3D*	2	0.61806859
3s2.3p3.(2D*).4s	3D*	3	0.61822969
3s2.3p3.(4S*).3d	5D*	4	0.61854652
3s2.3p3.(4S*).3d	5D*	0	0.61860596
3s2.3p3.(4S*).3d	5D*	1	0.61861851
3s2.3p3.(4S*).3d	5D*	2	0.6186392
3s2.3p3.(4S*).3d	5D*	3	0.61865935
3s2.3p3.(2D*).4s	1D*	2	0.63094204
3s2.3p3.(4S*).3d	3D*	1	0.63938734
3s2.3p3.(4S*).3d	3D*	2	0.63940142
3s2.3p3.(4S*).3d	3D*	3	0.63947225
3s2.3p3.(4S*).5s	5S*	2	0.64429123
3s2.3p3.(4S*).5s	3S*	1	0.65020179
3s.3p5	3P*	2	0.65632638
3s.3p5	3P*	1	0.65959631
3s.3p5	3P*	0	0.66132135
3s2.3p3.(4S*).5p	5P	1	0.67352895
3s2.3p3.(4S*).5p	5P	2	0.67356238
3s2.3p3.(4S*).5p	5P	3	0.67361736
3s2.3p3.(4S*).5p	3P	2	0.6767848
3s2.3p3.(4S*).5p	3P	1	0.67679439
3s2.3p3.(4S*).5p	3P	0	0.67681308
3s2.3p3.(4S*).4d	5D*	4	0.6832055
3s2.3p3.(4S*).4d	5D*	3	0.6832143
3s2.3p3.(4S*).4d	5D*	2	0.6832242
3s2.3p3.(4S*).4d	5D*	1	0.6832321
3s2.3p3.(4S*).4d	5D*	0	0.6832371
3s2.3p3.(4S*).4d	3D*	1	0.6921251
3s2.3p3.(4S*).4d	3D*	2	0.6921286999999999
3s2.3p3.(4S*).4d	3D*	3	0.6921668000000001
3s2.3p3.(4S*).6s	5S*	2	0.6967918000000001
3s2.3p3.(4S*).4f	5F	4	0.69852963
3s2.3p3.(4S*).4f	5F	5	0.69852965
3s2.3p3.(4S*).4f	5F	3	0.69852988
3s2.3p3.(4S*).4f	5F	2	0.69853004
3s2.3p3.(4S*).4f	5F	1	0.69853036
3s2.3p3.(4S*).4f	3F	4	0.69854382
3s2.3p3.(4S*).4f	3F	3	0.69854388
3s2.3p3.(4S*).4f	3F	2	0.69854413
3s2.3p3.(4S*).6s	3S*	1	0.69913
3s2.3p3.(2P*).4s	3P*	0	0.7029105999999999
3s2.3p3.(2P*).4s	3P*	1	0.7030438
3s2.3p3.(2P*).4s	3P*	2	0.7033264
3s2.3p3.(4S*).6p	5P	1	0.70942814
3s2.3p3.(4S*).6p	5P	2	0.70945087
3s2.3p3.(2D*).4p	1P	1	0.70946611
3s2.3p3.(4S*).6p	5P	3	0.70948014
