configuration	term	J	energy
3p6.3d.4s	3D	1	0.0
3p6.3d.4s	3D	2	0.0006171
3p6.3d.4s	3D	3	0.0016199
3p6.3d.4s	1D	2	0.0231548
3p6.3d2	3F	2	0.043767
3p6.3d2	3F	3	0.0445024
3p6.3d2	3F	4	0.045452099999999995
3p6.3d2	1D	2	0.0997342
3p6.4s2	1S	0	0.1069496
3p6.3d2	3P	0	0.11002730000000001
3p6.3d2	3P	1	0.110277
3p6.3d2	3P	2	0.11075919999999999
3p6.3d2	1G	4	0.1299587
3p6.3d2	1S	0	0.236521
3p6.3d.4p	1D*	2	0.23767070000000004
3p6.3d.4p	3F*	2	0.2500855
3p6.3d.4p	3F*	3	0.25153200000000003
3p6.3d.4p	3F*	4	0.253709
3p6.3d.4p	3D*	1	0.2544055
3p6.3d.4p	3D*	2	0.2553488
3p6.3d.4p	3D*	3	0.2566235
3p6.3d.4p	3P*	0	0.2709768
3p6.3d.4p	3P*	1	0.2710305
3p6.3d.4p	3P*	2	0.2717756
3p6.3d.4p	1P*	1	0.2808133
3p6.3d.4p	1F*	3	0.2947947
3p6.4s.4p	3P*	0	0.3554142
3p6.4s.4p	3P*	1	0.3564425
3p6.4s.4p	3P*	2	0.3585428
3p6.4s.4p	1P*	1	0.5077157
3p6.3d.5s	3D	1	0.5244513000000001
3p6.3d.5s	3D	2	0.525021
3p6.3d.5s	3D	3	0.5262013000000001
3p6.3d.5s	1D	2	0.5308321
3p6.3d.4d	1F	3	0.5424629
3p6.3d.4d	3D	1	0.5456219
3p6.3d.4d	3D	2	0.5461174
3p6.3d.4d	3D	3	0.5467776
3p6.3d.4d	3G	3	0.5491948
3p6.3d.4d	3G	4	0.5499356
3p6.3d.4d	1P	1	0.550409
3p6.3d.4d	3G	5	0.5509258
3p6.3d.4d	3S	1	0.5565238
3p6.3d.4d	3F	2	0.5775121
3p6.3d.4d	3F	3	0.5781548000000001
3p6.3d.4d	3F	4	0.5789147
3p6.3d.4d	1D	2	0.5865523
3p6.3d.4d	3P	0	0.5888222
3p6.3d.4d	3P	1	0.5891041
3p6.3d.4d	3P	2	0.5896435
3p6.3d.4d	1G	4	0.5944745
3p6.3d.5p	1D*	2	0.6018772
3p6.3d.5p	3D*	1	0.6049878000000001
3p6.3d.5p	3F*	2	0.6056248000000001
3p6.3d.5p	3D*	2	0.6059257
3p6.3d.5p	3F*	3	0.6065733
3p6.3d.5p	3D*	3	0.6067568
3p6.3d.5p	3F*	4	0.6079882
3p6.3d.4d	1S	0	0.6125224
3p6.3d.5p	3P*	0	0.6127060000000001
3p6.3d.5p	3P*	1	0.6132616
