ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"1880.604"	"8"	"5.0e+08"	"1.6e-01"	D	"0.0231548"	"0.5077157"	"3p6.3d.4s"	"1D"	"2"	"3p6.4s.4p"	"1P*"	"1"		"u2"	"L5141"	
"2064.916"	"6"	"2.2e+08"	"1.0e-01"	E	"0.2566235"	"0.697933"	"3p6.3d.4p"	"3D*"	"3"	"3p6.4p2"	"3P"	"2"		"T2757"	"L5141"	
"2068.701"	"5"	"2.0e+08"	"7.7e-02"	E	"0.2553488"	"0.695851"	"3p6.3d.4p"	"3D*"	"2"	"3p6.4p2"	"3P"	"1"		"T2757"	"L5141"	
"2233.599"	"5"	"7.8e+07"	"3.5e-02"	D	"0.0997342"	"0.5077157"	"3p6.3d2"	"1D"	"2"	"3p6.4s.4p"	"1P*"	"1"		"u2"	"L5141"	
"2273.813"	"11"	"7.7e+08"	"1.8e+00"	D	"0.1069496"	"0.5077157"	"3p6.4s2"	"1S"	"0"	"3p6.4s.4p"	"1P*"	"1"		"u2"	"L5141"	
"2541.585"	"3g"	"2.6e+06"	"4.2e-03"	B'	"0.0000000"	"0.3585428"	"3p6.3d.4s"	"3D"	"1"	"3p6.4s.4p"	"3P*"	"2"		"T5448"	"L5141"	
"2545.967"	"8g"	"4.0e+07"	"3.89e-02"	A'	"0.0006171"	"0.3585428"	"3p6.3d.4s"	"3D"	"2"	"3p6.4s.4p"	"3P*"	"2"		"T5448"	"L5141"	
"2553.120"	"10g"	"2.21e+08"	"1.54e-01"	A'	"0.0016199"	"0.3585428"	"3p6.3d.4s"	"3D"	"3"	"3p6.4s.4p"	"3P*"	"2"		"T5448"	"L5141"	
"2556.561"	"8g"	"6.9e+07"	"6.8e-02"	B+	"0.0000000"	"0.3564425"	"3p6.3d.4s"	"3D"	"1"	"3p6.4s.4p"	"3P*"	"1"		"T5448"	"L5141"	
"2560.995"	"10g"	"2.01e+08"	"1.19e-01"	A'	"0.0006171"	"0.3564425"	"3p6.3d.4s"	"3D"	"2"	"3p6.4s.4p"	"3P*"	"1"		"T5448"	"L5141"	
"2563.958"	"8g"	"2.70e+08"	"8.9e-02"	B+	"0.0000000"	"0.3554142"	"3p6.3d.4s"	"3D"	"1"	"3p6.4s.4p"	"3P*"	"0"		"T5448"	"L5141"	
"2611.966"	"7"	"2.2e+08"	"2.3e-01"	E	"0.2376707"	"0.5865523"	"3p6.3d.4p"	"1D*"	"2"	"3p6.3d.4d"	"1D"	"2"		"T2757"	"L5141"	
"2668.498"	"3*"	"1.5e+08"	"2.7e-01"	E	"0.3564425"	"0.697933"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4p2"	"3P"	"2"		"T2757"	"L5141"	
"2736.373"	"4"	"8.1e+07"	"6.5e-02"	E	"0.2566235"	"0.5896435"	"3p6.3d.4p"	"3D*"	"3"	"3p6.3d.4d"	"3P"	"2"		"T2757"	"L5141"	
"2747.188"	"5bl"	"3.9e+08"	"1.5e-01"	E	"0.2808133"	"0.6125224"	"3p6.3d.4p"	"1P*"	"1"	"3p6.3d.4d"	"1S"	"0"		"T2757"	"L5141"	
"2783.118"	"11"	"1.3e+08"	"1.5e-01"	E	"0.2500855"	"0.5775121"	"3p6.3d.4p"	"3F*"	"2"	"3p6.3d.4d"	"3F"	"2"		"T2757"	"L5141"	
"2789.968"	"12"	"1.3e+08"	"1.5e-01"	E	"0.2515320"	"0.5781548"	"3p6.3d.4p"	"3F*"	"3"	"3p6.3d.4d"	"3F"	"3"		"T2757"	"L5141"	
"2802.126"	"9"	"1.3e+08"	"1.5e-01"	E	"0.2537090"	"0.5789147"	"3p6.3d.4p"	"3F*"	"4"	"3p6.3d.4d"	"3F"	"4"		"T2757"	"L5141"	
"2820.329"	"9"	"2.3e+08"	"4.6e-01"	E	"0.2544055"	"0.5775121"	"3p6.3d.4p"	"3D*"	"1"	"3p6.3d.4d"	"3F"	"2"		"T2757"	"L5141"	
"2822.955"	"9"	"2.5e+08"	"4.2e-01"	E	"0.2553488"	"0.5781548"	"3p6.3d.4p"	"3D*"	"2"	"3p6.3d.4d"	"3F"	"3"		"T2757"	"L5141"	
"2827.465"	"10"	"2.8e+08"	"4.3e-01"	E	"0.2566235"	"0.5789147"	"3p6.3d.4p"	"3D*"	"3"	"3p6.3d.4d"	"3F"	"4"		"T2757"	"L5141"	
"2871.684"	"6"	"1.1e+08"	"8.2e-02"	E	"0.2717756"	"0.5891041"	"3p6.3d.4p"	"3P*"	"2"	"3p6.3d.4d"	"3P"	"1"		"T2757"	"L5141"	
"2913.832"	"7"	"1.1e+08"	"8.4e-02"	E	"0.2376707"	"0.5504090"	"3p6.3d.4p"	"1D*"	"2"	"3p6.3d.4d"	"1P"	"1"		"T2757"	"L5141"	
"2980.539"	"8*"	"1.2e+08"	"2.7e-01"	E	"0.2808133"	"0.5865523"	"3p6.3d.4p"	"1P*"	"1"	"3p6.3d.4d"	"1D"	"2"		"T2757"	"L5141"	
