ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"5.135"	""	"2.70e+11"	"3.20e-03"	C+	"0.00000"	"[177.47278]"	"1s2"	"1S"	"0"	"1s.10p"	"1P*"	"1"		"T5231c4"	""	
"5.146"	""	"3.68e+11"	"4.39e-03"	A	"0.00000"	"[177.07652]"	"1s2"	"1S"	"0"	"1s.9p"	"1P*"	"1"		"T5072"	""	
"5.162"	""	"5.25e+11"	"6.30e-03"	A	"0.00000"	"[176.52257]"	"1s2"	"1S"	"0"	"1s.8p"	"1P*"	"1"		"T5072"	""	
"5.186"	""	"7.86e+11"	"9.51e-03"	A	"0.00000"	"[175.71467]"	"1s2"	"1S"	"0"	"1s.7p"	"1P*"	"1"		"T5072"	""	
"5.223"	""	"1.25e+12"	"1.54e-02"	A	"0.00000"	"[174.47007]"	"1s2"	"1S"	"0"	"1s.6p"	"1P*"	"1"		"T5072"	""	
"5.286"	""	"2.18e+12"	"2.73e-02"	A	"0.00000"	"[172.40645]"	"1s2"	"1S"	"0"	"1s.5p"	"1P*"	"1"		"T5072"	""	
"5.405"	""	"4.29e+12"	"5.64e-02"	A	"0.00000"	"[168.60934]"	"1s2"	"1S"	"0"	"1s.4p"	"1P*"	"1"		"T5072"	""	
"5.681"	""	"1.04e+13"	"1.51e-01"	A+	"0.00000"	"[160.41418]"	"1s2"	"1S"	"0"	"1s.3p"	"1P*"	"1"		"T5072"	""	
"6.648"	""	"3.76e+13"	"7.47e-01"	A+	"0.00000"	"[137.0732]"	"1s2"	"1S"	"0"	"1s.2p"	"1P*"	"1"		"T5072,T3585"	""	
"21.557"	""	"1.83e+10"	"2.12e-03"	B+	"[135.19508]"	"[177.46754]"	"1s.2s"	"3S"	"1"	"1s.10p"	"3P*"	"2"		"T5231c4,LS"	""	
"21.557"	""	"1.82e+10"	"1.27e-03"	B	"[135.19508]"	"[177.46702]"	"1s.2s"	"3S"	"1"	"1s.10p"	"3P*"	"1"		"T5231c4,LS"	""	
"21.557"	""	"1.83e+10"	"4.24e-04"	B	"[135.19508]"	"[177.46688]"	"1s.2s"	"3S"	"1"	"1s.10p"	"3P*"	"0"		"T5231c4,LS"	""	
"21.762"	""	"2.51e+10"	"1.78e-03"	B+	"[135.19508]"	"[177.06860]"	"1s.2s"	"3S"	"1"	"1s.9p"	"3P*"	"1"		"T5231c4,LS"	""	
"21.762"	""	"2.51e+10"	"5.94e-04"	B	"[135.19508]"	"[177.06841]"	"1s.2s"	"3S"	"1"	"1s.9p"	"3P*"	"0"		"T5231c4,LS"	""	
