configuration	term	J	energy
2p6.3s2	1S	0	0.0
3s.3p	3P*	0	0.4804627
3s.3p	3P*	1	0.4816345
3s.3p	3P*	2	0.4840196
3s.3p	1P*	1	0.7552983
3p2	1D	2	1.1137006999999999
3p2	3P	0	1.1819903999999999
3p2	3P	1	1.1832071000000002
3p2	3P	2	1.1855632
3s.3d	3D	3	1.3025992
3s.3d	3D	2	1.3026183
3s.3d	3D	1	1.3026403
3s.4s	3S	1	1.3976745000000002
3p2	1S	0	1.3982867
3s.4s	1S	0	1.4495489
3s.3d	1D	2	1.5105618
3s.4p	3P*	0	1.5968133
3s.4p	3P*	1	1.5971149
3s.4p	3P*	2	1.5977816
3s.4p	1P*	1	1.6082696
3p.3d	3F*	2	1.8127210999999999
3p.3d	3F*	3	1.8136628000000001
3p.3d	3F*	4	1.8149168000000002
3s.4d	3D	1	1.8370936999999998
3s.4d	3D	2	1.8370987
3s.4d	3D	3	1.8371096000000002
3s.4d	1D	2	1.8619991999999999
3s.4f	1F*	3	1.8665306000000002
3p.3d	1D*	2	1.8683625
3s.5s	3S	1	1.8788147000000002
3s.5s	1S	0	1.8942881
3s.4f	3F*	2	1.9093906000000003
3s.4f	3F*	3	1.9096451
3s.4f	3F*	4	1.9100130000000002
3s.5p	1P*	1	1.954961
3s.5p	3P*	2	1.9591264
3s.5p	3P*	1	1.9591754000000001
3s.5p	3P*	0	1.9591828000000002
3p.3d	3P*	2	1.9700703999999998
3p.3d	3P*	1	1.9709676
3p.3d	3P*	0	1.9715286
3p.3d	3D*	1	1.9809648999999998
3p.3d	3D*	2	1.9814583
3p.3d	3D*	3	1.9819101000000003
3s.5f	1F*	3	2.0551471
3p.4s	3P*	0	2.0631086
3p.4s	3P*	1	2.0642697
3p.4s	3P*	2	2.0669385
3s.5d	3D	1	2.0693161
3s.5d	3D	2	2.0693436000000003
3s.5d	3D	3	2.0693846999999996
3s.5d	1D	2	2.074637
3p.4s	1P*	1	2.0840655
3s.6s	3S	1	2.0924805
3s.5f	3F*	2	2.098354
3s.5f	3F*	3	2.0983621
3s.5f	3F*	4	2.0983807
3s.5g	3G	3	2.0986591
3s.5g	3G	4	2.0986631
3s.5g	1G	4	2.0986662999999997
3s.5g	3G	5	2.0986694
3s.6s	1S	0	2.0992354
3s.6p	1P*	1	2.1358973
3s.6p	3P*	0	2.1361472999999997
3s.6p	3P*	1	2.1362688
3s.6p	3P*	2	2.1363943
3p.3d	1F*	3	2.1452496
3p.3d	1P*	1	2.1501445
3s.6d	3D	1	2.1894310000000003
3s.6d	3D	2	2.1896315
3s.6d	3D	3	2.189908
3s.6d	1D	2	2.1920507999999996
3s.7s	3S	1	2.2065884999999996
3s.6f	3F*	2	2.2090104999999998
3s.6f	3F*	3	2.209014
3s.6f	3F*	4	2.2090179
3s.6g	3G	3	2.2095826
3s.6g	3G	4	2.2095844
3s.6g	1G	4	2.2095881
3s.6g	3G	5	2.209593
3s.7s	1S	0	2.2101683999999997
3s.6h	1H*	5	2.2110927000000005
3s.6h	3H*	6	2.2110927000000005
3s.6h	3H*	5	2.2110927000000005
3s.6h	3H*	4	2.2110927000000005
3p.4p	1P	1	2.2133337
3s.6f	1F*	3	2.2222932999999996
3p.4p	3D	1	2.230207
3p.4p	3D	2	2.2313836
3s.7p	1P*	1	2.231433
3s.7p	3P*	0	2.2319547
3s.7p	3P*	1	2.2319970000000002
3s.7p	3P*	2	2.2320877
3p.4p	3D	3	2.2333932
3p.4p	3P	0	2.2587728
3p.4p	1D	2	2.2593535
3p.4p	3P	1	2.2595202999999997
3p.4p	3P	2	2.2614736
3p.4p	3S	1	2.2669851000000003
