configuration	term	J	energy
3s2.3p	2P*	1/2	0.0
3s2.3p	2P*	3/2	0.0026175
3s.3p2	4P	1/2	0.39024359999999997
3s.3p2	4P	3/2	0.3912308
3s.3p2	4P	5/2	0.3928282
3s.3p2	2D	3/2	0.5040159000000001
3s.3p2	2D	5/2	0.5041601
3s2.4s	2S	1/2	0.5968842
3s.3p2	2S	1/2	0.6986260999999999
3s2.3d	2D	3/2	0.7229856
3s2.3d	2D	5/2	0.7231361999999999
3s2.4p	2P*	1/2	0.7398699000000001
3s2.4p	2P*	3/2	0.7404165
3s.3p2	2P	1/2	0.7636596
3s.3p2	2P	3/2	0.7655031
3s2.5s	2S	1/2	0.8927874
3s2.4d	2D	3/2	0.9205898000000001
3s2.4d	2D	5/2	0.9206015999999999
3s2.4f	2F*	7/2	0.943672
3s2.4f	2F*	5/2	0.9436732
3s2.5p	2P*	1/2	0.9464486999999999
3s2.5p	2P*	3/2	0.9466720999999999
