ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"843.719"	"20w"	"7.05e+07"	"1.50e-02"	D	"0.0000000"	"1.0800598"	"3s2.3p"	"2P*"	"1/2"	"3s2.6d"	"2D"	"3/2"		"T7166"	"L3541"	
"845.769"	"40w"	"1.42e+07"	"1.52e-03"	E	"0.0026175"	"1.0800598"	"3s2.3p"	"2P*"	"3/2"	"3s2.6d"	"2D"	"3/2"		"T7166"	"L3541"	
"889.723"	"100"	"1.43e+08"	"3.40e-02"	D+	"0.0000000"	"1.0242146"	"3s2.3p"	"2P*"	"1/2"	"3s2.5d"	"2D"	"3/2"		"T7166"	"L3541"	
"892.002"	"200"	"2.88e+07"	"3.43e-03"	D	"0.0026175"	"1.0242146"	"3s2.3p"	"2P*"	"3/2"	"3s2.5d"	"2D"	"3/2"		"T7166"	"L3541"	
"899.406"	"10"	"4.63e+07"	"5.62e-03"	D	"0.0000000"	"1.0131873"	"3s2.3p"	"2P*"	"1/2"	"3s2.6s"	"2S"	"1/2"		"T7166"	"L3541"	
"901.736"	"20"	"9.23e+07"	"5.62e-03"	D	"0.0026175"	"1.0131873"	"3s2.3p"	"2P*"	"3/2"	"3s2.6s"	"2S"	"1/2"		"T7166"	"L3541"	
"989.873"	"100"	"6.81e+08"	"2.00e-01"	C+	"0.0000000"	"0.9205898"	"3s2.3p"	"2P*"	"1/2"	"3s2.4d"	"2D"	"3/2"		"T2510"	"L3541"	
"992.683"	"200"	"7.11e+08"	"1.57e-01"	C+	"0.0026175"	"0.9206016"	"3s2.3p"	"2P*"	"3/2"	"3s2.4d"	"2D"	"5/2"		"T7166"	"L3541"	
"992.696"	""	"1.18e+08"	"1.75e-02"	D+	"0.0026175"	"0.9205898"	"3s2.3p"	"2P*"	"3/2"	"3s2.4d"	"2D"	"3/2"		"T7166"	""	
"1020.699"	"25"	"8.91e+07"	"1.39e-02"	D	"0.0000000"	"0.8927874"	"3s2.3p"	"2P*"	"1/2"	"3s2.5s"	"2S"	"1/2"		"T7166"	"L3541"	
"1023.700"	"50"	"1.77e+08"	"1.39e-02"	D+	"0.0026175"	"0.8927874"	"3s2.3p"	"2P*"	"3/2"	"3s2.5s"	"2S"	"1/2"		"T7166"	"L3541"	
"1190.416"	"100"	"6.53e+08"	"2.77e-01"	C+	"0.0000000"	"0.7655031"	"3s2.3p"	"2P*"	"1/2"	"3s.3p2"	"2P"	"3/2"		"c22"	"L3541"	
"1193.290"	"200"	"2.69e+09"	"5.75e-01"	B	"0.0000000"	"0.7636596"	"3s2.3p"	"2P*"	"1/2"	"3s.3p2"	"2P"	"1/2"		"c22"	"L3541"	
"1194.500"	"250"	"3.45e+09"	"7.37e-01"	B	"0.0026175"	"0.7655031"	"3s2.3p"	"2P*"	"3/2"	"3s.3p2"	"2P"	"3/2"		"c22"	"L3541"	
"1197.394"	"100"	"1.40e+09"	"1.50e-01"	C+	"0.0026175"	"0.7636596"	"3s2.3p"	"2P*"	"3/2"	"3s.3p2"	"2P"	"1/2"		"c22"	"L3541"	
"1222.276"	""	"2.45e+08"	"5.49e-02"	D	"0.3902436"	"1.135793"	"3s.3p2"	"4P"	"1/2"	"3s.3p.(3P*).3d"	"4P*"	"1/2"		"T6527c4,LS"	""	
"1222.624"	""	"6.14e+08"	"2.75e-01"	C	"0.3902436"	"1.135581"	"3s.3p2"	"4P"	"1/2"	"3s.3p.(3P*).3d"	"4P*"	"3/2"		"T6527c4,LS"	""	
"1223.896"	""	"1.24e+09"	"1.39e-01"	C+	"0.3912308"	"1.135793"	"3s.3p2"	"4P"	"3/2"	"3s.3p.(3P*).3d"	"4P*"	"1/2"		"T1533"	""	
"1224.245"	"20"	"6.72e+08"	"1.51e-01"	C+	"0.3912308"	"1.135581"	"3s.3p2"	"4P"	"3/2"	"3s.3p.(3P*).3d"	"4P*"	"3/2"		"T1533"	"L3541"	
"1224.968"	"10"	"4.39e+08"	"1.48e-01"	C	"0.3912308"	"1.135142"	"3s.3p2"	"4P"	"3/2"	"3s.3p.(3P*).3d"	"4P*"	"5/2"		"T6527c4,LS"	"L3541"	
"1226.798"	"50"	"2.77e+09"	"6.26e-01"	C	"0.3902436"	"1.133045"	"3s.3p2"	"4P"	"1/2"	"3s.3p.(3P*).3d"	"4D*"	"1/2"		"T6527c4,LS"	"L3541"	
"1226.878"	"20"	"6.55e+08"	"9.85e-02"	C	"0.3928282"	"1.135581"	"3s.3p2"	"4P"	"5/2"	"3s.3p.(3P*).3d"	"4P*"	"3/2"		"T6527c4,LS"	"L3541"	
"1226.979"	"40"	"1.39e+09"	"6.26e-01"	C	"0.3902436"	"1.132935"	"3s.3p2"	"4P"	"1/2"	"3s.3p.(3P*).3d"	"4D*"	"3/2"		"T6527c4,LS"	"L3541"	
"1227.604"	"100"	"1.46e+09"	"3.30e-01"	B	"0.3928282"	"1.135142"	"3s.3p2"	"4P"	"5/2"	"3s.3p.(3P*).3d"	"4P*"	"5/2"		"T1533"	"L3541"	
"1228.431"	"10"	"5.53e+08"	"6.25e-02"	D+	"0.3912308"	"1.133045"	"3s.3p2"	"4P"	"3/2"	"3s.3p.(3P*).3d"	"4D*"	"1/2"		"T6527c4,LS"	"L3541"	
"1228.612"	"25"	"1.77e+09"	"4.00e-01"	C	"0.3912308"	"1.132935"	"3s.3p2"	"4P"	"3/2"	"3s.3p.(3P*).3d"	"4D*"	"3/2"		"T6527c4,LS"	"L3541"	
"1228.739"	"150"	"2.32e+09"	"7.88e-01"	C+	"0.3912308"	"1.132859"	"3s.3p2"	"4P"	"3/2"	"3s.3p.(3P*).3d"	"4D*"	"5/2"		"T6527c4,LS"	"L3541"	
"1229.383"	"200"	"2.25e+09"	"6.80e-01"	B	"0.3928282"	"1.134067"	"3s.3p2"	"4P"	"5/2"	"3s.3p.(3P*).3d"	"4D*"	"7/2"		"T1533"	"L3541"	
"1230.749"	""	"1.18e-02"	""	E	"0.0000000"	"0.7404165"	"3s2.3p"	"2P*"	"1/2"	"3s2.4p"	"2P*"	"3/2"	M1	"c22"	""	
