configuration	term	J	energy
3s2.3p2	3P	0	0.0
3s2.3p2	3P	1	0.00070272
3s2.3p2	3P	2	0.00203356
3s2.3p2	1D	2	0.05739934
3s2.3p2	1S	0	0.14028382
3s.3p3	5S*	2	0.30368934
3s2.3p.4s	3P*	0	0.36161959
3s2.3p.4s	3P*	1	0.36232238
3s2.3p.4s	3P*	2	0.36409723
3s2.3p.4s	1P*	1	0.37354553
3s.3p3	3D*	1	0.41258698
3s.3p3	3D*	2	0.41274592
3s.3p3	3D*	3	0.41300307
3s2.3p.4p	1P	1	0.43088407
3s2.3p.3d	1D*	2	0.43149911
3s2.3p.4p	3D	1	0.43759111
3s2.3p.4p	3D	2	0.43834062
3s2.3p.4p	3D	3	0.43981659
3s2.3p.4p	3P	0	0.44677869
3s2.3p.4p	3P	1	0.44707309
3s2.3p.4p	3P	2	0.44823966
3s2.3p.4p	3S	1	0.45016292
3s2.3p.3d	3F*	2	0.45427419
3s2.3p.3d	3F*	3	0.45503004
3s2.3p.3d	3F*	4	0.45613290000000006
3s2.3p.4p	1D	2	0.45735936
3s2.3p.3d	3P*	2	0.46018838
3s2.3p.3d	3P*	1	0.46079491
3s2.3p.3d	3P*	0	0.4611234
3s2.3p.4p	1S	0	0.47032326
3s2.3p.3d	1F*	3	0.48627250000000005
3s2.3p.3d	1P*	1	0.48650118
3s2.3p.3d	3D*	1	0.49377246
3s2.3p.3d	3D*	2	0.49395312
3s2.3p.5s	3P*	0	0.49431699
3s2.3p.3d	3D*	3	0.49443147
3s2.3p.5s	3P*	1	0.49494393
3s2.3p.5s	3P*	2	0.4968977
3s2.3p.5s	1P*	1	0.50002163
3s2.3p.4d	1D*	2	0.51489637
3s2.3p.4d	3P*	2	0.51660552
3s2.3p.4d	3P*	1	0.5166907000000001
3s2.3p.4d	3P*	0	0.5169925999999999
3s2.3p.5p	1P	1	0.51742132
3s2.3p.5p	3D	1	0.51922407
3s2.3p.5p	3D	2	0.51958165
3s2.3p.5p	3D	3	0.52122677
3s2.3p.5p	3P	0	0.52211848
3s2.3p.5p	3P	1	0.52241836
3s2.3p.4d	3F*	2	0.52281484
3s2.3p.4d	3F*	3	0.52352821
3s2.3p.5p	3P	2	0.52368913
3s2.3p.5p	3S	1	0.52436054
3s2.3p.4d	3F*	4	0.52474089
3s2.3p.5p	1D	2	0.52669479
3s2.3p.5p	1S	0	0.53137494
