configuration	term	J	energy
3p6.3d2	3F	2	0.0
3p6.3d2	3F	3	0.001685
3p6.3d2	3F	4	0.003831
3p6.3d2	1D	2	0.07721599999999999
3p6.3d2	3P	0	0.09603300000000001
3p6.3d2	3P	1	0.096627
3p6.3d2	3P	2	0.097699
3p6.3d2	1G	4	0.131201
3p6.3d2	1S	0	0.295939
3p6.3d.4s	3D	1	0.3468679
3p6.3d.4s	3D	2	0.3480944
3p6.3d.4s	3D	3	0.3501634
3p6.3d.4s	1D	2	0.3800373
3p6.3d.4p	1D*	2	0.6852564999999999
3p6.3d.4p	3D*	1	0.7016777
3p6.3d.4p	3D*	2	0.7032014
3p6.3d.4p	3F*	2	0.7055199000000001
3p6.3d.4p	3D*	3	0.7055435
3p6.3d.4p	3F*	3	0.7084776999999999
3p6.3d.4p	3F*	4	0.7122337
3p6.3d.4p	3P*	1	0.7375722
3p6.3d.4p	3P*	0	0.7376239
3p6.3d.4p	3P*	2	0.7383493
3p6.3d.4p	1F*	3	0.7574171999999999
3p6.3d.4p	1P*	1	0.7636132
3p6.4s2	1S	0	0.9355537
3p6.3d.4d	1F	3	1.1645134
3p6.3d.4d	3D	1	1.1703713
3p6.3d.4d	3D	2	1.1714008
3p6.3d.4d	3D	3	1.1727066000000002
3p6.3d.4d	3G	3	1.1763845
3p6.3d.4d	3G	4	1.1778376
3p6.3d.4d	1P	1	1.1778437
3p6.3d.4d	3G	5	1.1798117000000001
3p6.3d.4d	3S	1	1.1913889
3p6.3d.4d	3F	2	1.2125796999999998
3p6.3d.4d	3F	3	1.2138723999999999
3p6.3d.4d	3F	4	1.2153666
3p6.3d.5s	3D	1	1.2201729
3p6.3d.5s	3D	2	1.2210959
3p6.3d.5s	3D	3	1.2236049
3p6.3d.5s	1D	2	1.2261813
3p6.3d.4d	1D	2	1.2339036
3p6.3d.4d	3P	0	1.2351447
3p6.3d.4d	3P	1	1.2356915000000002
3p6.3d.4d	3P	2	1.2367854
3p6.3d.4d	1G	4	1.2424191
3p6.4s.4p	3P*	0	1.250795
3p6.4s.4p	3P*	1	1.252881
3p6.4s.4p	3P*	2	1.257195
3p6.3d.4d	1S	0	1.2759492000000001
3p6.3d.5p	1D*	2	1.3415015
3p6.3d.5p	3D*	1	1.3446851999999998
3p6.3d.5p	3D*	2	1.3463961000000002
3p6.3d.5p	3F*	2	1.3480507
3p6.3d.5p	3D*	3	1.3481236
3p6.3d.5p	3F*	3	1.3496877
3p6.3d.5p	3F*	4	1.3524136
3p6.3d.5p	3P*	1	1.357594
3p6.3d.5p	3P*	0	1.3579678999999998
