ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"2264.7186"	"0.0003"	"12"	"2.3e+07"	"2.5e-02"	D	"0.000000000"	"0.40237540"	"3d2.4s2"	"a 3F"	"2"	"3d2.4s.(4F).5p"	"3G*"	"3"		"T3499n"	"L10989"	
"2277.4048"	"0.0003"	"14"	"1.3e+08"	"7.2e-02"	C	"0.001550364"	"0.40168434"	"3d2.4s2"	"a 3F"	"3"	"3d2.4s.(4F).5p"	"o 3D*"	"2"		"T3499n"	"L10989"	
"2280.6710"	"0.0003"	"15"	"9.4e+07"	"5.7e-02"	C	"0.003525455"	"0.40308640"	"3d2.4s2"	"a 3F"	"4"	"3d2.4s.(4F).5p"	"o 3D*"	"3"		"T3499n"	"L10989"	
"2300.5674"	"0.0003"	"14"	"6.9e+07"	"5.5e-02"	C	"0.000000000"	"0.39610534"	"3d2.4s2"	"a 3F"	"2"	"3d2.4s.(4F).5p"	"r 3F*"	"2"		"T3499n"	"L10989"	
"2303.44570"	"0.00021"	"14"	"5.7e+07"	"4.5e-02"	C	"0.001550364"	"0.39716075"	"3d2.4s2"	"a 3F"	"3"	"3d2.4s.(4F).5p"	"r 3F*"	"3"		"T3499n"	"L10989"	
"2306.3838"	"0.0003"	"15"	"5.2e+07"	"4.1e-02"	C	"0.003525455"	"0.39863188"	"3d2.4s2"	"a 3F"	"4"	"3d2.4s.(4F).5p"	"r 3F*"	"4"		"T3499n"	"L10989"	
"2385.2464"	"0.0003"	"10"	"9.0e+06"	"6.0e-03"	C	"0.003525455"	"0.38556861"	"3d2.4s2"	"a 3F"	"4"	"3d.4s2.4p"	"q 3D*"	"3"		"T3499n"	"L10989"	
"2419.0965"	"0.0004"	"12"	"1.2e+07"	"1.1e-02"	C	"0.000000000"	"0.37669728"	"3d2.4s2"	"a 3F"	"2"	"3d.4s2.4p"	"s 3F*"	"2"		"T3499n"	"L10989"	
"2422.0402"	"0.0003"	"15+"	"1.3e+07"	"1.1e-02"	C	"0.001550364"	"0.37778980"	"3d2.4s2"	"a 3F"	"3"	"3d.4s2.4p"	"s 3F*"	"3"		"T3499n"	"L10989"	
"2424.9864"	"0.0004"	"15+"	"1.7e+07"	"1.5e-02"	C	"0.003525455"	"0.37930779"	"3d2.4s2"	"a 3F"	"4"	"3d.4s2.4p"	"s 3F*"	"4"		"T3499n"	"L10989"	
"2428.9528"	"0.0003"	"10"	"7.7e+06"	"9.5e-03"	C	"0.000000000"	"0.37516870"	"3d2.4s2"	"a 3F"	"2"	"3d3.(2H).4p"	"3G*"	"3"		"T3499n"	"L10989"	
"2441.7240"	"0.0005"	"12"	"7.2e+06"	"7.9e-03"	C	"0.003525455"	"0.37673186"	"3d2.4s2"	"a 3F"	"4"	"3d3.(2H).4p"	"3G*"	"5"		"T3499n"	"L10989"	
"2519.7826"	"0.0003"	"10"	"5.9e+06"	"5.6e-03"	C	"0.000000000"	"0.36164511"	"3d2.4s2"	"a 3F"	"2"	"3d3.(2D2).4p"	"s 3D*"	"2"		"T3499n"	"L10989"	
"2521.2999"	"0.0003"	"15+"	"3.8e+07"	"2.2e-02"	C	"0.000000000"	"0.36142748"	"3d2.4s2"	"a 3F"	"2"	"3d3.(2D2).4p"	"s 3D*"	"1"		"T3499n"	"L10989"	
"2528.7451"	"0.0003"	"10"	"6.8e+06"	"6.5e-03"	C	"0.001550364"	"0.36191371"	"3d2.4s2"	"a 3F"	"3"	"3d3.(2D2).4p"	"s 3D*"	"3"		"T3499n"	"L10989"	
"2530.6313"	"0.0003"	"5"	"3.8e+07"	"2.6e-02"	C	"0.001550364"	"0.36164511"	"3d2.4s2"	"a 3F"	"3"	"3d3.(2D2).4p"	"s 3D*"	"2"		"T3499n"	"L10989"	
"2542.6811"	"0.0003"	"15+"	"4.3e+07"	"3.2e-02"	C	"0.003525455"	"0.36191371"	"3d2.4s2"	"a 3F"	"4"	"3d3.(2D2).4p"	"s 3D*"	"3"		"T3499n"	"L10989"	
"2591.0286"	"0.0003"	"8"	"4.7e+06"	"4.7e-03"	C	"0.001550364"	"0.35325125"	"3d2.4s2"	"a 3F"	"3"	"3d3.(2P).4p"	"t 3D*"	"3"		"T3499n"	"L10989"	
"2594.4163"	"0.0003"	"11"	"6.9e+06"	"9.7e-03"	C	"0.000000000"	"0.35124165"	"3d2.4s2"	"a 3F"	"2"	"3d3.(2G).4p"	"t 3F*"	"3"		"T3499n"	"L10989"	
"2597.3628"	"0.0003"	"11"	"6.9e+06"	"9.0e-03"	C	"0.001550364"	"0.35239356"	"3d2.4s2"	"a 3F"	"3"	"3d3.(2G).4p"	"t 3F*"	"4"		"T3499n"	"L10989"	
"2600.6917"	"0.0003"	"15+"	"6.7e+07"	"6.8e-02"	C	"0.000000000"	"0.35039411"	"3d2.4s2"	"a 3F"	"2"	"3d3.(2G).4p"	"t 3F*"	"2"		"T3499n"	"L10989"	
"2605.9187"	"0.0003"	"15"	"6.4e+07"	"6.5e-02"	C	"0.001550364"	"0.35124165"	"3d2.4s2"	"a 3F"	"3"	"3d3.(2G).4p"	"t 3F*"	"3"		"T3499n"	"L10989"	
"2612.0676"	"0.0003"	"15"	"6.4e+07"	"6.5e-02"	C	"0.003525455"	"0.35239356"	"3d2.4s2"	"a 3F"	"4"	"3d3.(2G).4p"	"t 3F*"	"4"		"T3499n"	"L10989"	
"2612.2499"	"0.0003"	"11"	"3.3e+07"	"2.4e-02"	C	"0.001550364"	"0.35039411"	"3d2.4s2"	"a 3F"	"3"	"3d3.(2G).4p"	"t 3F*"	"2"		"T3499n"	"L10989"	
"2620.7207"	"0.0003"	"13"	"2.1e+07"	"1.7e-02"	C	"0.003525455"	"0.35124165"	"3d2.4s2"	"a 3F"	"4"	"3d3.(2G).4p"	"t 3F*"	"3"		"T3499n"	"L10989"	
"2632.3182"	"0.0003"	"14"	"1.7e+07"	"1.8e-02"	C	"0.001550364"	"0.34773459"	"3d2.4s2"	"a 3F"	"3"	"3d2.(3P).4s.4p.(1P*)"	"u 3D*"	"3"		"T3499n"	"L10989"	
"2633.2012"	"0.0003"	"14"	"2.7e+07"	"2.8e-02"	C	"0.000000000"	"0.34606814"	"3d2.4s2"	"a 3F"	"2"	"3d2.(3P).4s.4p.(1P*)"	"u 3D*"	"2"		"T3499n"	"L10989"	
"2641.8821"	"0.0003"	"15"	"1.8e+08"	"1.1e-01"	C	"0.000000000"	"0.34493100"	"3d2.4s2"	"a 3F"	"2"	"3d2.(3P).4s.4p.(1P*)"	"u 3D*"	"1"		"T3499n"	"L10989"	
"2645.0509"	"0.0003"	"15"	"1.4e+08"	"1.0e-01"	C	"0.001550364"	"0.34606814"	"3d2.4s2"	"a 3F"	"3"	"3d2.(3P).4s.4p.(1P*)"	"u 3D*"	"2"		"T3499n"	"L10989"	
"2647.4226"	"0.0003"	"15"	"1.5e+08"	"1.2e-01"	C	"0.003525455"	"0.34773459"	"3d2.4s2"	"a 3F"	"4"	"3d2.(3P).4s.4p.(1P*)"	"u 3D*"	"3"		"T3499n"	"L10989"	
"2657.9786"	"0.0006"	""	"3.2e+06"	"4.7e-03"	C	"0.000000000"	"0.34284213"	"3d2.4s2"	"a 3F"	"2"	"3d.4s2.4p"	"x 1F*"	"3"		"T3499n"	"L10989"	
"2662.7572"	"0.0003"	"14"	"8.9e+06"	"1.3e-02"	C	"0.000000000"	"0.34222687"	"3d2.4s2"	"a 3F"	"2"	"3d3.(2G).4p"	"v 3G*"	"3"		"T3499n"	"L10989"	
"2670.3866"	"0.0003"	"14"	"1.0e+07"	"1.4e-02"	C	"0.001550364"	"0.34279947"	"3d2.4s2"	"a 3F"	"3"	"3d3.(2G).4p"	"v 3G*"	"4"		"T3499n"	"L10989"	
"2680.7170"	"0.0003"	"15"	"1.3e+07"	"1.7e-02"	C	"0.003525455"	"0.34345953"	"3d2.4s2"	"a 3F"	"4"	"3d3.(2G).4p"	"v 3G*"	"5"		"T3499n"	"L10989"	
"2734.0615"	"0.0007"	"13"	"1.9e+08"	"2.1e-01"	D	"0.078390327"	"0.41169192"	"3d2.4s2"	"a 3P"	"2"	"3d2.4s.(2P).4p"	"3P*"	"2"		"T2805n"	"L10989"	
"2736.0959"	"0.0008"	"8"	"4.1e+08"	"1.5e-01"	D	"0.077388643"	"0.41044242"	"3d2.4s2"	"a 3P"	"1"	"3d2.4s.(2P).4p"	"3P*"	"0"		"T2805n"	"L10989"	
"2912.9421"	"0.0007"	"15+"	"1.3e+08"	"2.3e-01"	D	"0.06611566"	"0.37894956"	"3d2.4s2"	"a 1D"	"2"	"3d3.(2G).4p"	"v 1F*"	"3"		"T2805n"	"L10989"	
"2934.3923"	"0.0003"	"15+*"	"9.6e+06"	"1.7e-02"	C	"0.000000000"	"0.31054711"	"3d2.4s2"	"a 3F"	"2"	"3d2.(1G).4s.4p.(3P*)"	"v 3F*"	"3"		"T3499n"	"L10989"	
"2938.1647"	"0.0003"	"15+"	"7.7e+06"	"1.3e-02"	C	"0.001550364"	"0.31169876"	"3d2.4s2"	"a 3F"	"3"	"3d2.(1G).4s.4p.(3P*)"	"v 3F*"	"4"		"T3499n"	"L10989"	
"2942.8510"	"0.0003"	"60r"	"1.0e+08"	"1.3e-01"	C	"0.000000000"	"0.30965449"	"3d2.4s2"	"a 3F"	"2"	"3d2.(1G).4s.4p.(3P*)"	"v 3F*"	"2"		"T3499n"	"L5"	
"2949.1154"	"0.0003"	"15+"	"9.3e+07"	"1.2e-01"	C	"0.001550364"	"0.31054711"	"3d2.4s2"	"a 3F"	"3"	"3d2.(1G).4s.4p.(3P*)"	"v 3F*"	"3"		"T3499n"	"L10989"	
"2956.9954"	"0.0003"	"15+bl"	"9.7e+07"	"1.3e-01"	C	"0.003525455"	"0.31169876"	"3d2.4s2"	"a 3F"	"4"	"3d2.(1G).4s.4p.(3P*)"	"v 3F*"	"4"		"T3499n"	"L10989"	
"2957.6593"	"0.0003"	"15+"	"1.8e+07"	"1.7e-02"	C	"0.001550364"	"0.30965449"	"3d2.4s2"	"a 3F"	"3"	"3d2.(1G).4s.4p.(3P*)"	"v 3F*"	"2"		"T3499n"	"L10989"	
"2968.0872"	"0.0004"	"14"	"1.1e+07"	"1.1e-02"	C	"0.003525455"	"0.31054711"	"3d2.4s2"	"a 3F"	"4"	"3d2.(1G).4s.4p.(3P*)"	"v 3F*"	"3"		"T3499n"	"L10989"	
"2971.2500"	"0.0004"	"15+"	"7.4e+06"	"9.8e-03"	C	"0.000000000"	"0.30669484"	"3d2.4s2"	"a 3F"	"2"	"3d3.(4F).4p"	"w 3F*"	"2"		"T3499n"	"L10989"	
"2982.3370"	"0.0004"	"12"	"7.3e+05"	"1.3e-03"	C	"0.001550364"	"0.30710505"	"3d2.4s2"	"a 3F"	"3"	"3d3.(4F).4p"	"w 3F*"	"4"		"T3499n"	"L10989"	
"2984.1736"	"0.0004"	"15+"	"1.1e+07"	"1.5e-02"	C	"0.001550364"	"0.30691700"	"3d2.4s2"	"a 3F"	"3"	"3d3.(4F).4p"	"w 3F*"	"3"		"T3499n"	"L10989"	
"3001.7401"	"0.0005"	"15+"	"1.2e+07"	"1.6e-02"	C	"0.003525455"	"0.30710505"	"3d2.4s2"	"a 3F"	"4"	"3d3.(4F).4p"	"w 3F*"	"4"		"T3499n"	"L10989"	
"3187.3722"	"0.0003"	"15+"	"8.0e+07"	"1.7e-01"	C	"0.000000000"	"0.28589917"	"3d2.4s2"	"a 3F"	"2"	"3d3.(4F).4p"	"w 3G*"	"3"		"T3499n"	"L10989"	
"3192.9150"	"0.0004"	"15+"	"8.5e+07"	"1.7e-01"	C	"0.001550364"	"0.28695322"	"3d2.4s2"	"a 3F"	"3"	"3d3.(4F).4p"	"w 3G*"	"4"		"T3499n"	"L10989"	
"3200.8385"	"0.0004"	"15+"	"9.4e+07"	"1.8e-01"	C	"0.003525455"	"0.28822181"	"3d2.4s2"	"a 3F"	"4"	"3d3.(4F).4p"	"w 3G*"	"5"		"T3499n"	"L10989"	
"3204.7508"	"0.0004"	"15+"	"7.2e+06"	"1.1e-02"	C	"0.001550364"	"0.28589917"	"3d2.4s2"	"a 3F"	"3"	"3d3.(4F).4p"	"w 3G*"	"3"		"T3499n"	"L10989"	
"3207.2660"	"0.0012"	"8"	"1.39e+07"	"2.53e-02"	C+	"0.14824019"	"0.43236600"	"3d2.(3F).4s.4p.(3P*)"	"z 5G*"	"5"	"3d2.4p2"	"g 5G"	"6"		"T6897"	"L10989"	
"3207.7487"	"0.0007"	"9"	"2.18e+07"	"4.11e-02"	B+	"0.14676936"	"0.43085242"	"3d2.(3F).4s.4p.(3P*)"	"z 5G*"	"4"	"3d2.4p2"	"g 5G"	"5"		"T6897"	"L10989"	
"3208.8200"	"0.0007"	"11"	"2.57e+07"	"5.10e-02"	B	"0.14558066"	"0.42956887"	"3d2.(3F).4s.4p.(3P*)"	"z 5G*"	"3"	"3d2.4p2"	"g 5G"	"4"		"T6897"	"L10989"	
"3209.9484"	"0.0009"	"8"	"1.63e+07"	"3.53e-02"	B	"0.14468261"	"0.42857099"	"3d2.(3F).4s.4p.(3P*)"	"z 5G*"	"2"	"3d2.4p2"	"g 5G"	"3"		"T6897"	"L10989"	
"3215.1651"	"0.0004"	"15+"	"6.5e+06"	"1.0e-02"	C	"0.003525455"	"0.28695322"	"3d2.4s2"	"a 3F"	"4"	"3d3.(4F).4p"	"w 3G*"	"4"		"T3499n"	"L10989"	
"3218.8672"	"0.0007"	"11"	"1.25e+08"	"1.94e-01"	B+	"0.14468261"	"0.42778439"	"3d2.(3F).4s.4p.(3P*)"	"z 5G*"	"2"	"3d2.4p2"	"g 5G"	"2"		"T6897"	"L10989"	
"3220.1350"	"0.0009"	"10"	"9.31e+07"	"1.45e-01"	B+	"0.14558066"	"0.42857099"	"3d2.(3F).4s.4p.(3P*)"	"z 5G*"	"3"	"3d2.4p2"	"g 5G"	"3"		"T6897"	"L10989"	
"3222.3078"	"0.0007"	"11"	"1.19e+08"	"1.85e-01"	B+	"0.14676936"	"0.42956887"	"3d2.(3F).4s.4p.(3P*)"	"z 5G*"	"4"	"3d2.4p2"	"g 5G"	"4"		"T6897"	"L10989"	
"3224.4430"	"0.0007"	"12"	"1.27e+08"	"1.98e-01"	B+	"0.14824019"	"0.43085242"	"3d2.(3F).4s.4p.(3P*)"	"z 5G*"	"5"	"3d2.4p2"	"g 5G"	"5"		"T6897"	"L10989"	
"3227.0543"	"0.0014"	"12"	"1.56e+08"	"2.44e-01"	B+	"0.14998245"	"0.43236600"	"3d2.(3F).4s.4p.(3P*)"	"z 5G*"	"6"	"3d2.4p2"	"g 5G"	"6"		"T6897"	"L10989"	
"3229.1106"	"0.0007"	"8"	"2.74e+07"	"3.06e-02"	B	"0.14558066"	"0.42778439"	"3d2.(3F).4s.4p.(3P*)"	"z 5G*"	"3"	"3d2.4p2"	"g 5G"	"2"		"T6897"	"L10989"	
"3233.7182"	"0.0009"	"7"	"2.56e+07"	"3.12e-02"	B+	"0.14676936"	"0.42857099"	"3d2.(3F).4s.4p.(3P*)"	"z 5G*"	"4"	"3d2.4p2"	"g 5G"	"3"		"T6897"	"L10989"	
"3239.1544"	"0.0007"	"10"	"2.26e+07"	"2.91e-02"	B+	"0.14824019"	"0.42956887"	"3d2.(3F).4s.4p.(3P*)"	"z 5G*"	"5"	"3d2.4p2"	"g 5G"	"4"		"T6897"	"L10989"	
"3244.4445"	"0.0007"	"7"	"1.50e+07"	"2.00e-02"	C+	"0.14998245"	"0.43085242"	"3d2.(3F).4s.4p.(3P*)"	"z 5G*"	"6"	"3d2.4p2"	"g 5G"	"5"		"T6897"	"L10989"	
"3307.8306"	"0.0013"	"11"	"7.72e+07"	"1.50e-01"	B+	"0.15687818"	"0.43236600"	"3d2.(3F).4s.4p.(3P*)"	"z 5F*"	"5"	"3d2.4p2"	"g 5G"	"6"		"T6897"	"L10989"	
"3310.6740"	"0.0008"	"10"	"6.42e+07"	"1.29e-01"	B+	"0.15560120"	"0.43085242"	"3d2.(3F).4s.4p.(3P*)"	"z 5F*"	"4"	"3d2.4p2"	"g 5G"	"5"		"T6897"	"L10989"	
"3313.6400"	"0.0008"	"10"	"5.95e+07"	"1.26e-01"	B+	"0.15456403"	"0.42956887"	"3d2.(3F).4s.4p.(3P*)"	"z 5F*"	"3"	"3d2.4p2"	"g 5G"	"4"		"T6897"	"L10989"	
"3316.1880"	"0.0010"	"15+"	"4.78e+07"	"1.10e-01"	B+	"0.15377744"	"0.42857099"	"3d2.(3F).4s.4p.(3P*)"	"z 5F*"	"2"	"3d2.4p2"	"g 5G"	"3"		"T6897"	"L10989"	
"3319.3091"	"0.0008"	"10"	"5.52e+07"	"1.52e-01"	B+	"0.15324924"	"0.42778439"	"3d2.(3F).4s.4p.(3P*)"	"z 5F*"	"1"	"3d2.4p2"	"g 5G"	"2"		"T6897"	"L10989"	
"3326.1048"	"0.0008"	"5"	"7.94e+06"	"1.32e-02"	B	"0.15687818"	"0.43085242"	"3d2.(3F).4s.4p.(3P*)"	"z 5F*"	"5"	"3d2.4p2"	"g 5G"	"5"		"T6897"	"L10989"	
"3326.1846"	"0.0008"	"6"	"1.65e+07"	"2.74e-02"	C+	"0.15560120"	"0.42956887"	"3d2.(3F).4s.4p.(3P*)"	"z 5F*"	"4"	"3d2.4p2"	"g 5G"	"4"		"T6897"	"L10989"	
"3342.8340"	"0.0003"	"15+bl"	"6.5e+07"	"1.5e-01"	C	"0.000000000"	"0.27260314"	"3d2.4s2"	"a 3F"	"2"	"3d2.(1G).4s.4p.(3P*)"	"x 3G*"	"3"		"T3499n"	"L10989"	
"3349.4941"	"0.0004"	"10"	"9.1e+05"	"9.2e-04"	C	"0.000000000"	"0.27206110"	"3d2.4s2"	"a 3F"	"2"	"3d3.(4F).4p"	"x 5D*"	"1"		"T3499n"	"L10989"	
"3353.8965"	"0.0004"	"12"	"9.7e+05"	"1.6e-03"	C	"0.001550364"	"0.27325435"	"3d2.4s2"	"a 3F"	"3"	"3d3.(4F).4p"	"x 5D*"	"3"		"T3499n"	"L10989"	
"3355.5974"	"0.0005"	"15+"	"6.9e+07"	"1.5e-01"	C	"0.001550364"	"0.27311663"	"3d2.4s2"	"a 3F"	"3"	"3d2.(1G).4s.4p.(3P*)"	"x 3G*"	"4"		"T3499n,T2664"	"L10989"	
"3359.2358"	"0.0003"	"15+"	"7.6e+06"	"1.3e-02"	C	"0.000000000"	"0.27127213"	"3d2.4s2"	"a 3F"	"2"	"3d2.(3F).4s.4p.(1P*)"	"w 3D*"	"2"		"T3499n"	"L10989"	
"3371.4021"	"0.0005"	"15+"	"7.6e+07"	"7.8e-02"	C	"0.000000000"	"0.27029320"	"3d2.4s2"	"a 3F"	"2"	"3d2.(3F).4s.4p.(1P*)"	"w 3D*"	"1"		"T3499n"	"L10989"	
"3372.4201"	"0.0005"	"15+"	"7.2e+07"	"1.5e-01"	C	"0.003525455"	"0.27373706"	"3d2.4s2"	"a 3F"	"4"	"3d2.(1G).4s.4p.(3P*)"	"x 3G*"	"5"		"T3499n,T2664"	"L10989"	
"3378.5448"	"0.0005"	"15+"	"6.9e+07"	"8.4e-02"	C	"0.001550364"	"0.27127213"	"3d2.4s2"	"a 3F"	"3"	"3d2.(3F).4s.4p.(1P*)"	"w 3D*"	"2"		"T3499n"	"L10989"	
"3380.1813"	"0.0005"	"15+"	"6.2e+06"	"1.1e-02"	C	"0.003525455"	"0.27311663"	"3d2.4s2"	"a 3F"	"4"	"3d2.(1G).4s.4p.(3P*)"	"x 3G*"	"4"		"T3499n"	"L10989"	
"3386.6318"	"0.0005"	""	"5.2e+06"	"7.0e-03"	C	"0.003525455"	"0.27260314"	"3d2.4s2"	"a 3F"	"4"	"3d2.(1G).4s.4p.(3P*)"	"x 3G*"	"3"		"T3499n"	"L10989"	
"3386.9129"	"0.0005"	"15+"	"5.0e+07"	"6.7e-02"	C	"0.003525455"	"0.27258081"	"3d2.4s2"	"a 3F"	"4"	"3d2.(3F).4s.4p.(1P*)"	"w 3D*"	"3"		"T3499n"	"L10989"	
"3494.2741"	"0.0005"	"11"	"3.6e+05"	"8.5e-04"	C	"0.001550364"	"0.26233902"	"3d2.4s2"	"a 3F"	"3"	"3d3.(4F).4p"	"y 5F*"	"4"		"T3499n"	"L10989"	
"3507.6415"	"0.0006"	"13"	"6.8e+05"	"1.5e-03"	C	"0.003525455"	"0.26332026"	"3d2.4s2"	"a 3F"	"4"	"3d3.(4F).4p"	"y 5F*"	"5"		"T3499n"	"L10989"	
"3512.6286"	"0.0005"	"11"	"4.2e+05"	"5.5e-04"	C	"0.001550364"	"0.26097632"	"3d2.4s2"	"a 3F"	"3"	"3d3.(4F).4p"	"y 5F*"	"2"		"T3499n"	"L10989"	
"3636.4983"	"0.0005"	"15+"	"9.09e+07"	"2.52e-01"	A	"0.000000000"	"0.25058916"	"3d2.4s2"	"a 3F"	"2"	"3d2.(3F).4s.4p.(1P*)"	"y 3G*"	"3"		"T7574"	"L10989"	
