Configuration	Term	J	Prefix	Level (Ry)	Suffix	Uncertainty (Ry)	Reference
"2p6.3s"	"2S"	"1/2"	""	"0.00000"	""	""	"L7185"
"2p6.3p"	"2P*"	"1/2"	""	"2.0551"	""	""	""
"2p6.3p"	"2P*"	"3/2"	""	"2.1554"	""	""	""
"2p6.3d"	"2D"	"3/2"	""	"4.964"	""	""	""
"2p6.3d"	"2D"	"5/2"	""	"4.9751"	""	""	""
"2p6.4s"	"2S"	"1/2"	""	"11.8509"	""	""	""
"2p6.4p"	"2P*"	"1/2"	""	"12.6521"	""	""	""
"2p6.4p"	"2P*"	"3/2"	""	"12.6919"	""	""	""
"2p6.4d"	"2D"	"3/2"	""	"13.723"	""	""	""
"2p6.4d"	"2D"	"5/2"	""	"13.7281"	""	""	""
"2p6.4f"	"2F*"	"5/2"	""	"14.1193"	""	""	""
"2p6.4f"	"2F*"	"7/2"	""	"14.1212"	""	""	""
"2p6.5s"	"2S"	"1/2"	""	"16.823"	""	""	""
"2p6.5p"	"2P*"	"1/2"	""	"17.2171"	""	""	""
"2p6.5p"	"2P*"	"3/2"	""	"17.2360"	""	""	""
"2p6.5d"	"2D"	"3/2"	""	"17.7354"	""	""	""
"2p6.5d"	"2D"	"5/2"	""	"17.738"	""	""	""
"2p6.5f"	"2F*"	"5/2"	""	"17.9326"	""	""	""
"2p6.5f"	"2F*"	"7/2"	""	"17.9336"	""	""	""
"2p6.6s"	"2S"	"1/2"	""	"19.38"	""	""	""
"2p6.6p"	"2P*"	"1/2"	""	"19.605"	""	""	""
"2p6.6p"	"2P*"	"3/2"	""	"19.614"	""	""	""
"2p6.6d"	"2D"	"3/2"	""	"19.891"	""	""	""
"2p6.6d"	"2D"	"5/2"	""	"19.89"	""	""	""
"2p6.6f"	"2F*"	"5/2"	""	"20.001"	""	""	""
"2p6.6f"	"2F*"	"7/2"	""	"20.003"	""	""	""
"2p6.7s"	"2S"	"1/2"	""	"20.872"	""	""	""
"2p6.7p"	"2P*"	"1/2"	""	"21.011"	""	""	""
"2p6.7p"	"2P*"	"3/2"	""	"21.011"	""	""	""
"2p6.7d"	"2D"	"3/2"	""	"21.184"	""	""	""
"2p6.7d"	"2D"	"5/2"	""	"21.19"	""	""	""
"2p6.7f"	"2F*"	"5/2"	""	"21.255"	""	""	""
"2p6.7f"	"2F*"	"7/2"	""	"21.258"	""	""	""
"2p6.8s"	"2S"	"1/2"	""	"21.81"	""	""	""
"2p6.8p"	"2P*"	"1/2"	""	"21.908"	""	""	""
"2p6.8p"	"2P*"	"3/2"	""	"21.908"	""	""	""
"2p6.8d"	"2D"	"3/2"	""	"22.019"	""	""	""
"2p6.8d"	"2D"	"5/2"	""	"22.021"	""	""	""
"2p6.8f"	"2F*"	"5/2"	""	"22.066"	""	""	""
"2p6.8f"	"2F*"	"7/2"	""	"22.066"	""	""	""
"2p6.9s"	"2S"	"1/2"	""	"22.443"	""	""	""
"2p6.9p"	"2P*"	"1/2"	""	"22.513"	""	""	""
"2p6.9p"	"2P*"	"3/2"	""	"22.513"	""	""	""
"2p6.9d"	"2D"	"3/2"	""	"22.59"	""	""	""
"2p6.9d"	"2D"	"5/2"	""	"22.59"	""	""	""
"2p6.9f"	"2F*"	"7/2"	""	"22.629"	""	""	""
"2p6.10s"	"2S"	"1/2"	""	"22.860"	""	""	""
"2p6.10p"	"2P*"	"1/2"	""	"22.942"	""	""	""
"2p6.10p"	"2P*"	"3/2"	""	"22.942"	""	""	""
"2p6.10d"	"2D"	"5/2"	""	"22.989"	""	""	""
"2p6.10f"	"2F*"	"7/2"	""	"23.022"	""	""	""
"2p6.11s"	"2S"	"1/2"	""	"23.217"	""	""	""
"2p6.11p"	"2P*"	"3/2"	""	"23.258"	""	""	""
"2p6.11p"	"2P*"	"1/2"	""	"23.258"	""	""	""
"2p6.11d"	"2D"	"3/2"	""	"23.29"	""	""	""
"2p6.11d"	"2D"	"5/2"	""	"23.297"	""	""	""
"2p6.11f"	"2F*"	"7/2"	""	"23.332"	""	""	""
