configuration	term	J	energy
3p6.3d2	3F	2	0.0
3p6.3d2	3F	3	0.002965
3p6.3d2	3F	4	0.006695
3p6.3d2	1D	2	0.099868
3p6.3d2	3P	0	0.119584
3p6.3d2	3P	1	0.120644
3p6.3d2	3P	2	0.122641
3p6.3d2	1G	4	0.167593
3p6.3d2	1S	0	0.386943
3p6.3d.4s	3D	1	0.876603
3p6.3d.4s	3D	2	0.878572
3p6.3d.4s	3D	3	0.882088
3p6.3d.4s	1D	2	0.913096
3p6.3d.4p	1D*	2	1.314713
3p6.3d.4p	3D*	1	1.331522
3p6.3d.4p	3D*	2	1.334362
3p6.3d.4p	3D*	3	1.338242
3p6.3d.4p	3F*	2	1.340795
3p6.3d.4p	3F*	3	1.345545
3p6.3d.4p	3F*	4	1.35204
3p6.3d.4p	3P*	1	1.379904
3p6.3d.4p	3P*	0	1.380106
3p6.3d.4p	3P*	2	1.381183
3p6.3d.4p	1F*	3	1.40261
3p6.3d.4p	1P*	1	1.417617
3p6.3d.4d	1F	3	1.967951
3p6.3d.4d	3D	1	1.976584
3p6.3d.4d	3D	2	1.978434
3p6.3d.4d	3D	3	1.980639
3p6.3d.4d	3G	3	1.98507
3p6.3d.4d	1P	1	1.986477
3p6.3d.4d	3G	4	1.987473
3p6.3d.4d	3G	5	1.990787
3p6.3d.4d	3S	1	2.007918
3p6.3d.4d	3F	2	2.030254
3p6.3d.4d	3F	3	2.032426
3p6.3d.4d	3F	4	2.034901
3p6.3d.4d	1D	2	2.057678
3p6.3d.4d	3P	0	2.064217
3p6.3d.4d	3P	1	2.065087
3p6.3d.4d	3P	2	2.06672
3p6.3d.4d	1G	4	2.075069
3p6.3d.4d	1S	0	2.133475
3p6.3d.5s	3D	1	2.151944
3p6.3d.5s	3D	2	2.153528
3p6.3d.5s	3D	3	2.157579
3p6.3d.5s	1D	2	2.165524
3p6.3d.5p	1D*	2	2.31889
3p6.3d.5p	3D*	1	2.322128
3p6.3d.5p	3D*	2	2.325069
3p6.3d.5p	3D*	3	2.327791
3p6.3d.5p	3F*	2	2.327953
3p6.3d.5p	3F*	3	2.330544
3p6.3d.5p	3F*	4	2.335137
3p6.3d.5p	3P*	0	2.339586
3p6.3d.5p	3P*	1	2.339968
3p6.3d.5p	3P*	2	2.343261
3p6.3d.5p	1F*	3	2.348251
3p6.3d.5p	1P*	1	2.353701
3p6.3d.4f	1G*	4	2.397647
3p6.3d.4f	3F*	2	2.402036
3p6.3d.4f	3F*	3	2.402176
3p6.3d.4f	3G*	4	2.404127
3p6.3d.4f	3G*	3	2.404855
3p6.3d.4f	3F*	4	2.406776
3p6.3d.4f	3G*	5	2.407219
3p6.3d.4f	3H*	4	2.409407
3p6.3d.4f	1D*	2	2.410145
3p6.3d.4f	3H*	5	2.411139
3p6.3d.4f	3H*	6	2.413452
3p6.3d.4f	1F*	3	2.413966
3p6.3d.4f	3D*	1	2.415037
3p6.3d.4f	3D*	2	2.415472
3p6.3d.4f	3D*	3	2.417333
3p6.3d.4f	3P*	2	2.42287
3p6.3d.4f	1H*	5	2.429441
3p6.3d.5d	1F	3	2.583072
3p6.3d.5d	3D	1	2.585471
3p6.3d.5d	3D	2	2.587455
3p6.3d.5d	3G	3	2.58892
3p6.3d.5d	3D	3	2.590064
3p6.3d.5d	3G	4	2.591098
3p6.3d.5d	1P	1	2.591331
3p6.3d.5d	3G	5	2.594371
3p6.3d.5d	3S	1	2.599832
3p6.3d.5d	3F	2	2.604391
3p6.3d.5d	3F	3	2.606742
3p6.3d.5d	3F	4	2.608835
3p6.3d.5d	1D	2	2.617354
3p6.3d.5d	3P	2	2.62202
3p6.3d.5d	1G	4	2.625612
3p6.3d.6s	3D	1	2.659041
3p6.3d.6s	3D	2	2.660153
3p6.3d.6s	3D	3	2.664705
3p6.3d.6s	1D	2	2.667886
3p6.3d.(2D<3/2>).5g	2[7/2]	3	2.791421
3p6.3d.(2D<3/2>).5g	2[7/2]	4	2.791463
3p6.3d.(2D<5/2>).5g	2[9/2]	5	2.796414
3p6.3d.(2D<5/2>).5g	2[9/2]	4	2.796463
