ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"997.997"	""	"6.8e-01"	""	E	"0.000000"	"0.913096"	"3p6.3d2"	"3F"	"2"	"3p6.3d.4s"	"1D"	"2"	E2	"T1610"	""	
"1001.249"	""	"6.5e+00"	""	E	"0.002965"	"0.913096"	"3p6.3d2"	"3F"	"3"	"3p6.3d.4s"	"1D"	"2"	E2	"T1610"	""	
"1005.369"	""	"1.1e+00"	""	E	"0.006695"	"0.913096"	"3p6.3d2"	"3F"	"4"	"3p6.3d.4s"	"1D"	"2"	E2	"T1610"	""	
"1033.079"	""	"3.7e+01"	""	E	"0.000000"	"0.882088"	"3p6.3d2"	"3F"	"2"	"3p6.3d.4s"	"3D"	"3"	E2	"T1610"	""	
"1036.564"	""	"3.90e+02"	""	E	"0.002965"	"0.882088"	"3p6.3d2"	"3F"	"3"	"3p6.3d.4s"	"3D"	"3"	E2	"T1610"	""	
"1037.214"	""	"5.10e+02"	""	E	"0.000000"	"0.878572"	"3p6.3d2"	"3F"	"2"	"3p6.3d.4s"	"3D"	"2"	E2	"T1610"	""	
"1039.543"	""	"1.2e+03"	""	E	"0.000000"	"0.876603"	"3p6.3d2"	"3F"	"2"	"3p6.3d.4s"	"3D"	"1"	E2	"T1610"	""	
"1040.727"	""	"8.80e+02"	""	E	"0.002965"	"0.878572"	"3p6.3d2"	"3F"	"3"	"3p6.3d.4s"	"3D"	"2"	E2	"T1610"	""	
"1040.980"	""	"1.4e+03"	""	E	"0.006695"	"0.882088"	"3p6.3d2"	"3F"	"4"	"3p6.3d.4s"	"3D"	"3"	E2	"T1610"	""	
"1043.072"	""	"5.80e+02"	""	E	"0.002965"	"0.876603"	"3p6.3d2"	"3F"	"3"	"3p6.3d.4s"	"3D"	"1"	E2	"T1610"	""	
"1045.179"	""	"3.70e+02"	""	E	"0.006695"	"0.878572"	"3p6.3d2"	"3F"	"4"	"3p6.3d.4s"	"3D"	"2"	E2	"T1610"	""	
"1120.556"	""	"8.50e+02"	""	E	"0.099868"	"0.913096"	"3p6.3d2"	"1D"	"2"	"3p6.3d.4s"	"1D"	"2"	E2	"T1610"	""	
"1148.397"	""	"5.8e-01"	""	E	"0.119584"	"0.913096"	"3p6.3d2"	"3P"	"0"	"3p6.3d.4s"	"1D"	"2"	E2	"T1610"	""	
