Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Lande	Leading percentages	Reference
"3d4"	"a 5D"	"0"	" 0.00000000"	"0.00000003"	""	" 100                                                "	"L20009"
"3d4"	"a 5D"	"1"	" 0.000328983"	"0.000000011"	""	" 100                                                "	"L20009"
"3d4"	"a 5D"	"2"	" 0.000971794"	"0.000000009"	""	" 100                                                "	"L20009"
"3d4"	"a 5D"	"3"	" 0.001902635"	"0.000000007"	""	" 100                                                "	"L20009"
"3d4"	"a 5D"	"4"	" 0.003090340"	"0.000000012"	""	" 100                                                "	"L20009"
"3d3.(4F).4s"	"a 5F"	"1"	" 0.023738871"	"0.000000011"	""	" 100                                                "	"L20009"
"3d3.(4F).4s"	"a 5F"	"2"	" 0.024487650"	"0.000000008"	"0.97"	" 100                                                "	"L20009,L8201"
"3d3.(4F).4s"	"a 5F"	"3"	" 0.025597118"	"0.000000007"	"1.20"	" 100                                                "	"L20009,L8201"
"3d3.(4F).4s"	"a 5F"	"4"	" 0.027049945"	"0.000000009"	"1.30?"	" 100                                                "	"L20009,L8201"
"3d3.(4F).4s"	"a 5F"	"5"	" 0.028823079"	"0.000000021"	"1.28?"	" 100                                                "	"L20009,L8201"
"3d3.(4F).4s"	"a 3F"	"2"	" 0.078736791"	"0.000000009"	"0.65"	"  93         :     5  3d4                  3F2      "	"L20009,L8201"
"3d3.(4F).4s"	"a 3F"	"3"	" 0.080574695"	"0.000000005"	"1.04"	"  93         :     5  3d4                  3F2      "	"L20009,L8201"
"3d3.(4F).4s"	"a 3F"	"4"	" 0.082906066"	"0.000000007"	"1.22"	"  92         :     6  3d4                  3F2      "	"L20009,L8201"
"3d4"	"a 3P2"	"0"	" 0.10293227"	"0.00000003"	""	"  54         :    37  3d4                  3P1      "	"L20009"
"3d4"	"a 3P2"	"1"	" 0.104930437"	"0.000000013"	"1.48"	"  54         :    37  3d4                  3P1      "	"L20009,L8201"
"3d4"	"a 3P2"	"2"	" 0.108516043"	"0.000000013"	"1.49"	"  54         :    37  3d4                  3P1      "	"L20009,L8201"
"3d4"	"a 3H"	"4"	" 0.114319385"	"0.000000011"	"0.83?"	"  98                                                "	"L20009,L8201"
"3d4"	"a 3H"	"5"	" 0.115015440"	"0.000000012"	"1.02"	"  98                                                "	"L20009,L8201"
"3d4"	"a 3H"	"6"	" 0.115786319"	"0.000000010"	"1.27?"	"  99                                                "	"L20009,L8201"
"3d4"	"b 3F2"	"2"	" 0.122937983"	"0.000000010"	"0.59"	"  68         :    24  3d4                  3F1      "	"L20009,L8201"
"3d3.(4P).4s"	"a 5P"	"1"	" 0.123128575"	"0.000000017"	"2.39"	" 100                                                "	"L20009,L8201"
"3d4"	"b 3F2"	"3"	" 0.123409672"	"0.000000012"	"1.06"	"  68         :    23  3d4                  3F1      "	"L20009,L8201"
"3d3.(4P).4s"	"a 5P"	"2"	" 0.12388426"	"0.00000003"	"1.78"	"  99                                                "	"L20009,L8201"
"3d4"	"b 3F2"	"4"	" 0.124013780"	"0.000000008"	"1.19"	"  67         :    23  3d4                  3F1      "	"L20009,L8201"
