ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"1279.7487"	"0.0007"	"22000h*"	"1.3e+08"	"3.7e-02"	D+	"0.115786319"	"0.8278535&dagger;"	"3d4"	"a 3H"	"6"	"3d3.(4F<9/2>).4f"	"2[15/2]*"	"7"		"T9770"	"L10089c179"	
"1290.91706"	"0.00022"	"10000h"	"2.3e+08"	"4.2e-02"	D+	"0.080574695"	"0.78648143"	"3d3.(4F).4s"	"a 3F"	"3"	"3d2.(3F).4s.4p.(1P*)"	"q 3D*"	"2"		"T9770"	"L10089c179"	
"1301.23842"	"0.00015"	"5900h"	"2.3e+07"	"7.5e-03"	D+	"0.080574695"	"0.78088221"	"3d3.(4F).4s"	"a 3F"	"3"	"3d2.(3F).4s.4p.(1P*)"	"s 3F*"	"4"		"T9770"	"L10089c179"	
"1303.20037"	"0.00015"	"2900h"	"2.8e+07"	"1.0e-02"	D+	"0.078736791"	"0.77799001"	"3d3.(4F).4s"	"a 3F"	"2"	"3d2.(3F).4s.4p.(1P*)"	"s 3F*"	"3"		"T9770"	"L10089c179"	
"1305.58480"	"0.00015"	"23000h"	"2.9e+08"	"7.3e-02"	D+	"0.082906066"	"0.78088221"	"3d3.(4F).4s"	"a 3F"	"4"	"3d2.(3F).4s.4p.(1P*)"	"s 3F*"	"4"		"T9770"	"L10089c179"	
"1306.63470"	"0.00015"	"23000h"	"2.5e+08"	"6.3e-02"	D+	"0.080574695"	"0.77799001"	"3d3.(4F).4s"	"a 3F"	"3"	"3d2.(3F).4s.4p.(1P*)"	"s 3F*"	"3"		"T9770"	"L10089c179"	
"1307.8336"	"0.0010"	"11000h"	"1.8e+07"	"4.7e-03"	D+	"0.078736791"	"0.7755128"	"3d3.(4F).4s"	"a 3F"	"2"	"3d2.(3P).4s.4p.(3P*)"	"u 3P*"	"2"		"T9770"	"L10089c179"	
"1311.01727"	"0.00015"	"12000h*"	"3.3e+07"	"6.7e-03"	D+	"0.082906066"	"0.77799001"	"3d3.(4F).4s"	"a 3F"	"4"	"3d2.(3F).4s.4p.(1P*)"	"s 3F*"	"3"		"T9770"	"L10089c179"	
"1360.9041"	"0.0004"	"12000"	"1.7e+07"	"3.9e-03"	D+	"0.028823079"	"0.69842725"	"3d3.(4F).4s"	"a 5F"	"5"	"3d2.(1D).4s.4p.(3P*)"	"u 3F*"	"4"		"T9770"	"L10089c179"	
"1362.8173"	"0.0004"	"2300"	"1.3e+07"	"2.8e-03"	D+	"0.132644660"	"0.80130877"	"3d4"	"a 3G"	"4"	"3d2.(1G).4s.4p.(3P*)"	"r 3F*"	"3"		"T9770"	"L10089c179"	
