ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"2385.01412"	"0.00014"	"140000"	"4.9e+06"	"2.09e-03"	C+	"0.000000000"	"0.382080359"	"3d3.4s2"	"a 4F"	"3/2"	"3d3.(4P).4s.4p.(1P*)"	"r 4D*"	"1/2"		"T9399"	"L15916"	
"2402.63479"	"0.00009"	"180000"	"8.6e+06"	"9.9e-03"	C	"0.001251926"	"0.380530148"	"3d3.4s2"	"a 4F"	"5/2"	"3d4.(3G).4p"	"t 4G*"	"7/2"		"T9399"	"L15916"	
"2407.47965"	"0.00010"	"430000"	"9.4e+06"	"1.02e-02"	C+	"0.002947329"	"0.381462283"	"3d3.4s2"	"a 4F"	"7/2"	"3d4.(3G).4p"	"t 4G*"	"9/2"		"T9399"	"L15916"	
"2413.42298"	"0.00010"	"330000"	"1.08e+07"	"9.4e-03"	C	"0.002947329"	"0.380530148"	"3d3.4s2"	"a 4F"	"7/2"	"3d4.(3G).4p"	"t 4G*"	"7/2"		"T9399"	"L15916"	
"2420.85663"	"0.00010"	"360000"	"1.00e+07"	"8.8e-03"	C+	"0.005038897"	"0.381462283"	"3d3.4s2"	"a 4F"	"9/2"	"3d4.(3G).4p"	"t 4G*"	"9/2"		"T9399"	"L15916"	
"2426.86626"	"0.00010"	"33000"	"1.08e+06"	"7.6e-04"	C	"0.005038897"	"0.380530148"	"3d3.4s2"	"a 4F"	"9/2"	"3d4.(3G).4p"	"t 4G*"	"7/2"		"T9399"	"L15916"	
"2502.3679"	"0.0003"	"540000"	"1.22e+07"	"1.7e-02"	C+	"0.000000000"	"0.36416191"	"3d3.4s2"	"a 4F"	"3/2"	"3d4.(3H).4p"	"u 4G*"	"5/2"		"T9399"	"L15916"	
"2504.0581"	"0.0004"	"290000"	"1.1e+07"	"1.07e-02"	C	"0.000000000"	"0.36391610"	"3d3.4s2"	"a 4F"	"3/2"	"3d4.(3F2).4p"	"s 4D*"	"3/2"		"T9399"	"L15916"	
"2507.6618"	"0.0005"	"580000"	"5.1e+07"	"2.4e-02"	C+	"0.000000000"	"0.36339312"	"3d3.4s2"	"a 4F"	"3/2"	"3d4.(3F2).4p"	"s 4D*"	"1/2"		"T9399"	"L15916"	
"2508.61817"	"0.00019"	"280000"	"1.3e+07"	"1.23e-02"	C	"0.001251926"	"0.36450651"	"3d3.4s2"	"a 4F"	"5/2"	"3d4.(3F2).4p"	"s 4D*"	"5/2"		"T9399"	"L15916"	
"2512.7021"	"0.0003"	"690000"	"3.1e+07"	"2.0e-02"	C+	"0.001251926"	"0.36391610"	"3d3.4s2"	"a 4F"	"5/2"	"3d4.(3F2).4p"	"s 4D*"	"3/2"		"T9399"	"L15916"	
"2517.9062"	"0.0003"	"690000"	"1.42e+07"	"1.69e-02"	C+	"0.002947329"	"0.36486194"	"3d3.4s2"	"a 4F"	"7/2"	"3d4.(3H).4p"	"u 4G*"	"9/2"		"T9399"	"L15916"	
"2520.38144"	"0.00019"	"920000"	"4.3e+07"	"3.0e-02"	C+	"0.002947329"	"0.36450651"	"3d3.4s2"	"a 4F"	"7/2"	"3d4.(3F2).4p"	"s 4D*"	"5/2"		"T9399"	"L15916"	
"2530.94594"	"0.00019"	"920000"	"1.54e+07"	"1.8e-02"	C+	"0.005038897"	"0.365088883"	"3d3.4s2"	"a 4F"	"9/2"	"3d4.(3H).4p"	"u 4G*"	"11/2"		"T9399"	"L15916"	
"2546.68844"	"0.00019"	"240000"	"1.8e+07"	"1.7e-02"	C+	"0.000000000"	"0.35782432"	"3d3.4s2"	"a 4F"	"3/2"	"3d4.(3F2).4p"	"u 4F*"	"3/2"		"T9399"	"L15916"	
"2550.73404"	"0.00020"	"95000"	"1.8e+06"	"2.3e-03"	D+	"0.001251926"	"0.358508715"	"3d3.4s2"	"a 4F"	"5/2"	"3d4.(3F2).4p"	"u 4F*"	"7/2"		"T9399"	"L15916"	
"2555.62986"	"0.00016"	"220000"	"3.6e+06"	"2.3e-03"	C	"0.001251926"	"0.35782432"	"3d3.4s2"	"a 4F"	"5/2"	"3d4.(3F2).4p"	"u 4F*"	"3/2"		"T9399"	"L15916"	
